Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_age,HOST,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25213816,WXS,598,39828428,PRJNA991269,SAMN36291097,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",26685940,SAN PABLO CEU,2018,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960517,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 53,Illumina MiSeq,40.41 N 3.70 W,Gran 53,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:38:00Z,1,AC 011,SRP447710
SRR25213817,WXS,598,135880995,PRJNA991269,SAMN36291096,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",90930125,SAN PABLO CEU,2018,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20960516,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 51,Illumina MiSeq,40.41 N 3.70 W,Gran 51,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AC 007,SRP447710
SRR25213818,WXS,598,133440314,PRJNA991269,SAMN36291095,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",88488175,SAN PABLO CEU,2018,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960515,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 50,Illumina MiSeq,40.41 N 3.70 W,Gran 50,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AC 004,SRP447710
SRR25213819,WXS,598,90549118,PRJNA991269,SAMN36291094,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",61434023,SAN PABLO CEU,2017,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20960514,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 49,Illumina MiSeq,40.41 N 3.70 W,Gran 49,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AC 003,SRP447710
SRR25213820,WXS,598,107857357,PRJNA991269,SAMN36291093,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",72810915,SAN PABLO CEU,2017,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960513,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 44,Illumina MiSeq,40.41 N 3.70 W,Gran 44,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AC 002,SRP447710
SRR25213821,WXS,598,83046457,PRJNA991269,SAMN36291092,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",56085684,SAN PABLO CEU,2019,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20960512,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 36,Illumina MiSeq,40.41 N 3.70 W,Gran 36,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:38:00Z,1,AA 036,SRP447710
SRR25213822,WXS,598,71629689,PRJNA991269,SAMN36291091,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",47869705,SAN PABLO CEU,2019,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960511,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 34,Illumina MiSeq,40.41 N 3.70 W,Gran 34,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 034,SRP447710
SRR25213823,WXS,598,84196104,PRJNA991269,SAMN36291064,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",56637861,SAN PABLO CEU,2018,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20960510,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 04,Illumina MiSeq,40.41 N 3.70 W,Gran 04,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 004,SRP447710
SRR25213824,WXS,598,69734031,PRJNA991269,SAMN36291090,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",46718228,SAN PABLO CEU,2019,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960509,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 33,Illumina MiSeq,40.41 N 3.70 W,Gran 33,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 033,SRP447710
SRR25213825,WXS,598,63862630,PRJNA991269,SAMN36291089,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",43117961,SAN PABLO CEU,2019,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960508,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 32,Illumina MiSeq,40.41 N 3.70 W,Gran 32,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 032,SRP447710
