"","GABA","Choline","Cadaverine","Putrescine","Tryptophan","Aspartic Acid","Glycine","Histidine","Propionic Acid","Butyric/Isobutyric Acid","Valeric/Isovaleric Acid","Caproic Acid","Hippuric Acid","Glucose (and isomers)"
"Inf_16_T",0.974,0.4705549,26.98739302,9.23057055,1.44282947,8.2100874,2.8693721,3.5916726,9.17651317,4.66058997,2.4448459,0.05090271,0.03096046,0.81464421
"Moth_36_T",0.215,0.05172634,0.07314057,0.09125452,0.41735226,0.92959578,0.5332419,0.3394,4.15598244,6.21036388,8.11473756,1.71793088,0.01495684,0.13331189
"Moth_13_T",0.059,0.07133803,0.2743253,0.07810156,0.45176463,1.0373803,0.4147208,0.31206355,10.57979727,11.56019808,9.30797986,0.2536803,0.03358336,0.30405953
"Moth_14_T",0.43215636,0.07127452,0.14694904,0.02717251,1.23084134,2.70662803,1.26508731,0.80515177,7.58524533,9.78213509,4.90063459,0.0786628,0.03191829,1.88084156
"Moth_53_T",0.58,1.10536688,0.22612461,0.06737107,0.59586536,1.87523563,0.75523196,0.38715782,8.32916204,21.87121611,15.95049177,5.11087413,1.60757397,0.22196427
"Inf_18_T",0.657,0.4573035,0.8881661,3.72493628,1.13004389,9.138299,0.96178366,1.85667155,4.44644974,18.84781516,2.23544868,0.20525534,0.05778534,1.40319463
"Moth_33_T",0.094,0.036046304,0.060122369,0.009364329,0.617204876,2.81837811,0.969737626,0.314398901,1.083603636,2.167983613,3.303995762,0.06626779,0.028005808,0.094196378
"Moth_16_T",0.073,0.02543418,0.09380944,0.0608328,0.79057536,2.76051034,1.39802771,1.17238119,9.78604166,15.73786334,13.59046954,2.58747011,0.75221375,0.16145003
"Moth_34_T",0.103,0.2428482,0.03426352,0.26117223,0.50429463,3.86161188,0.90817933,0.26715425,11.01415599,20.42838775,14.86264614,4.80654016,0.01765858,0.31234924
"Inf_20_T",0.206,0.54479082,0.77792746,1.98979648,2.34427828,4.80281771,4.05668436,0.72836413,3.98390626,4.45358273,1.18399568,0.5759261,0.05028479,6.61004112
"Moth_44_T",0.21805156,0.03934348,0.17818341,0.03523223,0.36756978,0.54321961,0.56157638,0.21942223,4.99935945,7.13493095,4.96659052,0.23000546,10.21754401,0.10592416
"Inf_12_T",0.93,1.45389519,12.83008711,3.77025015,0.80897517,4.39638876,1.60829195,0.82748395,2.73280341,1.22385633,1.26106754,0.28397457,0.05043566,0.34479843
"Inf_06_T",0.14,1.09104899,6.96035039,6.46449011,2.69317546,7.58530382,3.50919648,1.46400331,7.59875605,9.13459591,4.02835147,2.85349444,0.03678951,0.26324248
"Gran_07_T",0.17,0.0961717,0.42293755,0.02796336,1.12394255,3.61862237,3.42270357,0.23839751,10.82772346,38.18886594,26.40770663,1.10331697,0.03674782,0.30422609
"Moth_12_T",0.096,0.2215371,1.8014384,0.2404987,0.4853776,2.6094813,0.5370632,0.6008462,4.4647992,7.1965334,6.439809,0.354668,5.1203721,0.3094252
"Gran_14_T",0.132,0.282662,0.44974835,0.05109492,4.28660158,8.34653962,8.39986154,0.93373249,6.48899083,8.77298257,9.30102255,0.2629767,0.01924322,0.51199703
"Gran_05_T",0.081,0.20450881,0.0187022,0.03267538,0.43791708,2.07194447,1.73863864,0.34998587,6.81572546,10.54519729,8.81472422,2.14024221,0.31741686,0.43265135
"Inf_29_T",0.503,1.13456647,6.02647041,0.7416895,1.35650646,7.84387141,6.2955982,3.60931638,0.14163611,0.0492443,0.08125176,0.06993724,0.04084608,4.66374132
"Moth_29_T",0.113,0.04426593,0.19858631,0.03710801,0.52475728,3.74368253,0.75710679,0.1814984,5.30510757,5.93937362,7.11698453,0.62726067,2.08292358,0.15420642
"Inf_53_T",0.06,0.18169422,46.79981908,1.34349355,1.81801421,7.815573,3.09410112,1.74062392,8.58659842,5.91524931,8.92689419,0.07010367,0.01687466,0.14596238
"Gran_44_T",0.062,0.040095738,0.009400897,0.009386624,0.273123434,0.628757313,0.269348835,0.088867895,2.043130991,3.397605009,3.818336182,0.257604336,0.045483911,0.072938061
"Gran_27_T",0.168,0.28178218,0.68976507,0.11670235,1.19922912,4.32971697,1.59274503,0.60184473,8.5889123,11.50993616,6.27860757,2.8436163,0.03938369,0.54187324
"Moth_30_T",0.403,0.3649112,5.1528427,0.7780467,1.0392369,3.4836386,1.2004067,0.4284791,19.8049695,46.1132879,16.9347099,16.3691205,0.419689,1.2226547
"Inf_58_T",29.897,2.52518173,9.67158343,3.2331539,2.69356533,6.70731143,4.61728766,4.63105178,1.22330162,0.12464552,0.08633695,0.06538545,0.13870263,6.29361243
"Inf_66b_T",0.363,0.14379621,0.70093796,0.28644209,0.44461377,2.31972075,0.99248842,0.29850281,4.58728639,14.99740724,1.08848346,0.09579631,0.12871663,1.08699537
"Inf_31_T",26.71,2.2295232,7.3437997,2.1472532,1.1799223,3.5074743,2.9460456,6.5319274,8.8613773,1.2530927,0.6692306,0.4361052,0.0227484,4.7795247
"Gran_66_T",0.069,0.07204287,0.08643248,0.01469601,1.00018846,3.10259486,1.28224042,0.33534193,4.30985733,7.60438856,6.95324547,0.067282,0.14664718,0.10138313
"Inf_67a_T",4.748,2.03913132,4.22551818,1.14333571,1.39318931,1.69698488,3.33992584,1.81782547,3.96785489,0.39203107,0.21060692,0.04278359,0.10832009,1.86883584
"Gran_25_T",0.118,0.08087315,0.07605738,0.0288437,0.71058575,1.03130872,0.4531939,0.35739676,8.83858749,11.28245538,10.27160961,2.61383873,0.01392218,0.6204636
"Gran_34_T",0.113,0.21921502,0.62562525,0.07896118,0.52956479,1.63488733,0.90752356,0.27002266,6.58330232,15.14462906,7.54597742,3.85202855,0.34156558,0.39307913
"Gran_03_T",0.21532763,0.04691097,0.03885128,0.01108424,0.26192121,0.54052956,0.39805732,0.16983533,3.34534916,7.79400109,7.03885311,1.59127327,0.13526332,0.04955668
"Gran_02_T",0.211,0.16214756,0.50326601,0.08044286,1.04044795,1.44104879,2.05525682,0.27461223,6.78427431,10.99959977,7.06950257,3.04461373,0.01881875,0.65593999
"Moth_03_T",0.31419362,0.06767443,0.3372323,0.02742312,0.21953141,0.74088462,0.32090365,0.13843512,5.7533774,11.03417708,9.95289019,1.74014848,0.05831991,0.12388415
"Gran_33_T",0.078,0.12175822,0.15078302,0.02358925,0.37188687,0.67508772,0.77475031,0.18387989,5.97586695,9.53638611,6.52683028,2.20346917,0.01081873,0.17217198
"Gran_55_T",0.112,0.027597717,0.027066583,0.008567888,0.422404349,2.108959764,1.046242064,0.164575063,1.355218785,2.930754328,4.356759069,0.251578951,0.017715412,0.055396471
"Inf_27_T",0.089,0.326713,4.18443409,1.13613522,1.42723718,5.59383435,3.10599677,1.01096542,8.55880177,5.56994563,4.00938159,0.26158596,0.09369608,0.33810579
"Moth_27_T",0.2702086,0.3045382,0.8569797,0.9292632,0.8140117,2.1954135,0.9860759,0.8513548,10.6667762,18.8074067,9.1164058,0.3537011,15.2176172,0.9592214
"Inf_50_T",8.256,1.00773235,2.42606094,0.91615586,0.61365889,3.91816525,6.65640271,1.59012628,6.37530721,0.25103941,0.18145819,0.06961778,0.09100012,5.19483011
"Moth_25_T",0.12,0.14566055,1.35538187,0.10454051,0.58480108,2.38251137,1.01133947,0.31764028,4.02087119,8.16747473,9.75024158,1.36411103,0.08497942,0.07273684
"Inf_24_T",21.26,1.79580073,2.83560039,0.33642894,2.48955171,0.19366829,2.05040677,2.77292917,2.28239934,6.84567251,0.26746576,0.09144221,0.10954049,6.91920878
"Inf_44_T",18.133,0.4981226,10.255164,2.9727158,1.5727704,2.0940912,0.9422322,1.4700373,17.704736,9.1506845,2.0738312,1.4618907,0.0889918,1.9656959
"Gran_51_T",0.179,0.31579947,13.90991526,10.58722679,1.24986457,4.21482094,2.02368503,1.74662883,15.16189679,9.19773665,15.09572017,0.55693667,0.07545876,0.89399328
