sample_id	TNFRSF14	LDL-receptor	ITGB2	IL-17RA	TNF-R2	MMP-9	EPHB4	IL2-RA	OPG	ALCAM	TFF3	SELP	CSTB	MCP-1	CD163	Gal-3	GRN	MEPE	BLM-hydrolase	PLC	LTBR	Notch-3	TIMP4	CNTN1	CDH5	TLT-2	FABP4	TFPI	PAI	CCL24	TR	TNFRSF10C	GDF-15	SELE	AZU1	DLK-1	SPON1	MPO	CXCL16	IL-6RA	RETN	IGFBP-1	CHIT1	TR-AP	CCL22	PSP-D	PI3	Ep-CAM	AP-N	AXL	IL-1RT1	MMP-2	FAS	MB	TNFSF13B	PRTN3	PCSK9	U-PAR	OPN	CTSD	PGLYRP1	CPA1	JAM-A	Gal-4	IL-1RT2	SHPS-1	CCL15	CASP-3	uPA	CPB1	CHI3L1	ST2	t-PA	SCGB3A2	EGFR	IGFBP-7	CD93	IL-18BP	COL1A1	PON3	CTSZ	MMP-3	RARRES2	ICAM-2	KLK6	PDGF-subunit-A	TNF-R1	IGFBP-2	vWF	PECAM-1	NT-pro-BNP	CCL16
s_813	5.209946891	4.882452239	6.17381707	5.245973368	5.451680759	5.490938846	4.925256078	5.945285478	5.206365892	4.957531138	4.950198946	4.817648763	5.168900307	5.478266475	5.438877264	5.173589116	5.063867407	5.22796019	5.450085095	5.447253865	5.028444404	5.301709323	5.514671583	5.227379472	6.121230838	5.964884204	5.167231016	4.981607323	5.244612136	5.307302612	4.625260891	5.543456768	4.673333402	5.478464341	5.186108572	4.049697404	5.133922082	5.563920608	4.761977383	5.260491604	5.26911043	4.329154949	5.954818924	4.890724908	4.781778033	4.345801185	6.026416696	5.504950754	4.931153087	5.163043829	5.074827171	4.89225976	4.916100194	5.312671214	5.392218454	5.400674389	4.8402644	5.230974376	5.415134387	4.951327652	5.360064237	5.055796535	4.907952249	5.504160882	5.157900341	5.45548554	4.665614558	5.161712166	5.195671161	4.450005225	4.481725794	5.129461995	4.820665709	5.340381209	5.022842272	5.224506556	5.231743142	5.42608499	5.446238949	5.421179198	4.697591264	4.853546493	5.374590402	5.386976585	5.316860908	5.54767907	5.143985711	5.076447667	6.087191759	5.150233086	4.071005966	4.215049242
s_580	5.002310513	4.563166849	5.443321139	5.505051338	5.073110171	4.509964914	5.302809318	5.281294212	4.594205825	4.928452555	4.958866945	4.80712677	4.774510459	4.960416713	4.775918543	4.763383669	5.249403673	5.705530367	4.659468559	5.125491247	5.003597034	5.27890825	4.745082936	5.192512521	4.902673539	5.090836398	4.527449302	4.444386323	4.454960555	3.92107628	4.419794064	4.182181735	4.605215815	5.246588129	4.931127338	5.420087238	5.165871806	5.314212231	5.040455836	5.266064751	5.440038509	5.264856113	4.229682485	4.649548557	4.735353007	4.45458707	4.487188853	3.715915353	4.903714498	4.924894355	5.200276897	5.333886651	4.494497164	5.267606261	5.215633425	5.697066359	4.909242774	5.186758457	4.991258582	4.335546857	4.637917065	5.195060812	5.121966595	4.805011946	4.908210829	4.960086155	4.54895806	5.13010297	5.08910918	5.28944655	4.455106006	4.909067027	4.950928435	4.981279271	5.029284177	5.198390827	5.28197234	4.90887493	4.867228407	5.776604491	4.867758213	4.83240864	4.909024675	5.120944788	5.221446157	3.607247776	5.009704746	5.256843251	3.990589574	5.083192365	6.310445966	4.53950408
s_646	5.063946204	5.199376691	5.560663308	5.601980166	4.967639837	5.376181619	4.987783697	5.575924284	5.252035834	5.119700143	4.572164243	4.721982679	5.40208258	5.277700566	5.207136109	5.286056851	5.281887812	4.817258297	5.679112361	5.37347585	5.505558857	5.6008848	5.373001712	5.380036406	5.365987659	4.764538989	5.090229908	5.210424625	5.978319507	4.715036194	5.722585894	4.664283204	5.592982456	4.859703872	5.223944226	6.165456587	5.388052491	4.729385066	5.175780153	5.20632464	4.45869942	4.499197797	5.932497687	5.734522145	5.155124593	4.685954067	5.925613826	5.589277087	5.381868859	5.021754581	5.0704486	5.200866294	5.248496071	5.702155161	4.853272083	4.957254636	5.347664696	5.088061397	4.60580133	5.005261333	4.831999273	5.34058759	5.381171587	5.175840618	5.287690576	5.643671744	4.999356633	4.991872266	4.743237786	5.421022391	6.387282715	5.682107334	5.655887272	4.724195982	5.345334432	5.775056929	5.2206895	4.983597379	5.096727153	5.103332602	5.148105637	5.510901367	5.352158448	4.979995987	5.253833849	4.158733876	5.088198073	5.097974588	5.212377479	5.018108434	5.203445966	5.815751344
s_781	5.719170878	4.32465685	4.897937213	5.166706359	6.055350275	6.401364023	5.916310925	6.244399716	5.123273622	5.244851416	4.548128917	4.539362273	5.069135828	5.170882345	4.664133661	5.085941511	6.103780853	6.492230168	5.032694614	5.213216468	5.724039092	5.602321826	5.767374929	5.43491263	5.394438348	5.580271137	4.383132367	4.844729731	5.230773601	5.388531175	5.751640535	5.521250185	4.856705978	4.923314589	5.650347642	5.417682609	5.142188854	6.137158365	5.923183525	5.389570237	6.225937158	5.947317746	4.243722594	4.997389193	4.882299803	5.160860138	5.781612052	4.432087406	5.364210588	5.558838647	5.235131345	5.255191289	5.088289013	4.882897709	6.154748952	6.418224305	4.891966187	5.955798361	6.768450236	5.651141613	5.627099114	4.98805077	5.309662307	5.441618326	5.296586362	5.098078528	6.142459981	5.029904686	5.170105789	4.899505982	5.521842407	5.581382425	4.842513057	6.382593897	5.154738796	5.667703935	5.381433914	6.598820165	6.349467155	4.524935315	5.907304869	4.763158633	5.397477484	5.475630592	5.329410347	4.943990625	5.859389338	5.954508589	5.218801781	5.15711842	5.448295966	4.959800348
s_804	4.899031873	5.289174572	5.445651718	5.359190824	4.775068759	5.280977999	4.785431904	5.124059159	4.629669571	5.061309283	4.557163948	5.070626369	5.387082464	4.975574463	5.466026924	4.593232329	5.097729851	4.993185429	5.191747887	5.2337796	4.919253703	4.995384147	4.59349607	5.308093752	5.308846383	5.11774788	5.223994876	4.917754668	5.589509212	5.726191202	4.716085265	4.882737997	5.186140071	5.12510992	5.256150341	4.739419671	5.187470726	5.405773551	4.91883025	4.973166627	5.518316395	5.137075031	5.632704257	5.620424913	5.975294002	4.806656056	6.29893608	5.432332433	5.118508383	5.287228814	5.137709305	4.980902976	5.129094418	5.440688371	4.744922034	4.958959529	4.716483775	4.946998913	4.916420786	5.602627026	5.313642456	4.800056319	5.183242859	4.559620096	5.255994838	5.286146677	4.694903021	4.933004291	4.973251754	4.56512068	4.658305398	5.217040208	7.237046835	4.979045477	5.179840238	5.55110431	5.032152246	5.082954665	4.952839165	4.294526066	5.241727546	5.947043463	4.982623917	5.090362815	5.308435134	4.595659656	4.947729973	4.940356505	7.677938932	5.322411203	3.780555182	4.644743247
s_296	5.253380734	5.349221493	5.151463375	5.695746275	4.893958653	5.224532285	5.291001567	4.989237758	4.890285957	5.070646209	4.686849927	5.655299986	5.141790181	5.557037727	4.820521426	4.953838724	4.978210155	5.41802072	5.624831265	4.916420355	4.98862238	4.868015476	5.010731804	5.271022698	4.264809486	4.583628545	4.215840216	5.352856727	6.249514511	4.80676777	5.034663678	4.289111961	5.152569435	4.441611988	5.230219845	6.237074601	4.864502717	4.698377548	4.817138725	5.128416712	4.415700118	6.332214357	5.56733264	5.230229974	6.023890154	6.25426944	5.421112422	5.980454142	4.893392576	4.953972988	5.148254942	5.037188409	5.1886461	5.215705473	4.809296087	4.876402824	4.81039195	4.966450639	4.975833532	5.32704213	4.974114602	5.926841738	5.435987109	5.253366	5.437722013	5.158031906	4.904525461	6.50250329	5.244889702	6.001395639	5.69189636	4.690712431	5.585398241	4.3811238	5.227243117	5.033377109	5.216214461	4.897404521	5.098737048	5.937077881	5.719587634	6.216322452	4.823465571	4.570555338	5.081908835	7.162671461	5.015677027	5.507000921	4.14606358	4.936342085	6.521035966	5.578237645
s_1246	5.236744126	6.436465103	5.594976882	5.041094802	5.221291656	5.779518954	4.946773439	5.181999661	5.337701067	5.183192292	4.790229012	5.99195684	5.71930904	5.371627268	5.955922823	5.444988487	5.290938489	4.826846115	5.220097492	5.428366364	5.385863363	5.13683065	5.378674453	4.82107538	5.809193069	5.48461141	6.27165123	5.39158749	6.012084277	5.545145053	5.643057884	5.450070858	5.419505782	5.830270643	5.727889508	5.929583957	5.337567102	5.710641133	5.54579996	5.411435615	5.413444002	4.80914373	5.406681855	5.625852886	4.607001444	5.133855705	5.222296439	5.380443536	5.032563289	5.291886643	5.335928527	4.885155546	5.55207684	5.721336379	5.031306234	5.397396382	5.637432993	5.310937031	5.133838812	5.540682116	5.726332398	5.753516934	5.344750789	5.778995224	5.372598971	5.764761118	5.111663457	5.323760117	5.152779411	5.641738626	6.201145628	4.635693848	5.734055065	4.924672512	5.039509295	5.338924851	5.200854877	5.44629515	4.798713322	4.506394682	5.476952902	5.448205405	5.174673911	5.559714703	5.146561688	4.8070509	5.588603685	4.795421958	7.044799908	5.701936898	5.333195966	5.939211593
s_293	4.582282419	5.335904993	4.798039338	4.753236332	4.462340515	5.255589526	4.60179854	4.315575437	4.799361241	4.419653652	4.174582999	4.463963862	4.826278521	4.939870326	4.543540884	5.14792219	4.587169484	4.305843038	5.585205272	4.572638026	4.377763431	4.435685869	4.538508557	4.665964552	4.652292153	4.278752478	4.818779565	4.986686776	6.079362878	3.71332776	4.740060966	4.57755245	5.169638038	4.628739077	4.823734907	4.770429228	4.725329038	4.692711584	4.306174443	5.278279283	4.583819425	5.476928272	6.827690657	4.720185485	4.896028766	5.169615228	4.648963658	4.973092666	4.673662095	4.386977116	4.685455956	4.655882753	4.872883407	4.921538603	4.950035054	4.372237112	5.555143015	4.713219495	3.911816098	5.393397799	4.630276657	5.121072273	4.925935972	4.434915439	4.618345223	4.815320173	4.39034715	6.252074972	4.463759721	4.707256871	4.81989405	4.830302419	6.061038777	4.651923727	4.753964899	4.470743609	4.62058059	4.457356873	4.265901316	4.201288549	4.847977954	5.516632393	4.866149933	4.139085859	4.747180018	5.304211512	4.653211761	3.600889206	5.925422712	4.477482538	3.996245966	5.060482911
s_894	5.396120842	5.088342141	5.59296563	4.900854142	5.520534508	4.739773572	5.333425727	4.811001437	5.447390854	5.13386596	4.989917223	5.517881629	5.259317971	5.788270842	5.455527304	5.219917904	5.251925824	5.461435884	4.756879665	5.262197056	5.242986725	5.851022729	5.488397699	5.441308765	4.78213555	5.226008141	5.384257257	5.184867889	5.595904458	5.781278832	5.632115224	5.470197	4.835786358	5.232512784	4.819908579	5.623784984	5.425505043	5.086967852	5.068394879	4.878605991	5.010779127	5.85805926	4.092103231	4.989876087	5.153515265	5.589035238	5.71063991	3.914118709	5.081300731	5.32599125	5.389348629	5.340163878	5.526871126	4.961561335	5.576611846	5.200109464	5.480573112	5.315057914	4.777863508	5.21985481	4.711684587	5.727770948	4.919118855	5.308335711	4.911689866	4.968916337	5.136179429	4.763342786	5.373630586	5.965698036	5.993625242	5.6209602	5.608680424	4.37600765	5.278101585	5.410351262	5.195228346	5.556974852	4.565703354	6.042421756	5.303138429	5.762736626	4.92084886	5.216259361	5.696171661	6.137238332	5.372635704	5.568046153	4.829611001	5.368143144	5.408665966	4.991291296
s_1149	5.171682019	4.964511663	5.295194717	5.885424639	5.085455243	4.800490057	5.219105277	4.939635278	4.967594206	5.298162269	4.908296245	4.707152171	5.27784566	5.179451162	5.629160847	5.072065038	5.044791161	5.359246545	5.121805361	5.193875922	5.256273842	5.668549344	5.502270913	5.735854747	5.417481625	5.568633312	5.870486922	4.954589342	3.897372021	7.072395232	5.534149043	4.859989038	5.01669185	5.172784688	5.440021053	5.763439875	5.379335252	5.900520103	5.138142668	5.063737527	4.853572457	5.708293112	5.361359664	5.176135965	4.435011945	5.531490266	5.211191298	4.121909399	5.741152084	5.160603297	5.18539202	5.299312078	5.105386606	5.758463341	5.387398214	5.257377963	5.395493307	5.667749526	5.271659805	4.899061339	5.14126802	5.329398809	5.451869277	5.051403506	5.222011159	5.416551231	4.793622684	5.74760443	5.437723434	5.309951524	4.443298501	5.70044592	5.181803582	5.899903107	5.163359093	5.460292078	5.154556089	5.214778372	5.328227958	6.017445195	4.64390616	5.189151471	5.046775791	5.475633456	5.081922655	4.213491669	5.175103988	5.044024676	5.591549714	5.569567724	5.844285966	3.90318036
