sample_id	TNFRSF14	LDL-receptor	ITGB2	IL-17RA	TNF-R2	MMP-9	EPHB4	IL2-RA	OPG	ALCAM	TFF3	SELP	CSTB	MCP-1	CD163	Gal-3	GRN	MEPE	BLM-hydrolase	PLC	LTBR	Notch-3	TIMP4	CNTN1	CDH5	TLT-2	FABP4	TFPI	PAI	CCL24	TR	TNFRSF10C	GDF-15	SELE	AZU1	DLK-1	SPON1	MPO	CXCL16	IL-6RA	RETN	IGFBP-1	CHIT1	TR-AP	CCL22	PSP-D	PI3	Ep-CAM	AP-N	AXL	IL-1RT1	MMP-2	FAS	MB	TNFSF13B	PRTN3	PCSK9	U-PAR	OPN	CTSD	PGLYRP1	CPA1	JAM-A	Gal-4	IL-1RT2	SHPS-1	CCL15	CASP-3	uPA	CPB1	CHI3L1	ST2	t-PA	SCGB3A2	EGFR	IGFBP-7	CD93	IL-18BP	COL1A1	PON3	CTSZ	MMP-3	RARRES2	ICAM-2	KLK6	PDGF-subunit-A	TNF-R1	IGFBP-2	vWF	PECAM-1	NT-pro-BNP	CCL16
s_328	5.093436241	6.389821313	5.865545761	4.40693094	5.406429479	5.586431675	5.25127528	5.185009844	5.403038855	5.321841785	4.722732151	5.299227676	5.582737789	5.550440958	5.725052755	5.534880362	5.525568443	4.862788885	5.210360563	5.280374685	5.355414418	5.746555444	5.132753471	5.386599924	5.358889331	5.089297517	6.121784428	5.283998559	6.994674438	5.538690912	6.067871667	5.826322265	5.446133826	5.9406794	4.747485158	6.727660065	5.360223619	5.449912917	5.33842162	5.43961076	4.856098267	5.304019244	5.943510395	5.041004053	4.608846981	5.907497564	5.191659886	4.185465655	5.113772382	5.291432109	5.301536999	5.227301501	5.377620697	5.666445667	5.311942594	4.84282131	5.453043257	4.895459011	5.338187879	5.671307678	5.144924561	6.354190593	5.633298536	5.604570769	5.464430235	5.657022146	5.056062989	5.949722686	5.236113643	6.210620771	4.877236149	4.876454152	5.595742228	5.419829663	5.494425116	5.401740051	5.143933772	5.298820862	5.203784002	4.567199116	5.737477605	4.408073595	5.42540662	5.425613919	5.267304377	5.047903464	5.134310474	4.138537323	5.559742126	5.601187236	5.357805966	5.827072621
s_439	5.330664532	4.606286353	5.332198523	5.343263639	5.351320924	5.201375272	5.298438087	5.487480603	5.215287161	5.409734751	8.080885381	5.263646301	5.275126791	5.22863505	5.058950998	5.367399723	5.497625901	5.277488943	5.276415773	5.197687641	5.279302562	5.410154215	4.960849783	5.656778424	5.557508214	5.289271646	4.498733547	4.594008189	5.417848052	5.689246121	5.280046534	4.868510864	4.729054617	5.215859176	4.41560368	4.434488901	5.080655638	5.049326431	5.393298066	5.496029947	5.10053979	6.372247613	3.66195549	5.419295266	6.053447115	5.376895553	4.54570129	7.19524457	5.592167513	5.224314021	5.363665858	5.433011245	4.975942022	4.667816316	5.31948366	5.321566763	5.049777329	5.382429865	5.258645399	5.307390582	5.246461582	5.413064852	5.519512227	5.983367359	5.587895237	5.115110648	5.535252107	4.649760209	4.959180341	4.842578002	5.002146026	5.476193988	4.963867479	6.08369688	5.401559564	4.954272524	5.073791709	5.06089411	5.301920084	5.321738785	5.57634731	4.867425907	5.126263509	5.129917922	4.999645781	6.242734542	5.247774044	4.163970705	4.489209705	5.117740537	4.122145966	5.37287053
s_1173	5.747842151	6.650952791	5.710371072	4.499547294	5.779880806	5.655624297	5.473202965	5.537025545	5.086411441	5.528780436	5.008263003	5.704450406	5.335577133	5.285265011	5.599053572	4.934585903	4.970944434	5.486992493	6.100151104	5.40493508	5.564927553	5.157373994	5.537832393	5.442401684	5.642320518	5.870045572	5.631747567	5.75219876	6.130016798	5.830155054	5.60126023	5.310835154	5.394278152	5.728201485	5.888524172	6.181982043	5.194828335	5.68674924	5.335058291	6.008363872	6.944347427	3.595792723	4.77120117	5.668352315	13.82394733	5.147607929	6.148980761	6.433750116	5.456443697	5.923850574	5.675163412	5.114343932	5.614591785	5.611839671	5.323183666	5.990999591	6.036939243	5.34292345	5.267202892	6.044467703	5.831370699	5.08873598	6.468054378	5.72133051	6.009386729	6.145013291	5.530773745	6.608922958	5.437595881	5.477843347	5.896523933	5.161046848	6.209942504	4.336969368	5.396376345	5.595277432	5.222787471	5.764505332	5.229896676	4.761534283	6.523047414	5.574201224	5.610822911	5.556535071	6.171033874	4.991416216	5.741598778	4.517903893	6.192013568	5.922393486	3.780555182	6.280211306
s_782	5.383747116	5.236604093	5.353698025	5.357919679	5.388143784	4.779410351	5.389824556	4.929122487	5.015577216	5.354549695	4.733644377	5.205948162	5.100370711	5.125565464	5.22283636	5.477225043	5.256298708	4.912470721	5.195407913	5.413061425	5.51326087	5.830701077	5.762359743	5.5870108	5.471170524	5.370930541	5.489822359	5.04874258	4.395426927	6.164770517	5.537517598	5.839315757	5.19636473	5.364269241	5.110193018	5.501174229	5.401524401	5.355625499	5.518677365	5.382741451	4.702170612	5.857029757	6.218376901	5.320459628	4.051345328	5.299168273	4.676124538	5.76310608	5.300412915	5.466071987	5.431146281	5.352463042	5.373173242	5.145955795	5.037248169	5.202093904	5.273178006	5.402115589	5.192137976	5.236274666	5.208472466	4.397483808	4.990403917	5.472787195	5.220830742	5.771008019	4.943150351	4.204636964	5.605377233	4.661266346	5.690281885	5.352801705	5.179060307	6.356989939	5.201334796	5.481819793	5.383128032	5.511613269	5.324755349	5.783300425	5.20287848	4.906179548	4.831713823	5.618794528	5.134253385	5.015893042	5.303415287	6.171830066	4.365948093	5.460010735	7.614925966	5.489246339
s_1060	5.679843546	5.1622533	5.258971315	5.255024076	5.741683567	5.126143605	5.701847495	5.309229035	5.2345856	5.2738956	4.90215415	5.692402118	5.887398016	5.67037971	4.751861544	5.547636664	4.93435627	5.540991983	5.315387651	5.482102026	5.674175958	5.299464489	6.737912308	5.038359953	5.690140935	5.197968019	6.084460301	5.362609258	6.347998245	5.749177099	5.409478081	5.663310753	6.063831789	5.164995191	5.060735982	5.564494587	5.538583065	4.603572044	5.809830644	4.494031559	5.178141622	5.116699304	5.695931693	5.091523531	6.154264513	6.262995714	5.640629284	5.208448733	4.99861341	5.127907897	5.808418876	5.426663681	5.807108508	5.949629358	4.574620512	4.948949869	5.204062587	5.352573872	5.695186979	5.354187805	5.107736387	5.630964698	5.429892695	5.860611556	5.113030042	6.05320813	5.591303071	4.856188985	5.289150563	5.296562874	5.844737394	5.754481172	4.815312099	4.968369795	5.316899432	5.727505234	5.580905235	5.531015244	5.404317956	5.337667218	5.892429067	6.636573913	5.185913895	5.760364365	5.862477683	5.617794718	5.846400843	5.194841812	3.683080708	5.418999491	6.217005966	5.696494754
s_1161	5.437188497	5.976179628	4.96173576	5.384482827	5.181627068	5.680151447	5.263882982	5.28859328	5.14578961	5.37893041	4.936934666	6.011359604	5.283576715	5.383907415	5.093607615	4.36749342	5.160622705	5.364975203	5.2352546	5.175518126	4.935573198	4.484224583	5.011629147	5.242221198	5.835797353	5.202410252	4.94891239	5.59385504	5.817357326	5.773022612	5.23249046	4.891734112	4.878169359	5.498991487	4.704559746	4.453308588	5.208805015	5.316095248	5.475318372	5.291484582	5.246798594	5.395864513	3.842203853	5.672580637	4.854565828	5.687812339	5.247712529	3.295113924	5.859330225	5.23969003	5.498875456	4.960132307	5.295434055	5.150106349	5.265772871	5.369415562	5.080021197	5.13395973	5.41029997	5.674655923	5.066113257	5.042218195	5.599632609	4.888960801	5.139614033	5.818485821	5.307282376	6.734585096	5.245420619	4.849356704	4.80360059	5.232228008	4.899602457	5.54146951	5.578241957	5.576381145	5.42524403	5.210965422	4.956899445	5.878258732	5.605146558	5.630185357	5.248005242	5.629791655	5.350321524	5.645061287	5.459110606	5.351991293	4.040227899	5.758398668	3.780555182	4.930640906
s_481	5.369322795	5.635170846	5.407401078	5.526868651	5.247922155	4.745188039	5.182857921	4.725139824	4.919870806	5.091679713	4.536370967	5.50045879	4.928515729	5.020459226	5.173415096	5.207330716	5.364155926	4.909370409	5.573014128	5.320942484	5.295804301	5.134059623	4.801103335	5.403136032	5.993120542	5.41816505	5.231321338	5.47789058	5.898701758	5.8441092	5.277007524	5.87094127	4.976360755	5.844034502	5.395929241	6.074611395	5.216087111	5.463957415	5.303625178	5.337924291	4.948868378	3.958252396	4.609465911	5.357631049	4.878481496	5.112713556	6.108221662	5.98655993	5.065606341	5.322359005	5.569674619	5.128952119	6.452022932	5.784429105	5.002120983	5.091669088	4.7833669	4.829689541	4.700306098	5.398686082	5.097136041	5.28395431	5.421254593	5.084246902	5.414812905	5.505735461	5.100750739	4.559512364	5.108120777	5.352971133	4.56340285	5.835770109	5.042145159	4.581662661	5.33398149	5.632495028	5.375608144	5.291824098	5.607099939	4.878082412	5.441583435	6.125863391	5.368711967	5.631788149	5.215623987	4.987050882	5.56126722	4.583868228	5.913486737	5.475514613	4.425055966	4.80934131
s_1461	4.752388863	4.038736155	4.615307055	5.348889199	4.743433406	4.37739842	4.868034601	5.200606796	4.577177239	4.614366505	4.339748939	3.991969495	4.477902432	4.890838404	4.941605662	4.838125487	4.889178828	6.638864259	5.508735812	4.783463108	4.663622357	4.473303733	4.085980408	5.021006951	4.02687398	5.214242189	3.509261065	4.568051268	3.941792356	3.721472577	4.875911809	4.709894039	4.076944514	4.58494085	4.661265536	4.204770823	4.793447399	5.058677803	4.722344259	5.176561626	4.668733373	4.639639121	2.316424703	5.009808184	4.122632527	5.769914334	4.57280966	5.677648749	4.961932317	5.283445497	4.744541106	5.501389642	4.882324857	4.830558195	4.736826538	4.576235386	5.116884782	4.666064267	5.072284435	4.591099949	4.668267155	3.153939678	4.599674361	5.585380152	4.441736183	5.237392614	4.399779801	4.951787412	5.306837989	3.540773561	4.29064112	4.770785954	4.34060295	4.567512359	4.947052651	4.974302065	5.155370291	4.787975282	5.560789666	5.121230182	4.694198247	5.24390258	4.65946218	4.477272358	4.923988393	3.860389398	4.625248872	4.336630827	3.540946645	4.755026567	5.315865966	4.81704773
s_1027	4.769510708	4.359574188	5.219282317	5.629848928	4.603657397	4.988254602	4.865527169	4.753699384	4.789838488	4.880280943	4.145240362	4.866686023	4.678087782	4.745940862	4.887098071	4.342981038	4.798229165	5.463143834	5.291032165	5.126103248	4.942902602	5.088409391	4.329325703	5.327005048	5.115132189	5.199916126	3.231709858	4.665333047	4.522318277	5.063616429	5.435665313	4.629989227	4.069195315	4.840234802	5.189254802	5.911107624	5.195479727	4.843303116	4.75466186	4.773292186	5.195755132	4.466729245	4.01010098	4.614634329	6.165751194	4.77225951	4.837876847	4.721461336	4.805030037	5.433748546	4.779853163	5.416134933	4.731810568	4.547922129	4.583432164	4.703257502	5.112017478	5.042512593	4.94103565	4.320616045	4.880467607	4.076110044	4.882953458	4.551063924	4.873922692	5.453386766	6.390952932	4.942568687	5.1163917	4.310373046	4.85720016	4.993095909	5.06862553	4.648195902	5.056694782	4.961243283	5.147793314	4.908735517	5.527553843	5.273350383	4.732594403	4.814088329	4.59382316	4.360741862	4.887979809	4.481457493	4.613585758	4.036181996	6.377506127	4.839296903	4.636815966	4.397906596
s_84	5.324650213	5.361802942	5.640233367	5.332307169	5.348429899	6.194113808	5.384661157	4.934202487	5.131368105	5.55313453	4.640084555	5.267376882	5.321601037	5.109212389	5.676992765	5.56002095	5.261632939	6.776865659	5.765159259	5.317081558	5.26281416	5.191679654	5.61249649	5.408487325	4.875897301	5.503699304	5.001671349	4.900806124	4.651588595	5.500177446	5.393392687	5.715323655	4.895484567	4.600536936	5.627542922	4.768475915	5.335939357	5.371144407	5.112186656	4.916182061	5.650761701	4.553192068	6.521888122	5.380799177	4.96318063	5.674750162	5.495701626	4.578973317	5.337285163	5.500300211	5.461903531	6.077783818	5.304918352	5.154101636	5.252329732	5.47414834	5.969790549	5.233120848	5.551243441	5.257318612	5.287959018	5.160160658	5.326763392	4.73300974	5.574185061	5.730480681	5.047614738	5.573077156	6.233474594	5.658495271	4.886487941	5.733120048	5.379079576	5.212875578	5.577133367	5.641941203	5.594398324	5.719907008	5.582166259	6.395133435	5.083855238	5.979490789	4.734207584	5.41841619	5.562473286	5.579994473	5.262727619	5.385511651	5.239806699	5.376475853	5.643115966	4.239799409
s_1054	4.857317269	4.529999006	5.504546691	5.277711243	4.956254118	5.712198787	4.604864051	4.68572492	4.873619611	4.762459619	4.612565043	4.333319234	4.871127954	4.784157294	5.181224556	5.007851025	5.003179439	4.360062855	5.097792145	4.933350089	5.001003596	5.278081206	5.119613769	4.81758385	5.550669685	4.923206436	4.969139869	4.309642559	5.243565913	5.546039695	4.22698136	5.011350099	4.456454485	4.218995013	5.479904269	4.682210741	5.166828521	4.964458581	5.220785031	4.31917498	5.381830379	4.842389451	4.844052831	4.981718847	4.608210501	4.616805889	5.368890246	5.975229377	4.87748592	4.694050501	5.082249195	4.920209957	4.426707642	5.31022649	4.765582639	6.005502656	4.838183541	4.940515564	3.705232619	4.504681947	5.587512037	5.382880251	5.219902337	5.031857334	4.646668634	4.312224669	4.963362309	5.39955481	4.187547473	4.895911942	5.866190622	3.574690928	4.670466447	4.927574615	4.952974091	4.842932371	5.01745783	4.795257347	4.717665038	4.89787054	4.737181993	5.274619033	4.845657367	4.832673702	4.926195471	5.630447511	4.855764834	4.907329661	6.244486683	4.887443873	4.788715966	4.660540917
s_455	4.710726007	4.907446108	5.169708411	5.24303692	4.87851528	4.510727205	4.495132437	4.849735102	5.218794208	4.953102017	4.804114541	4.716580988	4.7570393	4.807632693	5.426225532	4.692827165	4.666962581	4.539343339	5.094385121	4.864983694	4.580425362	4.782563463	4.992331211	4.792736904	5.864601648	4.720622443	4.485768737	5.057828385	4.383844732	5.63897438	5.022653912	5.233007524	4.815807068	4.945606859	4.861663404	5.197019097	4.879335602	4.668831985	4.756520628	4.919501706	4.524984974	5.076502888	4.75873951	5.11203144	4.358994083	5.244739897	5.161332268	4.646803679	5.124277062	4.956623066	4.873655168	4.986213596	5.050247503	4.966343737	4.560223097	4.543392561	4.579063168	4.58397378	4.383469109	4.784556684	4.638913601	4.610623873	4.660630885	5.229606347	5.383709017	5.343053105	4.276381204	4.448241936	5.417813231	4.571833183	5.079731512	5.974835415	5.747255583	5.835247237	5.020932826	4.980096531	4.878356745	4.928086513	4.847343501	4.188010457	4.859730173	5.134341582	4.277035697	4.932954171	5.038739856	4.570560267	4.76333991	5.113033341	4.803646272	5.015719954	3.780555182	5.228375753
s_1099	4.323193598	3.23380946	3.82886362	4.993929089	4.089822996	4.255377996	4.412014445	4.194840639	3.785196361	4.216576491	3.490842137	4.456051844	3.696157076	3.929953501	4.249953609	3.990445602	4.230076531	5.504851038	4.185462601	4.148588405	3.905284162	4.01501309	4.000081961	4.339438638	3.183856049	4.578577456	3.091542625	3.58979351	3.17177448	4.782823283	5.369739261	4.77877501	3.619482871	4.398734447	4.482663645	4.154134787	4.529217412	4.212292626	3.925160333	4.426923947	4.428808636	4.367450917	3.655979216	4.137762358	3.840865738	5.509493821	3.987041642	4.549897521	4.384965272	4.26960083	4.215033804	4.609438028	4.117985818	3.79138809	3.868660077	4.28126217	3.861743665	4.110812734	5.056857912	4.08900864	4.176912238	3.839802327	5.014129914	4.127251018	4.362754208	4.36967818	3.580822267	5.735242227	4.988774414	4.136806048	4.059970393	4.435546378	4.919855727	4.015462503	4.172174339	4.230385384	4.167392327	4.375383079	4.644114207	4.36479294	3.864244662	4.580683177	2.868012524	4.297424978	4.262725812	3.510469699	4.249999149	4.283030325	3.662415285	4.606813594	3.780555182	3.982025065
