project_accession	sample_accession	sample_name	experiment_accession	run_accession	experiment_title	library_name	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	file_type	file_name	file_md5	file2_name	file2_md5	file3_name	file3_md5
CNP0000334	CNS0046841	C0092	CNX0036785	CNR0054864	DNA-seq of human gut	wHAXPI054623-83	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0092_RmHost.1.fq.gz	60123573e4ea263dcf2bf650533ff865	C0092_RmHost.2.fq.gz	0d22d43af1b9939edd7c9bde3e83dd44		
CNP0000334	CNS0046866	C0093	CNX0036786	CNR0054865	DNA-seq of human gut	C0093	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0093_RmHost.1.fq.gz	6d34345385743e644a5fe7f377ff6e98	C0093_RmHost.2.fq.gz	e69675b2cd8c048234948cab81655a32		
CNP0000334	CNS0046817	C0094	CNX0036787	CNR0054866	DNA-seq of human gut	C0094	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0094_RmHost.1.fq.gz	c6258a73b2454a040b407a257d12d902	C0094_RmHost.2.fq.gz	4f39e376ad443bacd95bafd7216d22c5		
CNP0000334	CNS0046856	C0095	CNX0036788	CNR0054867	DNA-seq of human gut	C0095	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0095_RmHost.1.fq.gz	a850086b5f1073ddf9fcbe20cb665ae6	C0095_RmHost.2.fq.gz	76164fdfe803ef7839b2f0add8eb1ff3		
CNP0000334	CNS0046887	C0098	CNX0036789	CNR0054868	DNA-seq of human gut	C0098	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0098_RmHost.1.fq.gz	cc368b86fe36143289e553be7c8eef81	C0098_RmHost.2.fq.gz	19d94bf8dad1db171da410f172374153		
CNP0000334	CNS0046826	C0099	CNX0036790	CNR0054869	DNA-seq of human gut	C0099	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0099_RmHost.1.fq.gz	b8f7fa8f8a3102ab18da4688b03a5559	C0099_RmHost.2.fq.gz	ec7317aa09eaf1e1374216e9586983b1		
CNP0000334	CNS0046886	C0100	CNX0036791	CNR0054870	DNA-seq of human gut	C0100	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0100_RmHost.1.fq.gz	43598cdedca8efc27053eb5291dea0f3	C0100_RmHost.2.fq.gz	7b48d41d71c1b6cf8d7ef52f1b33d1bb		
CNP0000334	CNS0047043	C0102	CNX0036792	CNR0054871	DNA-seq of human gut	C0102	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0102_RmHost.1.fq.gz	20c11f51e54037175f5598762f81f02b	C0102_RmHost.2.fq.gz	429e6f7183a6bcf63775b84210b9483b		
CNP0000334	CNS0047015	C0103	CNX0036793	CNR0054872	DNA-seq of human gut	C0103	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0103_RmHost.1.fq.gz	6764abba020ec7b3b32e0c08262d9d6e	C0103_RmHost.2.fq.gz	de19ab5987a53580e76f41fdb9658407		
CNP0000334	CNS0046743	C0104	CNX0036794	CNR0054873	DNA-seq of human gut	wHAXPI054945-77	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0104_RmHost.1.fq.gz	2deb46fddcd98bfe3792d8b5ef6cc64b	C0104_RmHost.2.fq.gz	7be55f4a488ac6acf7d485564c0c573f		
CNP0000334	CNS0046891	C0105	CNX0036795	CNR0054874	DNA-seq of human gut	C0105	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0105_RmHost.1.fq.gz	995b5897dd8c99a65a8f864dc334ac54	C0105_RmHost.2.fq.gz	d559afddceb3fb0dc4382b848d2b823d		
CNP0000334	CNS0046980	C0107	CNX0036796	CNR0054875	DNA-seq of human gut	wHAXPI054824-101	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0107_RmHost.1.fq.gz	c2315f2a4a3b8d0e0af37223c9636801	C0107_RmHost.2.fq.gz	4ddd2b05e3f5d3e09b4a7d6ca6e97a09		
CNP0000334	CNS0046774	C0110	CNX0036797	CNR0054876	DNA-seq of human gut	C0110	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0110_RmHost.1.fq.gz	26bb1094cb30b001d7a2f99b47cac45c	C0110_RmHost.2.fq.gz	bb4c0815e33ef5eae558dc603e5c7dc2		
CNP0000334	CNS0046845	C0111	CNX0036798	CNR0054877	DNA-seq of human gut	wHAXPI054803-32	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0111_RmHost.1.fq.gz	3f9e30c2621f6da28b815391607e62d5	C0111_RmHost.2.fq.gz	48cabcef18e000f961a933b21555fa9c		
CNP0000334	CNS0046860	C0113	CNX0036799	CNR0054878	DNA-seq of human gut	C0113	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0113_RmHost.1.fq.gz	1c27f6b296c42b51a5b6fe5b99a8a64e	C0113_RmHost.2.fq.gz	a4578e0853a1bb49d2ac1733f5f0fb23		
CNP0000334	CNS0046965	C0114	CNX0036800	CNR0054879	DNA-seq of human gut	wHAXPI054621-81	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0114_RmHost.1.fq.gz	73aba9f247b605662ebdf7a76396a0f6	C0114_RmHost.2.fq.gz	3b56fa4cd65ffde1074a97a40f3ab12c		
CNP0000334	CNS0046726	C0115	CNX0036801	CNR0054880	DNA-seq of human gut	C0115	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0115_RmHost.1.fq.gz	ff76f6a97ae35f30b80e150e4682b362	C0115_RmHost.2.fq.gz	d6209849222ab985a462dbff9dcbf5ea		
CNP0000334	CNS0047012	C0117	CNX0036802	CNR0054881	DNA-seq of human gut	C0117	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0117_RmHost.1.fq.gz	1da897a28dce3429df69149a79585861	C0117_RmHost.2.fq.gz	17ef71aaf4b276a804fbdead95a07e34		
CNP0000334	CNS0046937	C0118	CNX0036803	CNR0054882	DNA-seq of human gut	C0118	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0118_RmHost.1.fq.gz	ec5b984d758435158a99d90480918c7f	C0118_RmHost.2.fq.gz	44a856924d43da45f39407c478a3ed78		
CNP0000334	CNS0046973	C0123	CNX0036804	CNR0054883	DNA-seq of human gut	C0123	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0123_RmHost.1.fq.gz	12a927da8dc92cfdd243f3f3f7aba9d4	C0123_RmHost.2.fq.gz	0e0fba0aa5ca5130b07fab5e969a069f		
