project_accession	sample_accession	sample_name	experiment_accession	run_accession	experiment_title	library_name	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	file_type	file_name	file_md5	file2_name	file2_md5	file3_name	file3_md5
CNP0000334	CNS0047037	K0003	CNX0036830	CNR0054909	DNA-seq of human gut	wHAXPI054804-35	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0003_RmHost.1.fq.gz	9b62462e1c0a5ea7e800417f74f60c56	K0003_RmHost.2.fq.gz	a5d58369ed792f5fb9604813fe82bdca		
CNP0000334	CNS0047038	K0005	CNX0036831	CNR0054910	DNA-seq of human gut	K0005	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0005_RmHost.1.fq.gz	9dd88c542fea917ec28605ac5fdc74c8	K0005_RmHost.2.fq.gz	f8df8902f283d0023537222237082a7f		
CNP0000334	CNS0047039	K0006	CNX0036832	CNR0054911	DNA-seq of human gut	wHAXPI054920-17	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0006_RmHost.1.fq.gz	775c2afe269b234cf8125431dd85862a	K0006_RmHost.2.fq.gz	c799f267622e055bfcb129a1a27cb039		
CNP0000334	CNS0046793	K0008	CNX0036833	CNR0054912	DNA-seq of human gut	K0008	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0008_RmHost.1.fq.gz	c05331ec7714dcfe1eddf855ea9e42c9	K0008_RmHost.2.fq.gz	7cf27dccfbc7b8969fcb12cb41556762		
CNP0000334	CNS0046979	K0009	CNX0036834	CNR0054913	DNA-seq of human gut	wHAXPI054608-50	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0009_RmHost.1.fq.gz	6b84b649fa96756a2a3b32e09102166c	K0009_RmHost.2.fq.gz	769a43bebbb7cca370594dcf38dc5ebe		
CNP0000334	CNS0046880	K0010	CNX0036835	CNR0054914	DNA-seq of human gut	wHAXPI054598-26	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0010_RmHost.1.fq.gz	92613f3a4d9ba8c677d0002f89e38965	K0010_RmHost.2.fq.gz	4af1c2db4ef0730cc02ea45cb3bfa3b7		
CNP0000334	CNS0047011	K0013	CNX0036836	CNR0054915	DNA-seq of human gut	K0013	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0013_RmHost.1.fq.gz	e7b590accb527cc0e261e471ed1aec63	K0013_RmHost.2.fq.gz	5e6192443b83d557104ef087446d27c7		
CNP0000334	CNS0046828	K0014	CNX0036837	CNR0054916	DNA-seq of human gut	K0014	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0014_RmHost.1.fq.gz	708966bf370f3e247b5a14697a54bd4a	K0014_RmHost.2.fq.gz	239c84995d1ff0f8b93cf343d6535ed4		
CNP0000334	CNS0046896	K0015	CNX0036838	CNR0054917	DNA-seq of human gut	K0015	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0015_RmHost.1.fq.gz	6ed0b1f354c0083b45d6ffc9a67c113c	K0015_RmHost.2.fq.gz	972a0d74e58b98a6b12ccd92dbc142bf		
CNP0000334	CNS0046713	K0016	CNX0036839	CNR0054918	DNA-seq of human gut	wHAXPI054795-93	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0016_RmHost.1.fq.gz	a0cfdccb79e8738f6f713edac32172b4	K0016_RmHost.2.fq.gz	62fe0ba20bdf70a834fc07b1bd69e853		
CNP0000334	CNS0046917	K0017	CNX0036840	CNR0054919	DNA-seq of human gut	wHAXPI054796-94	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0017_RmHost.1.fq.gz	b6ad69c7f63f84f05580a60890aa878b	K0017_RmHost.2.fq.gz	9e463348139b40c350ba07e23d14bfb5		
CNP0000334	CNS0046759	K0018	CNX0036841	CNR0054920	DNA-seq of human gut	wHAXPI054826-111	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0018_RmHost.1.fq.gz	6262301b3f030c4704298c1434dc9f21	K0018_RmHost.2.fq.gz	41a7acf4dcfe2b79d89c148be762ea6c		
CNP0000334	CNS0046942	K0019	CNX0036842	CNR0054921	DNA-seq of human gut	wHAXPI054611-58	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0019_RmHost.1.fq.gz	306ccd3259ff93d4adf34c7ac668b670	K0019_RmHost.2.fq.gz	22fcfcf4cd0383f30b942a6b681ae37a		
CNP0000334	CNS0046867	K0021	CNX0036843	CNR0054922	DNA-seq of human gut	wHAXPI054829-130	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0021_RmHost.1.fq.gz	4fe22a8caf46c0dddd2086127f6e8018	K0021_RmHost.2.fq.gz	3c6f35fdc92a251922af37fd29a51ecc		
CNP0000334	CNS0046907	K0025	CNX0036844	CNR0054923	DNA-seq of human gut	wHAXPI054597-20	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0025_RmHost.1.fq.gz	94f805dfe5056345076f15ecdebba42b	K0025_RmHost.2.fq.gz	8a014fad2b778e385c519641d3b4265a		
CNP0000334	CNS0046925	K0026	CNX0036845	CNR0054924	DNA-seq of human gut	wHAXPI054601-30	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0026_RmHost.1.fq.gz	0ac417068663123dc60aea62b37bb358	K0026_RmHost.2.fq.gz	d9f05a184ee4870c6596c2308e343140		
CNP0000334	CNS0046773	K0028	CNX0036846	CNR0054925	DNA-seq of human gut	K0028	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0028_RmHost.1.fq.gz	fe1cf8f78f369315d623417f3e67dfe7	K0028_RmHost.2.fq.gz	f997cd4e5a86b8632df567aa5379dcac		
CNP0000334	CNS0046812	K0029	CNX0036847	CNR0054926	DNA-seq of human gut	wHAXPI054820-73	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0029_RmHost.1.fq.gz	ce6851255d56069bb826935f2d1feaf3	K0029_RmHost.2.fq.gz	5a32ce3b956afa59b074455b6e75f5b8		
CNP0000334	CNS0046929	K0030	CNX0036848	CNR0054927	DNA-seq of human gut	K0030	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0030_RmHost.1.fq.gz	02379603a2aa4b74f20054bc08e861b8	K0030_RmHost.2.fq.gz	7be4647dedb18bb4859e490874077805		
CNP0000334	CNS0046728	K0031	CNX0036849	CNR0054928	DNA-seq of human gut	K0031	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0031_RmHost.1.fq.gz	ebfe3539b84f8b3f7bd2a6b336e39945	K0031_RmHost.2.fq.gz	37e9ba2a222555162cc2b80c3f6cc4aa		
CNP0000334	CNS0046909	K0033	CNX0036850	CNR0054929	DNA-seq of human gut	K0033	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0033_RmHost.1.fq.gz	1f849bd8df56d13967b84192892e7b3b	K0033_RmHost.2.fq.gz	61336e016a7b18614504cead5c595d72		
CNP0000334	CNS0047027	K0034	CNX0036851	CNR0054930	DNA-seq of human gut	wHAXPI054957-94	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0034_RmHost.1.fq.gz	f50fe5b81221490fd7501179c2ebe924	K0034_RmHost.2.fq.gz	3aba40e91c286f9f24ffdd2d9e0f5f2b		
CNP0000334	CNS0047031	K0035	CNX0036852	CNR0054931	DNA-seq of human gut	wHAXPI054617-75	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0035_RmHost.1.fq.gz	cb09f8e25cade53038c9d275478ff5b3	K0035_RmHost.2.fq.gz	496e507ac07057c075c80afc2f58934d		
CNP0000334	CNS0046790	K0036	CNX0036853	CNR0054932	DNA-seq of human gut	K0036	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0036_RmHost.1.fq.gz	691a11c50d6adc3e6e223c89acc94099	K0036_RmHost.2.fq.gz	8fe259793693a3d1fcb57d97f606d8db		
CNP0000334	CNS0046691	K0038	CNX0036854	CNR0054933	DNA-seq of human gut	K0038	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0038_RmHost.1.fq.gz	38d1d5ba0b4a65a9e01245c4c2df2c2a	K0038_RmHost.2.fq.gz	76687aad2d7a1eb2df44be4acd962339		
CNP0000334	CNS0046983	K0041	CNX0036855	CNR0054934	DNA-seq of human gut	K0041	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0041_RmHost.1.fq.gz	7fc2136abf1eb3c2e14d97e99f1e4ab2	K0041_RmHost.2.fq.gz	0559b271e798b55441cce03227866bd5		
CNP0000334	CNS0046809	K0043	CNX0036856	CNR0054935	DNA-seq of human gut	K0043	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0043_RmHost.1.fq.gz	ff44a229293823c9440fd760ed35915f	K0043_RmHost.2.fq.gz	1c546ec5410bdaccaa79c05c97544cc0		
CNP0000334	CNS0046956	K0044	CNX0036857	CNR0054936	DNA-seq of human gut	K0044	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0044_RmHost.1.fq.gz	dc19dad86766ee3eddcc5d17d9896084	K0044_RmHost.2.fq.gz	6c36b5dcbaa5e23ffe8ce43c87ec86eb		
CNP0000334	CNS0046855	K0046	CNX0036858	CNR0054937	DNA-seq of human gut	K0046	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0046_RmHost.1.fq.gz	e0b58024042ee315b744cec2593638e4	K0046_RmHost.2.fq.gz	e5e2925b0f5d09d69b904dab21a75664		
CNP0000334	CNS0046756	K0047	CNX0036859	CNR0054938	DNA-seq of human gut	K0047	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0047_RmHost.1.fq.gz	94e4d58fe7b79cd8f3b5828e1d52c631	K0047_RmHost.2.fq.gz	8f059c783b319741e85d71a553af98d0		
CNP0000334	CNS0046747	K0048	CNX0036860	CNR0054939	DNA-seq of human gut	K0048	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0048_RmHost.1.fq.gz	219cb6fca1024a88a931d9054883648f	K0048_RmHost.2.fq.gz	ce6f69f27abcd2bf993a6a95aee1ccd3		
CNP0000334	CNS0046699	K0049	CNX0036861	CNR0054940	DNA-seq of human gut	wHAXPI054626-86	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0049_RmHost.1.fq.gz	d2802c05cdbec17741f60792b12e8db7	K0049_RmHost.2.fq.gz	f495eaedcfdcecec2a1f10eadb4f24d8		
CNP0000334	CNS0046789	K0050	CNX0036862	CNR0054941	DNA-seq of human gut	wHAXPI054950-84	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0050_RmHost.1.fq.gz	f4c801ff3e44ee49b4853510a7b51579	K0050_RmHost.2.fq.gz	9557ef1752b35a001adc709501fd8534		
CNP0000334	CNS0046751	K0051	CNX0036863	CNR0054942	DNA-seq of human gut	wHAXPI054952-86	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0051_RmHost.1.fq.gz	2a338f0122f9afe5737aff2ff2909a76	K0051_RmHost.2.fq.gz	161fdaf78aca42dd0e7c442aaae60fdb		
CNP0000334	CNS0046859	K0053	CNX0036864	CNR0054943	DNA-seq of human gut	K0053	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0053_RmHost.1.fq.gz	d69dd97f05ae85ecc9a7a3787665eedf	K0053_RmHost.2.fq.gz	c7c08b1f3539b8e29ef13326cc04e6e1		
CNP0000334	CNS0047013	K0055	CNX0036865	CNR0054944	DNA-seq of human gut	wHAXPI054935-54	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0055_RmHost.1.fq.gz	78392cdf84ae1c736a149939c744a282	K0055_RmHost.2.fq.gz	1b33a34d16723ae0de62516b2fd251ff		
CNP0000334	CNS0047008	K0056	CNX0036866	CNR0054945	DNA-seq of human gut	wHAXPI054932-44	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0056_RmHost.1.fq.gz	5ce227b82a307e212dc6f9b858aeb3ce	K0056_RmHost.2.fq.gz	eef56a9b8b5f69c94720a47cb83ddadb		
CNP0000334	CNS0046915	K0058	CNX0036867	CNR0054946	DNA-seq of human gut	wHAXPI054936-55	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0058_RmHost.1.fq.gz	7b0d88d1f582ba6c805a91aa32fefe4c	K0058_RmHost.2.fq.gz	fb70dd8ba7fd9f2384cdb797a036b8b6		
CNP0000334	CNS0047026	K0059	CNX0036868	CNR0054947	DNA-seq of human gut	K0059	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0059_RmHost.1.fq.gz	b6ac08a55884c1879d83c02cfd9f22b4	K0059_RmHost.2.fq.gz	767cef65373b85ad35d6e2a60916060e		
CNP0000334	CNS0046994	K0060	CNX0036869	CNR0054948	DNA-seq of human gut	K0060	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0060_RmHost.1.fq.gz	a1823a3042448e5fc3512ecd31676264	K0060_RmHost.2.fq.gz	4376afa441241ebc9acf087e8914fbc4		
CNP0000334	CNS0047046	K0063	CNX0036870	CNR0054949	DNA-seq of human gut	wHAXPI054966-42	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0063_RmHost.1.fq.gz	31620770033dd94046b6331f532f10bd	K0063_RmHost.2.fq.gz	99523324077b0978b07a6e20b6a48724		
CNP0000334	CNS0047029	K0064	CNX0036871	CNR0054950	DNA-seq of human gut	wHAXPI054819-72	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0064_RmHost.1.fq.gz	99f7cd66e0c40c09e016f6ab1a2e0d47	K0064_RmHost.2.fq.gz	8f09c91cc8e4abd2e6d0f772b73dcb65		
CNP0000334	CNS0046910	K0066	CNX0036872	CNR0054951	DNA-seq of human gut	wHAXPI054616-71	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0066_RmHost.1.fq.gz	dc6adcda15876162206bdf7e9a946766	K0066_RmHost.2.fq.gz	04fc8623d901e950683e5536715c0e37		
CNP0000334	CNS0046814	K0068	CNX0036873	CNR0054952	DNA-seq of human gut	K0068	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0068_RmHost.1.fq.gz	671b3196577acab1188c943107b81464	K0068_RmHost.2.fq.gz	c2a670b7879cf2ec5fd59dfb7dfcff30		
CNP0000334	CNS0046944	K0069	CNX0036874	CNR0054953	DNA-seq of human gut	K0069	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0069_RmHost.1.fq.gz	74b045f9dd5082240b9077b1d94e1c2f	K0069_RmHost.2.fq.gz	0c683974ae0c2c4d2d97a2cdb6e5d3ba		
CNP0000334	CNS0046791	K0070	CNX0036875	CNR0054954	DNA-seq of human gut	K0070	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0070_RmHost.1.fq.gz	5cd38c0ddec9a3bdd912e9d6be6f1d68	K0070_RmHost.2.fq.gz	d5f6ba2975f2fc65b6009cadbc6447d0		
CNP0000334	CNS0046804	K0071	CNX0036876	CNR0054955	DNA-seq of human gut	wHAXPI054596-19	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0071_RmHost.1.fq.gz	17f7c79bee4beec147a60c36de520b6a	K0071_RmHost.2.fq.gz	d3f7554f1e28372cddfeb2804e558097		
CNP0000334	CNS0046752	K0074	CNX0036877	CNR0054956	DNA-seq of human gut	wHAXPI054813-60	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0074_RmHost.1.fq.gz	2042e85be976bdd6793150443613e949	K0074_RmHost.2.fq.gz	05b3fe8227da8f61046d38a9f794df8b		
CNP0000334	CNS0046722	K0075	CNX0036878	CNR0054957	DNA-seq of human gut	K0075	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0075_RmHost.1.fq.gz	162407fb58c3a26f923597ef2020619b	K0075_RmHost.2.fq.gz	3847f64b6943b2cca4dea91fc1f66b64		
CNP0000334	CNS0046767	K0076	CNX0036879	CNR0054958	DNA-seq of human gut	wHAXPI054968-48	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0076_RmHost.1.fq.gz	3d2409a6246c0c2f02ed56000ba00d1f	K0076_RmHost.2.fq.gz	920a2d41201d0100a8ccfdac3cf69c1d		
CNP0000334	CNS0046730	K0077	CNX0036880	CNR0054959	DNA-seq of human gut	K0077	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0077_RmHost.1.fq.gz	9c37e9be1002f017801142f3e324fcf9	K0077_RmHost.2.fq.gz	d44f50c8438e38e3c81d847943db5689		
CNP0000334	CNS0046766	K0078	CNX0036881	CNR0054960	DNA-seq of human gut	K0078	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0078_RmHost.1.fq.gz	97cc10631e07afee15a6883184c0aa35	K0078_RmHost.2.fq.gz	d735aedd46f827252e7474c15b092f7a		
CNP0000334	CNS0046921	K0079	CNX0036882	CNR0054961	DNA-seq of human gut	K0079	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0079_RmHost.1.fq.gz	2cf0905fc7dea2b8fd28a9bd6620824e	K0079_RmHost.2.fq.gz	1e615aeafa7a7a81ffb4b8231638e839		
CNP0000334	CNS0046952	K0081	CNX0036883	CNR0054962	DNA-seq of human gut	wHAXPI054961-103	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0081_RmHost.1.fq.gz	fd3af9514584a2fa86551204e00cff62	K0081_RmHost.2.fq.gz	913a812726c401ea79c313a045b0d119		
CNP0000334	CNS0046947	K0083	CNX0036884	CNR0054963	DNA-seq of human gut	K0083	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0083_RmHost.1.fq.gz	990bd832293ed42e5fcb83d093aada78	K0083_RmHost.2.fq.gz	01099aa99be461231f01514ffb5c4322		
CNP0000334	CNS0046749	K0084	CNX0036885	CNR0054964	DNA-seq of human gut	wHAXPI054962-107	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0084_RmHost.1.fq.gz	a95a3edaa97aa7f82abed895d6d33e1b	K0084_RmHost.2.fq.gz	cf1f5df911abe1bbee02dca3575348f9		
CNP0000334	CNS0046692	K0085	CNX0036886	CNR0054965	DNA-seq of human gut	K0085	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0085_RmHost.1.fq.gz	6e022b0301b29739f31265aed4ecb192	K0085_RmHost.2.fq.gz	0240697fbc4bbd65cba1911bd6fb2f48		
CNP0000334	CNS0046831	K0086	CNX0036887	CNR0054966	DNA-seq of human gut	wHAXPI054606-44	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0086_RmHost.1.fq.gz	7aba8a208623cd3b915440299008d41d	K0086_RmHost.2.fq.gz	1baa4a7a5e432a894db5f09dea35af4a		
CNP0000334	CNS0046939	K0087	CNX0036888	CNR0054967	DNA-seq of human gut	K0087	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0087_RmHost.1.fq.gz	2cdb9d07538182a48e725990517905e4	K0087_RmHost.2.fq.gz	d25c6498ae6fa0df63d001b55001c082		
CNP0000334	CNS0046758	K0088	CNX0036889	CNR0054968	DNA-seq of human gut	wHAXPI054943-75	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0088_RmHost.1.fq.gz	f67dba0af98af98d7dc25fd35a79fc57	K0088_RmHost.2.fq.gz	d1cf3ce07bf925f144875c5f67c6448d		
CNP0000334	CNS0046878	K0091	CNX0036890	CNR0054969	DNA-seq of human gut	K0091	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0091_RmHost.1.fq.gz	cf97e7cf059ce19953a9be4ca5e04c7f	K0091_RmHost.2.fq.gz	e568cbe59fdc93598506088df8629ab2		
CNP0000334	CNS0047010	K0093	CNX0036891	CNR0054970	DNA-seq of human gut	K0093	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0093_RmHost.1.fq.gz	401f15b0db2b47b5f9343ef1d13f0855	K0093_RmHost.2.fq.gz	f3c7ceaf3011aa097ea6ad4408607b4c		
CNP0000334	CNS0046778	K0094	CNX0036892	CNR0054971	DNA-seq of human gut	K0094	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0094_RmHost.1.fq.gz	d1a1f98ed4c7a9817b5a9a3f834b35cd	K0094_RmHost.2.fq.gz	98f4e9a3e0f9fdaa4acd0ce77f818dc2		
CNP0000334	CNS0046706	K0095	CNX0036893	CNR0054972	DNA-seq of human gut	K0095	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0095_RmHost.1.fq.gz	d3389bf5b042cb591d72f31a7914ebd1	K0095_RmHost.2.fq.gz	00b7b822733f83f1e37e293af1bd414b		
CNP0000334	CNS0046941	K0096	CNX0036894	CNR0054973	DNA-seq of human gut	K0096	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0096_RmHost.1.fq.gz	41066a3fac137001377cd2067492981d	K0096_RmHost.2.fq.gz	20bf47a1fcd7417bcf39df6071f9c33c		
CNP0000334	CNS0047017	K0097	CNX0036895	CNR0054974	DNA-seq of human gut	wHAXPI054620-80	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0097_RmHost.1.fq.gz	4f9c32aa15a5dd56d131a4ca50627a2d	K0097_RmHost.2.fq.gz	e17b4eea8851a0a6487aa1e22b96285b		
CNP0000334	CNS0046813	K0099	CNX0036896	CNR0054975	DNA-seq of human gut	K0099	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0099_RmHost.1.fq.gz	4c9500b98306a7886ed228271b595bc8	K0099_RmHost.2.fq.gz	e28fec653ee44325ef1ae287c8cbe326		
CNP0000334	CNS0046972	K0100	CNX0036897	CNR0054976	DNA-seq of human gut	K0100	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0100_RmHost.1.fq.gz	1b4d4b24ca0b98dcd12881a236a1d9f5	K0100_RmHost.2.fq.gz	dadb030f9b0441a13f9fa4b576dc184b		
CNP0000334	CNS0047048	K0101	CNX0036898	CNR0054977	DNA-seq of human gut	K0101	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0101_RmHost.1.fq.gz	74798af1fa63ff852ea6ceeeb8e4d52c	K0101_RmHost.2.fq.gz	b069e5df9e71e37e5f3bda785ee5df4b		
CNP0000334	CNS0046708	K0102	CNX0036899	CNR0054978	DNA-seq of human gut	K0102	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0102_RmHost.1.fq.gz	e97e16e79708faad9369c5f032f5c48f	K0102_RmHost.2.fq.gz	ff174f4b18ee95e277ea3e1a97b5767e		
CNP0000334	CNS0046715	K0103	CNX0036900	CNR0054979	DNA-seq of human gut	K0103	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0103_RmHost.1.fq.gz	f8bfdf121e2f2935055370cb2cbb8ddf	K0103_RmHost.2.fq.gz	15e26bbaeae5ea5ef7bbd2d29dd543ba		
CNP0000334	CNS0046884	K0105	CNX0036901	CNR0054980	DNA-seq of human gut	wHAXPI054947-81	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0105_RmHost.1.fq.gz	af3655cb07b7138ce210e92e3634c3ea	K0105_RmHost.2.fq.gz	591ebcccff54bbd479f4bb19106407a1		
