"sample","(+)-catechin","(-)-Epicatechin gallate","(-)-Epigallocatechin gallate","(-)-Lyoniresinol 9'-O-glucoside","(2R,3S)-trans-epsilon-viniferin","(2R,3S,4S,5R,6R)-6-[1,7-bis(4-hydroxyphenyl)heptan-3-yloxy]-5-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-2-(hydroxymethyl)oxane-3,4-diol","(2R,3S,4S,5R,6S)-2-[[(2S,3R,4R)-3,4-Dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-(3,4,5-trimethoxyphenoxy)oxane-3,4,5-triol","(2r,3r,4s,5s,6r)-2-[1,7-bis(4-hydroxyphenyl)heptan-3-yloxy]-6-(hydroxymethyl)oxane-3,4,5-triol","1,2,3,4-tetrahydroisoquinoline-5-carboxylic acid","1,7-bis(4-hydroxyphenyl)-5-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyheptan-3-one","1-(3-Hydroxy-3-methyl-pent-4-enyl)-2,5,5,8a-tetramethyl-decahydro-naphthalen-2-ol","1-O-palmitoyl-sn-glycero-3-phosphocholine","1-Oleoylglycerophosphocholine","1-Palmitoylglycerophosphocholine","1-[2,4-Dihydroxy-6-methoxy-3-(3-methyl-2-buten-1-yl)phenyl]-3-(4-hydroxyphenyl)-2-propen-1-one","11-oxo-alpha-amyrin","1247-97-8","133164-11-1","137038-13-2","1453-93-6","16290-07-6","17353-03-6","19833-12-6","2-(QUINOLIN-3-YL)ACETIC ACID","2-methyl-2-(piperidin-3-yl)propanoic acid","2-methylquinoline-8-carboxylic Acid","3''-O-L-Rhamnopyranosylastragalin","3,5,5-Trimethyl-4-[3-(beta-D-glucopyranosyloxy)butyl]-2-cyclohexene-1-one","3,5,5-Trimethyl-4beta-hydroxy-4-[3-(beta-D-glucopyranosyloxy)-1-butenyl]-2-cyclohexene-1-one","3-(3-methylpiperidin-4-yl)propanoic acid","3-Cyclopropylquinoline-2-carboxylic acid","3-Hydroxy-11-ursen-28,13-olide","3-Methoxynobiletin","3-Rha(1-2)Gal(1-2)GluA-Soyasaponenol B","3-[(2S,4S,6R)-6-[[(2R,3R,4R,5S,6S)-3,5-Dihydroxy-6-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one","35700-51-7","4-methylquinoline-3-carboxylic acid","5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one","5-(6-Methyl-6-hydroxyheptyl)furan-2(5H)-one","6-Hydroxyluteolin 7-glucoside","69-53-4","71606-07-0","72036-50-1","8-[3-oxo-2-[(E)-pent-2-enyl]cyclopenten-1-yl]octanoic acid","8-[4,5-dihydroxy-6-(hydroxymethyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one","89576-29-4","Acanthoside B","Aceroside VIII","Avobenzone","CHEBI:181716","CHEBI:182811","CHEBI:182999","CHEMBL4471702","Camelliaside A","Capsaicin","Cer 18:0;3O/16:0;O","Cer 18:1;2O/16:0","Cer 18:1;2O/16:0;O","Cer 18:1;3O/24:0;O","Cer 20:2;2O/18:1","Cer 20:3;2O/18:2","Cer 34:0;4O","Cer 34:1;2O","Cer 34:1;3O","Cer 38:3;2O","Cer 38:5;2O","Cer 42:1;4O","Corymboside","Cynaroside","DG 12:0/12:0","DG 16:0_18:1","DG 18:0_18:1","DG 18:1_18:2","DG 24:0","DG 34:1","DG 36:1","DG 36:3","DIHYDROACTINIDIOLIDE","Dihydrocapsaicin","Dioctyl phthalate","Genistein 8-C-glucoside","Gossypin","Heraclenol","Hex2Cer 18:1;2O/16:0","HexCer 18:1;2O/16:0;O","HexCer 18:1;2O/29:10","HexCer 18:2;2O/16:0;O","HexCer 18:2;2O/16:1","HexCer 18:2;2O/18:0;O","HexCer 18:2;2O/18:1","HexCer 19:2;2O/18:1","HexCer 19:2;2O/28:9","HexCer 19:3;2O/15:0","HexCer 19:3;2O/17:0","HexCer 34:1;3O","HexCer 34:2;3O","HexCer 34:3;2O","HexCer 36:2;3O","HexCer 36:3;2O","HexCer 37:3;2O","HexCer 47:11;2O","Homodihydrocapsaicin I","Icariside F2","Isomeranzin","Isoquercitrin","Isoxanthohumol(Sophora)","LPC 12:0","LPC 14:0","LPC 16:0","LPC 16:1","LPC 18:1","LPC 18:2","LPC 20:4","LPE 12:0","LPE 13:0","LPE 14:0","LPE 14:1","LPE 15:0","LPE 16:0","LPE 16:1","LPE 17:0","LPE 17:1","LPE 18:0","LPE 18:1","MEGxp0_000125","MEGxp0_000300","MEGxp0_001390","MEGxp0_001411","MGDG 16:0_18:2","MGDG 34:2","MLS000876823","Megastigm-5-en-4-one 9-glucoside","Meloside A","Meranzin","Meranzin hydrate","Myricetin 3-O-galactoside","N-lactoyl-phenylalanine","NCGC00380823-01!2-(14-methylpentadecanoylamino)-3-phenylpropanoic acid","NCGC00381022-01","NCGC00384577-01","NCGC00384730-01","NCGC00384749-01!2-[[5-(4-hydroxy-3,5-dimethoxyphenyl)-6,7-bis(hydroxymethyl)-1,3-dimethoxy-5,6,7,8-tetrahydronaphthalen-2-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol","NCGC00384791-01!7-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxychromen-4-one","NONIVAMIDE","Nordihydrocapsaicin","Octocrylene","Oxypeucedanin hydrate","PC 18:1/18:1","PC 18:2/18:2","PC 26:0","PC 28:0","PC 30:0","PC 30:1","PC 31:1","PC 32:1","PC 32:2","PC 34:1","PC 34:2","PC 34:3","PC 34:4","PC 36:1","PC 36:2","PC 36:3","PC 36:4","PC 36:5","PC 36:6","PC O-28:1","PC O-30:1","PC O-31:1","PC O-32:1","PC O-34:2","PC O-34:3","PC O-36:3","PC O-42:2","PE 30:0","PE 31:0","PE 32:1","PE 34:1","Phenylethyl primeveroside","Piperanine","Piperlonguminine","Procyanidin B1","Procyanidin B3","Protopanaxadiol","Quercetin 3-O-robinobioside","Quercimeritrin","Quinolin-8-yl-acetic acid","RUTIN","Rhodiosin","SCHEMBL424527","SM 32:1;2O","SM 33:1;2O","SM 33:1;3O","SM 34:0;3O","SM 34:1;2O","SM 34:1;3O","SPB 13:3;2O","SPB 14:0;2O","SPB 16:0;2O","SPB 16:1;2O","SPB 16:1;3O","SPB 17:1;2O","SPB 17:1;3O","SPB 18:0;2O","SPB 18:0;3O","SPB 18:1;2O","SPB 18:1;3O","SPB 18:2;2O","SPB 18:2;3O","SPB 19:0;2O","SPB 19:1;2O","SPB 19:1;3O","SPB 20:0;2O","SPB 20:1;2O","SPB 20:1;3O","SPB 24:0;2O","SPB 25:0;2O","SPB 26:0;2O","Saponarin","Sayaendoside","Schaftoside","Sinocrassoside C1","Soyasaponin Ba","Soyasaponin I","Sphinganine","TG 14:0_16:0_18:0","TG 16:0_18:1_18:1","TG 48:0","TG 52:2","TRIETHYL CITRATE","Tert-butyl N-[2-(1H-indol-3-yl)-1-(methylcarbamoyl)ethyl]carbamate","Trifolin","Vicenin 2","Vicenin 3","Vicenin-1","Visnagin","Xanthohumol","Zucapsaicin","[1-MYRISTOYL-GLYCEROL-3-YL]PHOSPHONYLCHOLINE","berberine","cholic acid","gabapentin","n-vanillyldecanamide","piperine","quercetin 3-O-glucuronide","sphingosine"
"30_41065",174240000,12480000,8615000,0,0,3174000,20243000,0,5446000,0,24738000,132230000,134540000,105570000,0,0,0,0,219960000,190863800,21171000,0,15546000,0,3776000,0,0,1228200000,2566500,1888000,2431600,3792000,17370000,0,0,0,0,0,0,11616000,6108000,49405000,62670000,49405000,24024000,13614000,329940000,4761000,0,0,1653400,1793200,6240000,0,30510000,0,1189000,0,1687000,1174000,0,0,1189000,0,1174000,0,1687000,0,7057000,349400,816000,1291000,0,349400,816000,1291000,0,8956000,0,0,0,31092000,0,1520000,0,1520000,1902000,2416000,0,765900,0,1520000,2416000,765900,0,1902000,2416000,0,765900,0,1520000,43830000,2296000,8520000,3872000,0,2310000,0,23780000,0,8820000,3006000,0,905100,0,41415000,0,0,25894000,29502000,0,8558000,11040000,6807000,32629000,0,0,12006000,914100,914100,0,204700000,24024000,2840000,2840000,5182000,0,0,0,12006000,0,0,0,5130000,11970000,0,0,1060000,2916000,0,0,9989000,2350000,0,0,5777000,21738600,1731100,0,0,6514000,6079700,636200,2916000,1208000,0,13130000,21220000,0,0,0,0,3523000,1027000,0,0,1334000,0,12006000,4376000,28200000,0,0,173737600,0,23232000,0,0,0,0,2597000,2921000,1788000,858700,9286000,3456000,1343000,0,0,1418000,0,1535000,0,5045000,14220000,2820000,0,868700,1322000,0,985700,0,5922000,8814000,0,51690000,2612000,0,32032000,12006000,0,0,0,0,25225000,817300,870400,817300,870400,5040000,20892000,7057000,0,0,0,5593000,0,20340000,0,30790000,5991000,7552000,0,0,0,26730000
"31_40494",65981600,0,4309000,0,9678000,4520000,11839000,0,2610000,0,4942800,92700000,83774000,69380000,0,3198000,0,0,148960000,289908000,19590000,34840000,5796000,0,2916000,0,34840000,758880000,0,1458000,0,2391900,46820000,0,41120000,0,0,0,1095000,11445000,61600000,31127800,10338000,31127800,9720000,11916000,223440000,6780000,0,0,1987400,3266000,0,164480000,0,0,769200,1272000,1711000,529100,0,0,769200,1272000,529100,0,1711000,0,6530000,0,611500,694300,2414000,0,611500,694300,2414000,3372400,0,0,0,11592000,0,1379000,540000,1379000,0,0,0,514500,13580000,1379000,0,514500,540000,0,0,0,514500,13580000,1379000,8826000,0,25045000,3815000,0,0,0,16208000,1804000,6113000,1203000,0,1129000,0,41449000,0,3307000,26984000,20796000,0,3604400,7945000,5958000,19306000,0,0,8382000,1109000,1109000,34840000,126480000,9720000,9534000,13091000,1932000,0,0,0,8382000,34840000,0,34840000,0,0,0,0,27178700,1526000,0,0,2763900,547300,0,0,832900,33639700,580100,0,0,2769700,29989500,0,1526000,0,0,3894000,1258000,5147000,6109000,0,0,2899000,465800,0,0,0,593200,8382000,3412800,12620000,0,0,185540800,0,22890000,0,0,0,0,1103000,0,813600,640600,2336000,21274000,0,0,6555000,0,0,803700,627300,1545000,8645000,1657000,0,745400,0,0,3319000,0,4125000,5791000,0,18360000,0,1025000,12960000,8382000,0,0,0,0,7725000,862200,796200,862200,796200,3984400,0,6530000,0,0,0,2628000,0,0,0,13690000,2854500,5832000,0,0,0,11599000
"32_41358",35616000,0,7090000,0,0,6e+06,10862000,0,3026000,0,19038000,129210000,98760000,96490000,476160000,841000,0,0,211240000,75205000,20499000,13800000,7611000,0,3728000,0,13800000,1153560000,2426500,1864000,3926000,3501000,33770000,0,0,2042000,0,0,0,11364000,4605000,57336000,17112000,57336000,18864000,21260000,316860000,9e+06,0,0,2470000,1911800,0,0,22662000,0,743400,3839000,2059000,801700,0,0,743400,3839000,801700,0,2059000,0,6833000,0,845600,1217000,0,0,845600,1217000,0,10080000,0,0,0,15222000,0,923300,0,923300,1793000,2470000,0,643500,0,923300,2470000,643500,0,1793000,2470000,0,643500,0,923300,21980000,1259200,7824000,3788000,317440000,1771000,0,22570000,777500,7410000,2193000,0,0,0,42241000,0,0,69940000,25030000,0,8283000,10320000,10630000,17170000,0,0,16306000,1113000,1113000,13800000,192260000,18864000,2608000,2608000,2537000,0,0,0,16306000,13800000,0,13800000,3927000,9163000,0,0,6496500,2264000,0,0,20090000,1863000,0,646400,7355000,23547000,1084000,0,0,6742100,11036800,914300,2264000,862100,0,8559000,7418000,0,0,0,0,8790000,0,0,0,1491000,0,16306000,3218000,21810000,0,0,221051600,0,22728000,0,0,0,0,1253000,2032000,905000,646700,9944600,3124000,944700,0,0,1619000,0,1510000,974700,2702000,6442000,3055000,0,593300,996000,0,1022000,0,5714000,8280000,0,58850000,1326000,756500,25152000,16306000,0,0,0,0,13510000,893000,964200,893000,964200,6560000,21228000,6833000,0,0,0,7157000,0,15108000,0,16010000,5577000,7456000,0,0,0,29850000
"33_41357",68848800,9788000,3826500,0,0,3642000,4941900,0,4118000,0,14712000,158240000,95896000,118700000,0,0,0,0,237400000,102033600,17667000,0,24075000,0,4288000,0,0,961260000,0,2144000,4088000,3081000,14490000,0,0,1466800,0,0,0,14619000,0,49968000,31110000,49968000,17427000,17516000,356100000,5463000,0,0,1665200,1668000,4894000,0,43458000,0,1637000,410100,1591000,1381000,0,0,1637000,410100,1381000,0,1591000,0,5889000,0,631400,1242000,0,0,631400,1242000,0,11340000,0,0,0,48150000,0,897500,0,897500,1468000,2270000,0,574400,0,897500,2270000,574400,0,1468000,2270000,0,574400,0,897500,26400000,823400,7134000,4873000,0,2536000,0,27694000,0,6977000,2457000,0,821300,0,48946000,0,0,28440000,26934000,0,5461600,12100000,8758000,7738500,0,0,6216000,985900,985900,0,160210000,17427000,2378000,2378000,8025000,0,0,0,6216000,0,0,0,4638000,10822000,0,0,1322000,2381000,0,0,11800000,1778000,0,0,4234000,24901400,1040000,0,0,6702900,5511900,850100,2381000,0,0,6163000,9818000,0,0,0,0,4689000,0,0,0,13130000,0,6216000,4512000,15100000,0,0,141562000,0,29238000,0,0,0,0,1454000,2246000,1487000,1116000,9427000,3505000,638300,0,0,1686000,0,1348000,0,3499000,6963000,3440000,0,0,822300,0,0,0,7796000,8945000,0,55450000,1546000,0,23236000,6216000,0,0,0,0,17495000,697700,662200,697700,662200,3582000,13944000,5889000,0,0,0,3208000,0,28972000,0,13490000,6402000,8576000,0,0,0,33020000
"34_41070",170726400,15120000,6350000,0,0,2214000,10833000,0,3802000,0,5156400,177775000,151050000,127415000,0,0,0,0,178520000,61480400,25431000,4502000,13926000,0,3622000,0,4502000,998340000,0,1811000,1840400,4626000,16920000,1710000,0,1251800,0,0,0,13155000,0,47194000,44940000,47194000,19089000,25740000,267780000,3321000,0,0,2e+06,1634400,7560000,0,47352000,0,1926000,556800,1674000,1135000,0,0,1926000,556800,1135000,0,1674000,0,8477000,0,658500,2280000,0,0,658500,2280000,0,10236000,0,0,0,27852000,0,1041000,547000,1041000,1468000,2167000,0,716900,0,1041000,2167000,716900,547000,1468000,2167000,0,716900,0,1041000,16720000,828600,6018000,4385000,0,1868000,0,30519000,0,10030000,1912000,0,607400,0,44520000,0,0,37455000,20945000,0,6048800,7147000,12870000,17214000,0,0,10610000,1172000,1172000,4502000,166390000,19089000,2006000,2006000,4642000,0,0,0,10610000,4502000,0,4502000,2452500,5722500,0,0,649700,3083000,0,0,7840000,1170000,0,970700,2853000,19381000,1046000,1639000,0,5443700,6186500,1113000,3083000,0,0,7944000,7570000,0,0,0,0,2824000,0,0,0,1785000,0,10610000,0,20570000,0,0,167862400,0,26310000,0,0,0,0,1096000,1398000,1019000,718400,5235000,2515000,1301000,0,0,1206000,0,2401000,1189000,2568000,4489000,2812000,0,776100,1054000,0,998100,0,8273000,10980000,6637000,52070000,967800,0,25452000,10610000,0,0,0,5985000,12840000,922600,878300,922600,878300,5668000,21504000,8477000,0,0,0,5781000,0,31568000,0,25860000,7842000,7244000,0,0,0,27264000
"35_41344",74666400,16316000,4842500,0,0,3494000,9755000,0,4084000,0,6210000,154830000,142360000,114590000,92520000,0,0,0,292240000,121020000,16422000,48520000,23241000,0,3178000,0,48520000,1006080000,0,1589000,3270400,2106600,14300000,0,0,1527800,0,0,0,13113000,8020000,51931000,17502000,51931000,16314000,27740000,438360000,5241000,0,0,1645400,1513000,8158000,0,0,0,1167000,8596000,1760000,1534000,5573000,0,1167000,8596000,1534000,5573000,1760000,0,5474000,0,598300,1001000,0,0,598300,1001000,0,0,0,0,0,46482000,0,1522000,0,1522000,0,797000,0,858300,18920000,1522000,797000,858300,0,0,797000,0,858300,18920000,1522000,30830000,1076600,6828000,4371000,61680000,2335000,0,26942000,0,10010000,2388000,0,810300,0,47336000,0,0,15910000,44400000,0,6103000,8391000,13870000,15548000,0,0,10520000,1642000,1642000,48520000,167680000,16314000,2276000,2276000,7747000,0,0,0,10520000,48520000,0,48520000,6036000,14084000,0,0,577200,1003000,0,0,4462000,924800,0,498700,1734000,9472900,525400,0,0,0,2971600,1080000,1003000,0,0,8308000,3697000,0,0,0,0,2766000,1914600,0,0,5203000,0,10520000,4304000,22870000,0,0,118562600,0,26226000,0,0,0,0,3706000,706900,1523000,759900,2622200,2442000,885600,0,0,1e+06,0,978700,0,3867000,4479000,3732000,0,0,719200,0,935400,0,10370000,7792000,0,18310000,987000,0,21752000,10520000,0,0,0,0,19335000,738100,845900,738100,845900,4408000,15054000,5474000,0,0,0,2610000,0,0,0,15570000,7740000,6356000,0,0,0,30679000
"36_41352",54756000,0,5990000,0,0,2994000,8834000,0,3018000,0,3896400,90910000,148614000,70650000,0,0,0,0,228480000,109994800,14061000,20460000,9141000,0,4448000,0,20460000,1173420000,0,2224000,2492400,0,71990000,0,0,0,0,0,932500,11103000,0,49504000,26040000,49504000,24105000,20500000,342720000,4491000,0,0,3146000,1848200,0,0,30210000,0,1270000,0,1913000,811300,0,0,1270000,0,811300,0,1913000,0,4687000,0,719500,1060000,0,0,719500,1060000,0,8236000,5064000,0,0,18282000,0,1882000,0,1882000,627700,419900,0,633700,0,1882000,419900,633700,0,627700,419900,0,633700,0,1882000,33680000,921800,6468000,3701000,0,1951000,0,16156000,0,8488000,1313000,0,12380000,0,50569000,25560000,0,39670000,27020000,0,8944000,8951000,10250000,14084000,0,0,9672000,946700,946700,20460000,195570000,24105000,2156000,2156000,3047000,0,0,0,9672000,20460000,0,20460000,5115000,11935000,0,0,1412400,1618000,0,368000,2050300,901000,0,543200,1340000,7860400,734100,0,0,1503900,8701900,624600,1618000,0,389200,6849000,4989000,0,2791000,0,0,2632000,1337000,0,0,453400,0,9672000,0,23660000,0,0,119775600,0,22206000,0,0,0,0,3205000,424000,1941000,487700,3081000,3173200,868100,0,0,2035000,0,0,0,3249000,8097000,3938000,0,7348000,0,15930000,1282000,0,6512000,7057000,0,21030000,1098000,0,32140000,9672000,0,0,0,0,16245000,895300,962000,895300,962000,3529200,15294000,4687000,0,0,0,3726000,0,20140000,0,16250000,7872000,8896000,7596000,12190000,0,31737000
"37_40498",54705200,0,6670000,0,0,6304000,10899000,0,3608000,0,11346000,114995000,142130000,88515000,56730000,13402000,0,0,190440000,200463200,21459000,10910000,7122000,0,4282000,0,10910000,1282440000,0,2141000,0,3177000,101500000,0,0,995600,0,0,2660000,11262000,18250000,32764400,24345000,32764400,18330000,24300000,285660000,9456000,0,0,3592000,1759200,0,0,0,0,1555000,631200,1682000,1461000,0,0,1555000,631200,1461000,0,1682000,0,7153000,0,609000,1144000,0,0,609000,1144000,0,8812000,26980000,0,0,14244000,0,1254000,0,1254000,1446000,1218000,0,502700,2598000,1254000,1218000,502700,0,1446000,1218000,0,502700,2598000,1254000,23520000,1276200,6564000,3754000,37820000,0,0,20351000,2842000,10800000,1349000,0,0,0,52791000,0,0,59640000,21328000,0,10570000,0,12150000,17512000,0,0,9356000,940600,940600,10910000,213740000,18330000,2188000,2188000,2374000,0,0,0,9356000,10910000,0,10910000,0,0,0,0,2866200,3017000,0,0,4069000,901900,0,568200,2430000,17013000,400100,0,0,2830000,6209100,0,3017000,0,0,7672000,2635000,1812000,0,0,0,6207000,0,0,7674000,541900,0,9356000,0,32260000,0,0,130901200,0,22524000,0,0,0,0,740400,1300000,1443000,722200,4067000,3276500,760600,0,0,2122000,0,0,931300,2018000,8365000,3183000,0,889600,816300,0,1423000,0,5121000,10390000,0,36930000,0,814600,24440000,9356000,0,0,0,0,10090000,642200,713300,642200,713300,5164000,12882000,7153000,0,0,0,0,0,0,0,17870000,4500000,8564000,40470000,0,0,31106000
"38_40547",180160000,11516000,31750000,0,0,6926000,17762000,0,3082000,0,4726800,187600000,172680000,154900000,34596000,0,0,0,1.29e+08,64740000,14475000,16074000,9654000,0,3148000,0,16074000,1110720000,0,1574000,0,3525000,33760000,0,0,1512000,0,0,2283000,8736000,9026000,31701000,27147000,31701000,19593000,34980000,193500000,10389000,4395000,0,3130000,1942800,5758000,0,0,0,2018000,0,1980000,1300000,0,0,2018000,0,1300000,0,1980000,0,4825000,349600,764400,1140000,0,349600,764400,1140000,0,5720000,8620000,0,0,19308000,0,1409000,0,1409000,1258000,502900,0,754500,4546000,1409000,502900,754500,0,1258000,502900,0,754500,4546000,1409000,18990000,2662000,8406000,2912000,23064000,0,0,34250000,2241000,7910000,1458000,0,686200,0,62309000,0,0,48980000,16352000,0,6950000,5038000,17490000,28419000,0,0,13650000,955600,955600,16074000,185120000,19593000,2802000,2802000,3218000,0,0,0,13650000,16074000,0,16074000,0,0,0,0,1213800,1544000,0,0,2869000,512700,0,408600,1356000,9003000,612800,0,0,4051000,6619400,457400,1544000,0,0,5214000,1800000,0,875100,0,0,3780000,1009000,0,0,4543000,1670000,13650000,0,18430000,0,0,121346200,0,17472000,0,0,0,0,3122000,354200,1585000,863000,4639800,3024000,994100,806900,0,1209000,0,1569000,770900,2563000,6844000,10820000,0,857500,1077000,0,1607000,0,10390000,9869000,0,20360000,0,0,26124000,13650000,0,0,0,0,12815000,665000,1086000,665000,1086000,5808000,26862000,4825000,0,0,0,6814000,0,0,0,28010000,5220000,6296000,12930000,0,0,84025000
"39_41362",79320000,12336000,5225000,1969000,0,2092000,13277000,0,5870000,0,2475000,137050000,133706000,102170000,0,0,0,0,224600000,129184800,17607000,38760000,17985000,0,4134000,0,38760000,1115220000,0,2067000,3383600,3174000,12100000,0,0,1189000,0,0,0,11451000,4330000,59792000,40650000,59792000,24996000,17126000,336900000,3138000,0,0,1734400,1462400,6168000,0,23034000,0,1568000,0,2081000,1112000,0,0,1568000,0,1112000,0,2081000,0,5869000,0,602500,1096000,0,0,602500,1096000,0,6376000,0,0,0,35970000,0,1460000,952900,1460000,493800,476400,0,776100,0,1460000,476400,776100,952900,493800,476400,0,776100,0,1460000,22850000,1280600,7422000,3817000,0,2137000,0,23922000,0,7452000,1443000,0,817700,0,45236000,0,0,23856000,24565000,0,6259000,7606000,8563000,20993000,5907000,9845000,8172000,1285000,1285000,38760000,185870000,24996000,2474000,2474000,5995000,0,0,0,8172000,38760000,1969000,38760000,5979000,13951000,0,0,390500,907300,0,726300,5600500,936000,0,0,1282000,8094100,900500,0,0,1877900,3849600,908100,907300,0,0,4562000,4214000,0,3641000,0,0,1748000,1240000,0,0,4112000,462300,8172000,5244000,0,0,0,82110400,0,22902000,0,0,0,0,3363000,652600,1991000,296100,3046600,2298500,1071000,0,0,998300,0,2038000,699500,3625000,6907000,2063000,0,860100,0,78280000,0,0,7113000,8467000,0,20040000,1107000,0,33328000,8172000,0,0,0,0,18125000,724300,1086000,724300,1086000,5592000,27732000,5869000,0,0,0,6883000,0,15356000,0,17720000,7080000,8268000,0,0,0,22111000
"40_41061",107096800,0,6410000,0,0,6508000,10742000,0,2236000,0,13734000,141900000,102190000,107320000,11112000,0,0,0,265760000,123370600,17544000,8800000,4947000,0,4336000,0,8800000,1232760000,1509500,2168000,3250000,3108000,21330000,0,0,1396400,0,0,0,15420000,4971000,69774000,20394000,69774000,17055000,13318000,398640000,9762000,0,0,2516000,1973400,0,0,49494000,0,2251000,0,1740000,1497000,0,0,2251000,0,1497000,0,1740000,0,5848000,446600,579900,2166000,0,446600,579900,2166000,0,12600000,0,4891500,0,9894000,0,896500,0,896500,1951000,2381000,0,0,0,896500,2381000,0,0,1951000,2381000,0,0,0,896500,29700000,1127800,5671800,5140000,7408000,2693000,21670000,24922000,0,6945000,3052000,0,779500,0,53345000,0,0,62890000,22627000,0,8530900,7196000,6659000,17136000,0,0,7926000,901100,901100,8800000,205460000,17055000,1890600,1890600,1649000,0,0,0,7926000,8800000,0,8800000,3237000,7553000,0,0,971600,2829000,0,0,5323000,2096000,446800,0,2632000,20308000,2006000,1220000,0,6473700,11022800,557400,2829000,761000,0,7185000,8796000,0,0,0,0,9117000,0,0,0,13950000,0,7926000,0,14700000,0,0,186455600,0,30840000,0,0,0,0,1126000,2559000,770100,759500,8648000,3212900,855200,0,0,0,0,2032000,772200,4150000,11490000,2624000,0,720500,661300,0,1239000,0,7790000,9079000,0,62220000,1178000,0,22740000,7926000,0,0,0,0,20750000,875000,704900,875000,704900,4244000,15768000,5848000,0,0,0,4912000,0,32996000,173360000,15930000,7923000,8672000,0,0,0,26138000
"41_41056",73980000,11340000,6865000,0,0,2384000,11471000,0,2948000,0,23058000,152610000,95770000,120090000,0,0,0,0,176320000,183994600,19998000,5064000,22122000,0,5694000,0,5064000,1113060000,2666500,2847000,3006000,3888000,15890000,0,0,1181400,0,0,0,12444000,4626000,43348000,28185000,43348000,16398000,21200000,264480000,3576000,0,0,2162000,2624000,5670000,0,46188000,0,1207000,0,2858000,1443000,0,0,1207000,0,1443000,0,2858000,0,6666000,0,734600,1179000,0,0,734600,1179000,0,14820000,0,0,0,44244000,0,1169000,0,1169000,4406000,1895000,0,504800,0,1169000,1895000,504800,0,4406000,1895000,0,504800,0,1169000,53150000,958600,11148000,4148000,0,1725000,2573000,27270000,0,6760000,2951000,0,697200,0,50578000,0,0,30056000,42480000,0,9097000,7528000,10600000,18083000,0,0,15308000,1128000,1128000,5064000,185510000,16398000,3994800,4831200,7374000,0,0,0,15308000,5064000,0,5064000,4893000,11417000,0,0,0,2436000,0,0,13020000,1801000,0,0,6349000,16545000,0,0,0,8438000,4237000,0,2436000,1060000,0,6505000,7851000,0,0,0,0,4459000,0,0,0,9464000,0,15308000,5056000,26900000,0,0,131685000,0,24888000,0,0,0,0,1089000,3053000,1199000,695000,12890700,3705000,988600,0,0,1112000,0,2366000,709800,6149000,13820000,1443000,0,1643000,793300,0,0,0,9081000,9651000,0,43360000,999800,0,21864000,15308000,0,0,0,0,30745000,802200,827600,802200,827600,5080000,13110000,6666000,0,0,0,6703000,0,30792000,20584000,16130000,4860000,11388000,0,0,0,17701000
