"","2-Hydroxybutyric acid","3-Hydroxybutyric acid","3-Phosphoglyceric acid","5-Aminovaleric acid","6-Phosphogluconic acid","AMP","Adenine","Adenosine","Ala","Arg","Asn","Asp","Betaine","Butyric acid","CMP","Carnosine","Cholic acid","Choline","Citric acid","Citrulline","Creatine","Creatinine","Cytidine","Cytosine","Deoxycholate","Fructose 6-phosphate","Fumaric acid","GABA","Gln","Glu","Gluconic acid","Glucose 1-phosphate","Glucose 6-phosphate","Gly","Glycerol 3-phosphate","Glycocholic acid","Guanine","Guanosine","His","Homoserine","Hydroxyproline","Hypoxanthine","Ile","Inosine","Isocitric acid","Lactic acid","Leu","Lys","Malic acid","Met","N,N-Dimethylglycine","NAD+","Ornithine","Phe","Pro","Propionic acid","Putrescine","Ribulose 5-phosphate","S-Adenosylmethionine","Sarcosine","Sedoheptulose 7-phosphate","Ser","Spermidine","Spermine","Succinic acid","Taurocholic acid","Thr","Thymidine","Thymine","Trimethylamine","Trimethylamine N-oxide","Trp","Tyr","Tyramine","UDP","UMP","Uracil","Uridine","Val","dTMP","dTTP","β-Ala"
"01_C1",0,74.2271875324959,0,70.4861863623742,0,33.0529030152844,36.9440315075846,6.43139708085909,392.982256582505,262.556325643761,0,3318.09389191353,0,49801.7518225165,0,0,248.27003283307,158.273400936577,88.4435331643907,501.914546774505,5.42457785842278,0,0,6.25966849747828,2277.36005191641,0,0,23.0111067778126,11.1768292310671,10909.5635791769,0,0,0,251.635356549629,0,8.62195362277009,23.2969173442041,2.79816236204816,87.6163036282069,16.8075221869952,0,318.247278065193,54.1221254466525,16.0413077567914,0,947.852114668718,58.5389441403282,1510.79403760987,163.528579746758,90.0963746240979,10.9892143455536,68.1763096688366,92.5770600231729,31.7058643632468,414.057270412612,90900.8968515633,35.3219595240165,0,7.4645612667504,0,0,160.850334320181,102.993016086396,20.5605480463478,2364.85267162633,0,36.0287234016944,77.1458989893535,277.89033074515,0,0,31.5185421653817,124.748552122019,0,0,0,192.824186450116,126.074879431763,108.684456073575,0,0,39.5296124531107
"01_C2",0,75.583550653816,0,219.604528817889,0,28.6425820936654,26.3179650139666,11.1217643729645,456.763460112109,295.298456619322,37.6901346086207,2710.27060962603,0,39742.1677174224,0,0,333.59964136578,147.584107463342,57.3168874458072,529.991120278191,7.70085582926438,10.272897720737,0,5.88533603194008,5929.39179078719,0,0,45.4853202997464,32.6142962173439,9668.21733560139,58.8225601046001,0,0,293.949263313192,0,10.354187379768,219.111599102988,4.08680311811674,141.403787591466,20.9922823214981,0,264.539130295469,52.2266316525205,65.8189746030077,0,773.031100586605,68.4012624474145,1483.60149022183,214.938537308881,83.7468631374905,0,104.615574407068,148.7364763842,39.4857977485422,500.836854678001,63968.2990673758,37.7357068175365,0,8.04467280398344,0,0,157.354948767403,28.1516675012875,0,1260.61786258373,8.56426553456975,46.1883848473877,79.1497099451587,348.45408503611,0,0,35.3564533541802,118.998955245105,5.68206744952235,0,0,141.705300428313,114.247605914543,138.444250408812,0,0,41.8782580076752
"01_C3",52.0856056629988,211.612781313121,0,188.771185149883,0,27.7529953893123,17.0680015045237,7.81894210362795,709.076360441711,51.5102355685023,0,1850.73419313791,0,39829.5943697553,0,4.3025559532403,375.488375914979,126.096014213742,59.2475402174749,696.840783224727,6.97282402595189,5.58116008121983,4.40838056417436,8.1383370401884,9451.71382747044,0,0,51.886688421587,32.056184062476,8792.91028062187,0,0,0,465.929478484158,0,11.3397745235014,26.6800931591388,5.15812226539062,167.415725342944,27.6491320805984,14.6167555210723,160.516374733664,74.7252032269683,47.1840288170321,0,802.301555827355,136.479030835988,1739.50874593533,285.91537271125,64.358996151709,9.83536214112677,55.0174277558669,278.700967363605,43.871866827651,500.504909400786,49125.6798909098,58.1973517363014,0,11.9507538817,0,0,224.611268071803,24.9017061734194,0,1432.9232915305,9.07275702103885,92.2775001712597,73.1611764373484,238.259278997755,29.6002272137459,0,27.3681762778884,118.771700138234,7.86012416006186,0,0,141.326388597432,109.338494173869,235.355930943771,0,0,76.4291518517788
"01_T1",0,0,0,589.043230481582,0,86.7860278922296,29.0995941674747,19.6201780349487,332.850827315741,445.023833229544,20.0698605580026,1951.72647137478,0,16883.078380117,0,0,191.093391996236,110.0158414423,50.1356770085124,263.347461912071,5.13841346060914,2.6180009624546,0,5.74784371744043,1118.45283206767,0,0,511.706534082606,13.8833978327831,8562.65595435972,45.8044207389448,0,0,244.433301855308,0,10.0554758847821,24.1322251597015,5.38274433655588,126.463442463915,25.179447366636,8.26391039037691,35.0909330712456,34.6147133813909,28.329835773619,0,1022.34308454558,34.8779481479707,1498.16187921518,99.9426928873149,33.847559875499,0,273.883933082482,75.104093061909,22.9118426984619,418.373328860698,22110.6315177675,34.5856364309274,0,9.81012424787781,0,0,97.4738360904334,29.3751734654756,0,1042.60482206246,0,53.5550698320728,89.1275281333263,298.422895009163,0,0,37.2154834123802,70.4967700939074,5.68856479315925,0,0,105.015916141801,126.750589846464,94.189574103264,16.901153278868,0,22.6104747094728
"01_T2",0,125.973292945784,0,1848.07791705058,0,89.7770386887382,38.1364918080214,18.3761062178203,567.604081014657,851.498000003268,0,3160.91457844791,0,37938.0608499061,0,0,249.691969672174,112.005471221544,54.8805019102054,423.983678244366,6.17876738375412,12.7869302526407,0,4.8924167031047,6697.59336484357,0,0,930.736561036212,32.1296382733359,12098.7804256912,38.2064759123504,0,0,426.594519927557,0,69.0016832334943,322.341864236464,3.8482245443611,208.294676581987,31.4494313326948,11.6779191575364,104.251582959303,68.2996861274419,52.3173334213229,0,1317.17903870252,88.4491328889461,2850.38370803945,173.979542239491,70.5137279727588,0,349.789556326577,197.055435810567,42.5920302645897,581.997627391514,42580.7434975914,109.907314535128,0,10.0163921139318,0,0,196.351981988734,35.0523241985166,0,1249.0671265478,28.6842039146701,76.6712997924931,73.646861106245,182.257087612829,0,0,32.6936656745512,120.507673965908,6.90724012934003,0,0,97.881801945664,126.269104234473,206.625336145738,0,0,46.7296970345085
"01_T3",34.3143048752214,112.473811136982,0,2090.82464178515,0,58.8150029100161,50.0927501002917,12.8469263127864,452.377405411682,718.381020390908,0,2859.62152467534,0,43902.3537498902,0,9.5666044016236,191.946058595213,98.6297772580702,34.8485944480935,473.203781036475,5.225212930564,7.66576695841881,6.12366561964067,5.90026802055271,2768.77698539584,0,0,454.189402859873,23.9582456810971,11385.6710630743,30.2641903070846,0,0,337.647324273764,0,9.36803467902069,25.1850621975748,3.88999241228012,191.514592254649,21.2221980654099,19.7323504547497,235.308348098026,58.3785854980223,40.3181867204493,0,598.296979537865,72.2528707928527,2400.8660284007,127.778030522132,73.3226137153896,9.15982284284133,184.065003511383,154.599544195502,37.3128443409277,570.057004614636,58076.6080434353,69.4770055732857,0,6.6277728675364,0,0,155.095579236384,38.1999959767714,0,1184.29696758418,0,54.7173164290133,73.035381464948,190.700196617336,22.1986081772971,0,28.6424847894579,107.439071172099,8.06692840911069,0,0,108.284979541155,110.328635194158,161.537278702173,0,0,61.5021124155857
"02_T1",365.034394582197,388.536616370979,0,5102.3540869407,0,132.778854844644,141.70302673033,337.248600316409,3833.46414729776,288.059588385197,0,1416.1743789866,61.9685871260462,53518.1381240317,0,0,1455.58646822376,114.958507750399,44.0111813637253,515.966682623336,212.294105566292,185.205064530083,41.7157897807771,4.65299828427371,8429.52261949043,0,0,163.298287088063,338.588076483841,4788.43523081491,337.183883469733,29.3862214211823,52.2073981394977,2750.00207109707,0,386.08524179887,26.2349595787861,81.5544244671492,278.484317535448,181.110386694451,34.8380941442138,101.518854262864,361.324942794719,415.075798790543,0,11612.6443969557,586.110320515005,1283.96785857023,221.05978489912,125.784131563746,0,524.71381244857,128.359760111898,367.15689544525,571.34827291769,189863.158329722,1492.20636101605,20.0258943575877,35.2635244843338,72.9568868275282,0,706.63563787164,60.0444144863774,0,13792.876725695,30.2787519464771,1029.57493931411,89.3627830618127,693.049855479522,39.7731286463828,0,275.467815222394,341.934377569042,45.4763024764338,30.537237122782,44.7079862295988,140.443168857855,320.41071278695,1463.55724324232,0,0,150.988678714118
"02_T2",39.1925715683394,142.430089909444,0,543.245524016386,0,21.8560206154208,28.2392746760889,23.3283877062287,1251.36771586387,48.5151322696444,0,1038.93608278283,0,59659.7120318579,0,0,119.068010163192,95.4846293484903,0,534.487055983727,30.2893685722733,52.5409896437844,3.52878775896997,5.36071862454229,4747.97844881699,0,0,52.4553276014486,16.1116073128233,8139.6945517478,0,0,0,719.73843209745,0,23.5754519040642,16.7479832637912,10.2893040425073,97.2805639993336,39.9876423360365,20.7840102851341,557.728257537879,83.0510907028406,177.820592244508,0,880.780279531087,96.0127538491329,780.878743556237,145.791173390761,80.1471839211678,0,83.4070681256677,141.538929162204,57.4799659986685,309.249456538477,144676.554772392,262.202968316325,0,11.74278121962,36.8013386719949,0,216.371108806135,16.2326863620208,0,1531.96772634848,9.35936480156167,177.520020120214,61.8043547075484,236.848245408862,33.7370704334565,0,39.9558041906036,89.777448830244,52.1952447622208,0,0,188.768592279034,104.385415438479,212.6862856524,0,0,62.5309029432522
"02_T3",134.699519857574,265.534143854691,0,3178.61835454435,0,39.4116877430307,27.1389113514453,45.7764869175532,3448.4140979654,76.6009615206297,11.6826878015727,2581.75990986037,85.6892140055364,78379.7809381058,0,47.0876500163111,196.824212238704,142.947720350121,77.9578649231117,792.437382807201,50.1435600895568,151.633891302925,5.90192093475755,7.3037018000574,4052.94988225841,0,0,357.879962281563,67.578439781301,7415.9556480977,110.399965915341,0,0,1947.47198043795,0,31.1085373009715,37.8116823138348,63.2781947427067,251.63019443571,136.538689462777,86.3332136130708,478.795694456006,225.661916719079,1173.09256851753,0,2237.54096583868,284.255984734161,1761.42938046066,522.400688685584,167.714962164293,0,83.0203706912062,229.108129052421,238.910062056526,510.288333074306,248662.513749613,1724.96395682175,0,24.6571634975906,94.1273368142125,0,680.022311670438,191.273127355617,7.84858723663577,7142.25561580005,11.2137376005583,622.761984718628,122.739907123243,563.347004464797,84.5348299735099,0,171.291352600064,274.956073407249,32.8290491608158,0,0,268.891634103125,328.225217975416,829.701327283217,0,0,336.313337416391
"02_C1",24.4573128422488,211.346292444702,0,565.6434723958,0,157.08048140569,53.9262056824628,124.150311326271,1075.49607728043,309.007869720827,0,1221.90485849717,0,29330.0228459513,0,6.47989497241665,113.620427176655,68.6055207620034,0,677.334903315162,20.164183979532,58.2935521423856,3.94258428492627,4.54058260362373,2952.36597032997,0,0,65.8380434700196,42.8442180428385,9665.29733728829,0,0,0,801.244408813198,38.4941389165976,20.1223132183848,34.1816031451391,17.1885360136226,205.001540111189,26.9507558345809,40.0119556205423,51.0112717441247,74.5999659085005,176.31926170748,0,660.967602883178,81.9332607939473,1043.8356050026,82.734470568022,66.7812826940929,0,576.396063614895,69.849967083618,51.1404719316791,415.202663762429,50951.8809813213,162.015835950923,0,14.4125754918076,18.5539025396248,0,219.179628785117,12.1430948759248,0,1082.26555417627,9.20560041860027,145.346779510017,62.4000318151417,61.7594089626487,13.8291292031189,0,58.2540834887406,137.637849007539,10.3998472861312,0,27.0705941045061,116.622293310902,123.496629041528,264.554744119087,0,0,72.5520802555881
