Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR200093,AMPLICON,601,17449552,PRJDB8511,SAMD00177831,MIMARKS.survey.human-gut,11185548,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190501,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177831,01_C1,DRP007234
DRR200094,AMPLICON,601,18168389,PRJDB8511,SAMD00177832,MIMARKS.survey.human-gut,11568071,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190502,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177832,01_C2,DRP007234
DRR200095,AMPLICON,601,16470401,PRJDB8511,SAMD00177833,MIMARKS.survey.human-gut,10547158,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190503,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177833,01_C3,DRP007234
DRR200096,AMPLICON,601,16360988,PRJDB8511,SAMD00177834,MIMARKS.survey.human-gut,10603550,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190504,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:23:00Z,1,SAMD00177834,01_T1,DRP007234
DRR200097,AMPLICON,601,17601674,PRJDB8511,SAMD00177835,MIMARKS.survey.human-gut,11208569,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190505,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177835,01_T2,DRP007234
DRR200098,AMPLICON,601,18841432,PRJDB8511,SAMD00177836,MIMARKS.survey.human-gut,12144700,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190506,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177836,01_T3,DRP007234
DRR200099,AMPLICON,600,17421010,PRJDB8511,SAMD00177837,MIMARKS.survey.human-gut,11218771,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190507,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177837,02_T1,DRP007234
DRR200100,AMPLICON,600,13395603,PRJDB8511,SAMD00177838,MIMARKS.survey.human-gut,8611278,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190508,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177838,02_T2,DRP007234
DRR200101,AMPLICON,600,17210119,PRJDB8511,SAMD00177839,MIMARKS.survey.human-gut,10971320,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190509,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177839,02_T3,DRP007234
DRR200102,AMPLICON,600,15968743,PRJDB8511,SAMD00177840,MIMARKS.survey.human-gut,10152526,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190510,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177840,02_C1,DRP007234
DRR200103,AMPLICON,600,16226518,PRJDB8511,SAMD00177841,MIMARKS.survey.human-gut,10345102,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190511,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177841,02_C2,DRP007234
DRR200104,AMPLICON,600,15045400,PRJDB8511,SAMD00177842,MIMARKS.survey.human-gut,9694472,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190512,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177842,02_C3,DRP007234
DRR200105,AMPLICON,601,18028819,PRJDB8511,SAMD00177843,MIMARKS.survey.human-gut,11309493,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190513,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177843,03_C1,DRP007234
DRR200106,AMPLICON,601,17269925,PRJDB8511,SAMD00177844,MIMARKS.survey.human-gut,10958599,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190514,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177844,03_C2,DRP007234
