"","sample_id","3.oxolithocholic_acid","Acetate","alloisolithocholic_acid","Butyrate","cholic_acid","deoxycholic_acid","glycocholic_acid","isodeoxycholic_acid","lithocholic_acid","propionate","succinate","taurocholic_acid","5aminovalerate","allocholic_acid","alpha.muricholic_acid","beta.muricholic_acid","chenodeoxycholic_acid","Glycine","glycochenodeoxycholic_acid","proline","taurochenodeoxycholic_acid","Tyramine","ursocholic_acid","ursodeoxycholic_acid","5hiaa","anthranilic_acid","kynurenic_acid","kynurenine","niacin","Phenylalanine","serotonin","tryptamine","Tryptophan","Tyrosine"
"166","LiverD-101.02",0.876,2.27,0.29,0.67,6.523,0.089,21.8,0.055,0.588,0.55,0,0.714,,,,,,,,,,,,,,,,,,,,,,
"167","LiverD-101.01",0.96,26.4,0.484,5.58,485.702,1.031,17.685,0.176,0.706,4.73,10.74,5.334,,,,,,,,,,,,,,,,,,,,,,
"168","LiverD-083.01",1.7,49.8,4.439,20.36,0.201,12.125,0.074,1.265,39.484,20.05,2.81,0,,,,,,,,,,,,,,,,,,,,,,
"169","LiverD-081.02",0.989,34.55,0.916,2.58,0.203,1.991,0.163,0.268,5.372,1.65,3.89,0.199,,,,,,,,,,,,,,,,,,,,,,
"170","LiverD-069.09",0.854,2.63,0.521,0.6,0.253,0.083,0.163,0.058,0.669,0.5,0,0.195,,,,,,,,,,,,,,,,,,,,,,
"171","LiverD-069.08",0.855,4.78,0.274,0.6,0.318,0.084,0.173,0.064,0.667,0.5,0,0.272,,,,,,,,,,,,,,,,,,,,,,
"172","LiverD-069.07",2.582,3.65,1.457,0.6,0.662,12.005,0.231,0.949,5.083,0.53,0,0.562,,,,,,,,,,,,,,,,,,,,,,
"173","LiverD-069.05",0,0.38,0,0,5.1,0,0,0,0.017,0,0.35,0.501,,,,,,,,,,,,,,,,,,,,,,
"174","LiverD-069.01",0.238322875,16.09,0,25.73,12.23570086,0.040203691,0,0,0,0.39,9.81,0,,,,,,,,,,,,,,,,,,,,,,
"175","MLiverD-402.01",0,21.34,0.2,4.82,198.81,0,2.64,0,0.15,20.37,1.47,1.13,,,,,,,,,,,,,,,,,,,,,,
"176","LiverD-066.01",0.213505787,8.25,0,0.54,227.7670736,5.951244174,1.617316615,0,0,0.39,0.99,8.797484168,,,,,,,,,,,,,,,,,,,,,,
"177","LiverD-063.02",3.591099576,39.89,0.143400711,4.83,0.352644007,18.67930284,0,1.299330486,132.0039506,14.55,1.02,0,,,,,,,,,,,,,,,,,,,,,,
"178","LiverD-061.02",0.081,10.62,0,0.58,13.94,1.994,0.046,0,0.36,0.34,1.23,0.001,,,,,,,,,,,,,,,,,,,,,,
"179","LiverD-060.05",0.019,9.68,0,0.58,0.283,0,0.008,0,0,0.34,1.01,0,,,,,,,,,,,,,,,,,,,,,,
"180","LiverD-064.02",11.58144522,36.15,0.096452722,8.22,0.836440892,30.84630794,0,2.623638457,99.64497507,14.82,1.07,0.216693043,,,,,,,,,,,,,,,,,,,,,,
"181","LiverD-060.04",0.07,16.33,0.009,0.58,5.743,0.127,0.062,0,0,0.34,1.26,0.03,,,,,,,,,,,,,,,,,,,,,,
"182","LiverD-054.04",0.097,5.25,0,0.58,21.963,0.006,0.804,0,0,0.34,1.17,0.592,,,,,,,,,,,,,,,,,,,,,,
