"sample_id","(+/-)-Tryptophan","1,5-Diaminopentane","16.89_propanoic acid","20.13_butanoic acid","26.93_hexanoic acid","4-Aminobutyrate","Asp","choline","Glucose (and isomers)","Gly","hippurate","His","putrescine","Valeric/Isovaleric Acid"
"Inf_14_T",2.27886567,4.74086261,5.41728095,7.65630574,0.50443399,0.998,13.9942977,0.66875183,3.68658085,9.62963506,0.04011096,3.72987679,3.97281694,2.80191754
"Inf_16_T",1.44282947,26.98739302,9.17651317,4.66058997,0.05090271,0.974,8.2100874,0.4705549,0.81464421,2.8693721,0.03096046,3.5916726,9.23057055,2.4448459
"Moth_36_T",0.41735226,0.07314057,4.15598244,6.21036388,1.71793088,0.215,0.92959578,0.05172634,0.13331189,0.5332419,0.01495684,0.3394,0.09125452,8.11473756
"Moth_13_T",0.45176463,0.2743253,10.57979727,11.56019808,0.2536803,0.059,1.0373803,0.07133803,0.30405953,0.4147208,0.03358336,0.31206355,0.07810156,9.30797986
"Moth_14_T",1.23084134,0.14694904,7.58524533,9.78213509,0.0786628,0.43215636,2.70662803,0.07127452,1.88084156,1.26508731,0.03191829,0.80515177,0.02717251,4.90063459
"Moth_53_T",0.59586536,0.22612461,8.32916204,21.87121611,5.11087413,0.58,1.87523563,1.10536688,0.22196427,0.75523196,1.60757397,0.38715782,0.06737107,15.95049177
"Inf_18_T",1.13004389,0.8881661,4.44644974,18.84781516,0.20525534,0.657,9.138299,0.4573035,1.40319463,0.96178366,0.05778534,1.85667155,3.72493628,2.23544868
"Moth_33_T",0.617204876,0.060122369,1.083603636,2.167983613,0.06626779,0.094,2.81837811,0.036046304,0.094196378,0.969737626,0.028005808,0.314398901,0.009364329,3.303995762
"Moth_16_T",0.79057536,0.09380944,9.78604166,15.73786334,2.58747011,0.073,2.76051034,0.02543418,0.16145003,1.39802771,0.75221375,1.17238119,0.0608328,13.59046954
"Moth_34_T",0.50429463,0.03426352,11.01415599,20.42838775,4.80654016,0.103,3.86161188,0.2428482,0.31234924,0.90817933,0.01765858,0.26715425,0.26117223,14.86264614
"Inf_20_T",2.34427828,0.77792746,3.98390626,4.45358273,0.5759261,0.206,4.80281771,0.54479082,6.61004112,4.05668436,0.05028479,0.72836413,1.98979648,1.18399568
"Moth_44_T",0.36756978,0.17818341,4.99935945,7.13493095,0.23000546,0.21805156,0.54321961,0.03934348,0.10592416,0.56157638,10.21754401,0.21942223,0.03523223,4.96659052
"Inf_12_T",0.80897517,12.83008711,2.73280341,1.22385633,0.28397457,0.93,4.39638876,1.45389519,0.34479843,1.60829195,0.05043566,0.82748395,3.77025015,1.26106754
"Inf_06_T",2.69317546,6.96035039,7.59875605,9.13459591,2.85349444,0.14,7.58530382,1.09104899,0.26324248,3.50919648,0.03678951,1.46400331,6.46449011,4.02835147
"Gran_07_T",1.12394255,0.42293755,10.82772346,38.18886594,1.10331697,0.17,3.61862237,0.0961717,0.30422609,3.42270357,0.03674782,0.23839751,0.02796336,26.40770663
"Moth_12_T",0.4853776,1.8014384,4.4647992,7.1965334,0.354668,0.096,2.6094813,0.2215371,0.3094252,0.5370632,5.1203721,0.6008462,0.2404987,6.439809
"Gran_14_T",4.28660158,0.44974835,6.48899083,8.77298257,0.2629767,0.132,8.34653962,0.282662,0.51199703,8.39986154,0.01924322,0.93373249,0.05109492,9.30102255
"Gran_05_T",0.43791708,0.0187022,6.81572546,10.54519729,2.14024221,0.081,2.07194447,0.20450881,0.43265135,1.73863864,0.31741686,0.34998587,0.03267538,8.81472422
"Inf_29_T",1.35650646,6.02647041,0.14163611,0.0492443,0.06993724,0.503,7.84387141,1.13456647,4.66374132,6.2955982,0.04084608,3.60931638,0.7416895,0.08125176
"Moth_29_T",0.52475728,0.19858631,5.30510757,5.93937362,0.62726067,0.113,3.74368253,0.04426593,0.15420642,0.75710679,2.08292358,0.1814984,0.03710801,7.11698453
"Inf_53_T",1.81801421,46.79981908,8.58659842,5.91524931,0.07010367,0.06,7.815573,0.18169422,0.14596238,3.09410112,0.01687466,1.74062392,1.34349355,8.92689419
"Gran_44_T",0.273123434,0.009400897,2.043130991,3.397605009,0.257604336,0.062,0.628757313,0.040095738,0.072938061,0.269348835,0.045483911,0.088867895,0.009386624,3.818336182
"Gran_27_T",1.19922912,0.68976507,8.5889123,11.50993616,2.8436163,0.168,4.32971697,0.28178218,0.54187324,1.59274503,0.03938369,0.60184473,0.11670235,6.27860757
"Moth_30_T",1.0392369,5.1528427,19.8049695,46.1132879,16.3691205,0.403,3.4836386,0.3649112,1.2226547,1.2004067,0.419689,0.4284791,0.7780467,16.9347099
"Inf_58_T",2.69356533,9.67158343,1.22330162,0.12464552,0.06538545,29.897,6.70731143,2.52518173,6.29361243,4.61728766,0.13870263,4.63105178,3.2331539,0.08633695
"Inf_66b_T",0.44461377,0.70093796,4.58728639,14.99740724,0.09579631,0.363,2.31972075,0.14379621,1.08699537,0.99248842,0.12871663,0.29850281,0.28644209,1.08848346
"Inf_31_T",1.1799223,7.3437997,8.8613773,1.2530927,0.4361052,26.71,3.5074743,2.2295232,4.7795247,2.9460456,0.0227484,6.5319274,2.1472532,0.6692306
"Gran_66_T",1.00018846,0.08643248,4.30985733,7.60438856,0.067282,0.069,3.10259486,0.07204287,0.10138313,1.28224042,0.14664718,0.33534193,0.01469601,6.95324547
"Inf_67a_T",1.39318931,4.22551818,3.96785489,0.39203107,0.04278359,4.748,1.69698488,2.03913132,1.86883584,3.33992584,0.10832009,1.81782547,1.14333571,0.21060692
"Gran_25_T",0.71058575,0.07605738,8.83858749,11.28245538,2.61383873,0.118,1.03130872,0.08087315,0.6204636,0.4531939,0.01392218,0.35739676,0.0288437,10.27160961
"Gran_34_T",0.52956479,0.62562525,6.58330232,15.14462906,3.85202855,0.113,1.63488733,0.21921502,0.39307913,0.90752356,0.34156558,0.27002266,0.07896118,7.54597742
"Gran_03_T",0.26192121,0.03885128,3.34534916,7.79400109,1.59127327,0.21532763,0.54052956,0.04691097,0.04955668,0.39805732,0.13526332,0.16983533,0.01108424,7.03885311
"Gran_02_T",1.04044795,0.50326601,6.78427431,10.99959977,3.04461373,0.211,1.44104879,0.16214756,0.65593999,2.05525682,0.01881875,0.27461223,0.08044286,7.06950257
"Moth_03_T",0.21953141,0.3372323,5.7533774,11.03417708,1.74014848,0.31419362,0.74088462,0.06767443,0.12388415,0.32090365,0.05831991,0.13843512,0.02742312,9.95289019
"Gran_33_T",0.37188687,0.15078302,5.97586695,9.53638611,2.20346917,0.078,0.67508772,0.12175822,0.17217198,0.77475031,0.01081873,0.18387989,0.02358925,6.52683028
"Gran_55_T",0.422404349,0.027066583,1.355218785,2.930754328,0.251578951,0.112,2.108959764,0.027597717,0.055396471,1.046242064,0.017715412,0.164575063,0.008567888,4.356759069
"Inf_27_T",1.42723718,4.18443409,8.55880177,5.56994563,0.26158596,0.089,5.59383435,0.326713,0.33810579,3.10599677,0.09369608,1.01096542,1.13613522,4.00938159
"Moth_27_T",0.8140117,0.8569797,10.6667762,18.8074067,0.3537011,0.2702086,2.1954135,0.3045382,0.9592214,0.9860759,15.2176172,0.8513548,0.9292632,9.1164058
"Inf_50_T",0.61365889,2.42606094,6.37530721,0.25103941,0.06961778,8.256,3.91816525,1.00773235,5.19483011,6.65640271,0.09100012,1.59012628,0.91615586,0.18145819
"Moth_25_T",0.58480108,1.35538187,4.02087119,8.16747473,1.36411103,0.12,2.38251137,0.14566055,0.07273684,1.01133947,0.08497942,0.31764028,0.10454051,9.75024158
"Inf_24_T",2.48955171,2.83560039,2.28239934,6.84567251,0.09144221,21.26,0.19366829,1.79580073,6.91920878,2.05040677,0.10954049,2.77292917,0.33642894,0.26746576
"Inf_44_T",1.5727704,10.255164,17.704736,9.1506845,1.4618907,18.133,2.0940912,0.4981226,1.9656959,0.9422322,0.0889918,1.4700373,2.9727158,2.0738312
