"sample_id","12-keto Lithocholic Acid","12alpha-hydroxy-3-oxo-5beta-cholan-24-oic Acid","3-dehydrochenodeoxycholate","3-dehydrocholate","3-oxo-<U+0394>4-CDCA","3-oxo-<U+0394>4-LCA","3-oxo-<U+0394>4,6-LCA","3-oxoalloLCA","3-oxoLCA","3<U+03B2>-Cholic Acid","7-dhca","7-oxoCDCA","alloCDCA","alloisolithocholic_acid","alloLCA","alpha-muricholate","beta-muricholic acid","CA","CA-3S","CDCA","CDCA-3S","chenodeoxycholate/deoxycholate","DCA-3S","Deoxycholic acid glycine conjugate","GCA","GCDCA","HCA","HDCA","hyodeoxycholate/ursodeoxycholate","isoCDCA","isoDCA","isoLCA","LCA","LCA-3S","Lithocholic acid taurine conjugate","MDCA","T-<U+03B2>MCA","taurochenodeoxycholate","taurocholate","taurodeoxycholate","taurohyodeoxycholate/ tauroursodeoxycholate","taurolithocholate 3-sulfate","TCA-3S","UCA","UDCA-3S","W-muricholic acid","<U+0394>5-3b-ol"
"CE001",1839.089469,472.378346,18.4338289,0.592099279,NA,31.99532577,4.483393994,271.2995994,3289.000378,NA,3.109282459,25.17356802,NA,534.6857239,183.8916783,NA,NA,6.641977248,0.362895516,25.00093705,0.181616213,1627.730503,0.418504996,5.454521614,0.742431548,3.723442874,NA,10.83727285,10.46880986,18.98198442,133.5055281,1484.39641,7468.420867,0.777982102,NA,NA,NA,0.578429567,0.300135445,0.775806758,NA,NA,NA,1.083562541,0.6071009,NA,13.05794348
"CE003-2",1735.889513,428.5304702,12.49892619,0.228725995,NA,4.959194672,1.635783028,16.04208272,474.8536552,2.16191879,1.633914926,5.129031587,17.14182786,162.9537345,71.1620063,NA,3.112010159,9.031791739,0.238413749,15.09428979,0.677666868,10000.00633,3.32070308,19.31809247,5.783086633,7.751311064,NA,22.75049603,2.614953669,47.18315817,431.1227831,1063.817613,7096.647253,11.92075059,NA,NA,NA,0.632349984,0.306695972,0.62530778,NA,NA,NA,0.844243819,0.27552206,NA,5.887860011
"CE004",1526.224037,434.154056,25.97247003,6.943599486,NA,2.929012549,4.702318666,16.90249597,232.00196,32.02993727,166.3241026,309.8969321,30.7057078,311.9328722,101.8841944,NA,NA,235.6195991,2.147325181,371.2612575,131.9548669,16853.77313,101.1427537,15.08540413,1.624309773,5.190187026,8.734915633,7.037227037,433.6760957,139.3050552,992.6320401,898.4782508,6004.145551,236.0543057,NA,39.20678795,NA,0.293389512,0.397002617,0.514213485,NA,NA,NA,39.37505392,12.71539505,15.57654962,18.54549293
"CE005",297.1179769,269.5984123,8.173326217,0.16243822,NA,0.785222742,3.621906515,8.719375,176.7472597,2.729044801,3.216931754,4.854493828,6.41086308,71.65862979,62.56135546,NA,NA,14.83795377,0.18516364,42.09958839,1.231615296,16225.53699,8.640571759,35.13127067,6.179036802,9.31689342,0.986247555,20.55646662,19.0798315,51.139229,499.9840581,445.8487258,4256.426747,8.972719877,NA,5.444008326,NA,1.140558214,0.501997977,1.649327491,0.142423804,0.124215756,NA,8.784446396,NA,1.668209269,3.574329188
"CE006",1902.975064,511.2061083,20.81779414,0.47756246,NA,4.244306942,2.67378783,121.0304626,1391.093375,NA,6.167873572,32.45544729,2.203647805,562.2963178,174.4806623,NA,NA,8.605398487,0.313590414,37.69410194,NA,5813.84519,4.08460691,33.35730746,2.513476942,8.183578677,NA,6.623244139,16.95774193,37.68176676,310.0164503,1432.080232,8529.882315,6.49165163,NA,13.0247177,NA,NA,NA,0.21451219,NA,NA,NA,3.706845956,12.27680467,3.16924713,7.915661554
"CE007",709.5202187,131.741423,5.818750531,0.169142702,NA,4.041229618,2.84467917,16.32532997,293.9330436,1.761586105,8.688261513,NA,NA,111.9319166,46.06466889,NA,NA,7.788579332,NA,24.02669237,NA,2267.888284,0.801977203,10.20409362,1.974439765,7.618380749,NA,4.564517278,NA,15.65276275,117.0674103,493.4768569,2679.029796,0.804569032,NA,NA,NA,0.288767412,0.279443118,0.452992879,NA,NA,NA,0.027595795,3.021656287,NA,2.68824581
"CE008",874.3030847,226.8087445,7.698954825,2.546202962,NA,1.097493229,1.480128616,3.568693011,184.7942452,12.13406447,14.87396351,34.80821397,18.4362344,49.99883373,73.32099786,NA,NA,216.1400801,14.69894663,122.4703025,NA,16718.33434,NA,14.33377615,1.278507343,7.614457137,1.03798531,23.42469341,70.077013,84.5757067,712.3163097,1229.127813,9672.375051,0.720891734,NA,NA,NA,0.674932791,NA,0.616503528,NA,NA,NA,6.741509325,2.345573677,NA,1.235223043
"CE011",673.0863239,258.5550346,9.585644157,0.356960632,NA,6.476210247,7.205863539,11.44655627,827.1298889,NA,NA,24.07336095,NA,196.0805405,112.8346382,NA,NA,10.54040613,0.351684482,91.03747784,5.971117085,9224.48059,22.96909639,16.19907479,8.942892859,44.77121844,0.910179872,46.5906191,14.85650987,89.04881097,392.7790383,2254.85483,9402.87105,68.31328109,NA,12.60348087,NA,4.910479874,0.830334665,1.590047939,0.205038674,0.414131046,NA,3.982459351,115.6428985,2.644723001,7.580652335
"CE018",1309.903246,144.5111308,4.331633696,NA,NA,3.907312327,3.833517688,23.81156336,386.6057877,NA,NA,8.268745576,NA,192.1905001,121.3518787,NA,NA,8.968465717,0.214487335,44.63209669,0.86385372,6652.574006,1.308473275,4.269242068,1.801333812,10.9592182,NA,38.9582922,7.049712861,33.74305824,200.2795661,908.1068593,7070.458738,5.236192066,NA,3.127126848,NA,1.103502805,0.361701125,0.150259433,NA,NA,NA,3.478283908,0.703757508,NA,5.347480011
"CE019",5816.280136,571.8815401,15.05792038,0.247288976,NA,3.228393272,3.763802287,6.278755843,670.3251791,0.930819232,5.26796934,78.0919392,3.722815425,68.54823066,81.85795391,NA,NA,10.28652223,NA,49.24891168,0.059319728,17382.62541,0.222890848,6.614886708,2.343849484,2.781048019,1.265123067,8.136960383,26.56051047,86.98960702,726.7563744,1786.295525,6751.046099,0.240098371,NA,NA,NA,0.479085373,0.718379778,0.7292388,NA,NA,NA,1.658843558,NA,1.971155886,3.134027067
