"sample_id","(+/-)-Tryptophan","(1E,4Z,6E)-5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one","(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid","(2S)-2-[[(2S)-2-azaniumyl-4-methylpentanoyl]amino]-3-phenylpropanoate","(7r)-4,7-Dihydroxy-N,N,N-Trimethyl-10-Oxo-3,5,9-Trioxa-4-Phosphaheptacosan-1-Aminium 4-Oxide","(R,S)-ANATABINE","(R)-(+)-Atenolol","(R)-Baclofen","[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] hexadecanoate","1-(9Z,12Z-Octadecadienoyl-2-hydroxy-sn-glycero-3-phosphocholine","1-Isomangostin","1-linolenoyl-GPC (18:3)","1-O-palmitoyl-sn-glycero-3-phosphocholine","1-Oleoyl-sn-glycero-3-phosphocholine","1-Oleoylglycerophosphocholine","1-oxo-1,2-dihydroisoquinoline-3-carboxylic acid","1-Palmitoylglycerophosphocholine","1-phenyl-1H-pyrazole-5-carboxylic acid","1,5-isoquinolinediol","1453-93-6","15861-40-2","1H-Indole-3-carboxaldehyde","2-(1H-imidazol-2-yl)benzoic acid","2-Amino-1-phenylethanol","2-methyl-3-(pyridin-2-yl)benzoic acid","2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxylic acid","2-phenyloxazole-5-carboxylic acid","2,3-Diaminonaphthalene","2,3-Diaminonaphthalene (Chimeric precursor selection)","2,6-DIMETHYLQUINOLINE","2'-deoxyguanosine","2'-deoxyinosine","2227803-25-8","23012-16-0","3-(2-aminocyclohexyl)propanoic acid","3-Acetamidobenzoic acid","3-Acetamidophenol","3-Cyclopropylquinoline-2-carboxylic acid","3-Dehydrosphinganine","3-isomangostin","34014-51-2","4-Aminoquinoline-2-carboxylic acid","4-hydroxyisoquinoline-3-carboxylic acid","4-methyl-2-propyl-1,3-oxazole-5-carboxylic acid","4-methylquinoline-6-carboxylic Acid","5-methyl-1-(4-methylphenyl)-1H-pyrazole-4-carboxylic acid","5-methyl-2-(3-methylphenyl)-1H-imidazole-4-carboxylic acid","76474-56-1","8-Aminooctanoic acid","8-Hydroxyquinoline","8-HYDROXYQUINOLINE (Chimeric precursor selection)","8-methylquinoline-5-carboxylic acid","883715-21-7","98483-00-2","abacavir","Ala-phe","amitriptyline","amoxicillin","Asp-Phe methyl ester","atenolol","atorvastatin","baclofen","Benzododecinium","BEPHENIUM","berberine","Bisdemethoxycurcumin","Butylscopolamine","C18:0 LPE","CA","celecoxib","Cer 18:1;2O/16:0","Cer 18:5;2O/9:0;O","Cer 27:5;3O","Cer 34:1;2O","cetirizine","Chalconaringenin","CHEMBL5028245","CID 6993119","ciprofloxacin","Columbamine","Cratoxyarborenone E","Cratoxylone","curcumin","D-erythro-Dihydrosphingosine","D-phenylalanine","D-Sphingosine","D-Tryptophan","D-tyrosine","daidzein","Demethoxycurcumin","Deoxycholic acid glycine conjugate","diphenhydramine","diprotin A","doxepin","doxycycline","enoxolone","famotidine","Fendizoic acid","feruloylputrescine","fluconazole","gabapentin","gamma-glutamylphenylalanine","gamma-Mangostin","Garcinone C","GARCINONE D","GCA","genistein","glycitein","GLYCOCHENODEOXYCHOLIC ACID","glycoursodeoxycholate","H-ILE-TRP-OH","Hispidol","hydroxyzine","INDOLE-3-CARBOXALDEHYDE (Chimeric precursor selection)","Indolizine-1-carboxylic acid","Jatrorrhizine","Jineol","L-(-)-Phenylalanine.1","L-tyrosine","LETESTUIANIN B","Levocetirizine","LEVOFLOXACIN","lisinopril","loperamide","LPC 16:0","LPC 16:1","LPC 18:0","m-tyramine","METHYL NICOTINATE","metoprolol","minocyclin","minocycline zwitterion","montelukast","Moxacin","mycophenolic acid","N-(5-acetamidopentyl)acetamide","N-Valylphenylalanine","NCGC00024645-01","NCGC00380823-01!2-(14-methylpentadecanoylamino)-3-phenylpropanoic acid","NCIOpen2_005816","nortriptyline","octopamine","oleamide","Omeprazole sulfide","PAF C-16-d4","Phe-ala","Piperin","Piperolein B","protriptyline","ranitidine","Robinetin","SCHEMBL3706","SCHEMBL424527","sertraline","solanidine","Sulfachloropyridazine","sulfadimethoxine","Sulfadimidine","sulfamethizole","sulfapyridine","taurochenodeoxycholate","taurocholate","taurodeoxycholate","taurohyodeoxycholate/ tauroursodeoxycholate","Tert-butyl N-[2-(1H-indol-3-yl)-1-(methylcarbamoyl)ethyl]carbamate","trans-Zeatin","trazadone","trimethoprim","tryptamine","tyramine","tyramine (Chimeric precursor selection)","Val-Tyr","valsartan","Vidarabine","VORTIOXETINE","Z2961795382"
"PLCL17719",0,6609,0,0,3540,3160,0,0,0,0,5852,0,0,724,7240,0,0,0,8791,0,0,0,0,2682,3930,0,0,0,0,0,0,5256,0,0,0,0,7600,655,0,2926,0,0,0,0,0,0,0,0,0,0,0,0,7342,0,0,2590,0,6464,7210,0,24488,0,74160,0,0,33010,0,3723,9356,33420,547,0,4716,547,7851,5040,0,0,6752,30972,2926,2926,15421,0,0,NA,0,0,0,16910,0,0,0,0,0,7400,0,0,0,0,9220,3090,0,0,0,5670,0,0,0,0,0,0,118800,0,26373,46458,52746,0,0,0,18319,0,0,0,0,0,1180,37184,0,0,0,0,0,1616,0,0,0,0,0,0,0,7272,0,0,8260,1036,NA,0,0,8570,0,0,0,20170,0,0,0,0,0,39310,4149,0,2766,6915,0,2004,0,0,4740,37184,18592,3546,0,0,0,0
"PLCL17720",0,0,0,11732,2850,11840,0,0,33050,0,6040,0,12572,0,0,0,18858,0,0,0,0,0,0,18410,3072,0,0,0,0,0,2092,0,5260,0,0,0,0,2892,0,3020,0,0,0,0,0,2630,2630,0,0,1032,1032,0,6470,1062,17460,0,0,661768,8918,0,0,0,55728,0,5220,23670,0,2577,53400,0,696,0,2542,696,0,0,0,0,6120,2668,3020,3020,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7690,3822,0,0,0,0,0,5460,0,0,1734,0,0,0,0,4002,0,0,0,0,0,0,0,5020,3143,0,950,3436,0,0,0,0,0,5792,12430,0,0,0,0,0,0,7638,0,0,6650,0,NA,9470,0,0,0,22140,0,0,0,0,0,0,0,661300,0,88560,0,0,13872,0,6550,0,17760,3436,1718,3012,0,2092,0,0
"PLCL17725",0,0,0,0,3243,0,0,0,0,0,5708,0,0,1557,15570,2712,0,0,5864,0,0,0,0,0,0,0,1808,0,0,0,0,2828,0,1808,0,0,0,0,0,2854,904,0,1808,0,0,0,0,3258,0,0,0,0,5962,0,0,0,0,6296,0,0,7344,0,100740,0,0,23040,0,2999,0,0,503,0,0,503,0,0,0,0,0,0,2854,2854,0,0,0,NA,0,0,0,5440,0,0,0,0,0,0,0,0,0,0,7890,0,0,0,0,9177,0,0,0,0,0,0,19290,0,17592,0,35184,0,0,2172,0,0,0,0,0,0,1081,7928,0,0,9918,1653,0,1574,0,0,0,0,0,0,0,3822,0,0,7567,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3762,0,2508,6270,0,0,0,0,0,7928,3964,1262,0,0,0,0
"PLCL17842",0,0,0,12544,3180,0,0,0,0,0,6968,0,9584,1830,18300,0,14376,0,0,0,2700,900,0,920,6084,0,0,0,0,0,3904,37100,0,0,0,0,12160,3746,0,3484,0,0,0,4984,0,0,0,0,830,900,1800,0,6454,1366,0,0,0,10736,13370,0,0,0,120180,0,0,42440,0,3575,9304,0,620,0,13400,620,0,0,0,0,13368,9380,3484,3484,0,0,0,NA,0,5013,0,60180,0,0,0,0,0,0,0,0,6140,0,6820,5730,0,0,0,0,0,0,0,0,0,0,0,900,0,14070,0,0,11697,0,0,0,0,0,2396,0,1060,0,0,0,0,0,8608,2684,0,0,0,0,0,0,0,11622,0,0,7420,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4036,0,0,0,0,0,5308,0,3904,0,0
"PLCL17858",0,0,0,21518,2337,0,0,0,0,0,4912,0,12016,1130,11300,0,18024,0,0,24210,0,0,0,0,5208,0,0,0,0,0,0,27236,0,0,0,0,15950,868,0,2456,0,0,0,4072,0,0,0,11628,501,1222,3666,0,11034,1280,0,2645,0,68992,6468,0,0,0,69900,0,0,31370,0,5164,13608,0,610,0,17800,610,0,25300,0,0,15680,19828,2456,2456,0,0,1138,NA,0,2781,0,16040,0,0,0,0,0,0,0,0,9330,0,12510,2772,0,0,0,13685,0,0,0,0,0,0,56410,0,0,29742,0,4552,6489,7752,0,0,0,8740,3004,0,779,0,0,0,0,0,0,17248,9530,0,0,0,0,0,0,8784,0,0,5453,1058,NA,0,0,9010,0,0,0,87770,0,0,0,0,0,0,11709,0,7806,19515,0,3420,6400,0,0,0,0,5252,0,0,0,0
"PLCL17860",0,0,0,0,3738,0,0,0,0,0,6028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3014,0,0,0,0,0,0,0,0,0,0,0,0,5920,0,0,2955,0,0,0,0,0,0,0,0,0,30520,0,2587,0,0,507,0,0,507,0,0,0,0,0,0,3014,3014,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8722,1182,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLCL17871",0,0,0,0,2973,0,0,0,0,0,5424,0,0,0,0,0,0,0,0,0,1758,586,0,1186,0,0,0,0,0,0,0,13300,0,0,0,0,7140,2004,0,2712,0,0,0,0,0,0,0,0,0,586,1172,0,6922,1270,0,0,0,7072,8939,0,0,0,62940,0,0,25510,0,2904,6136,0,604,0,9606,604,0,0,0,0,0,11472,2712,2712,0,0,0,NA,0,2091,0,7440,0,0,0,0,0,2992,0,0,0,0,7020,3831,0,0,0,8680,0,0,0,0,0,0,58010,586,0,17208,0,0,4879,0,0,0,0,0,0,0,991,30212,0,0,0,0,0,1768,0,0,0,0,0,0,0,7248,0,0,6937,0,NA,0,0,14110,0,0,0,39240,0,0,0,0,0,0,2979,0,1986,4965,0,4060,0,0,0,30212,15106,5140,0,0,0,0
"PLCL18228",0,0,0,0,3084,0,0,0,0,0,6092,1102,0,2438,24380,0,0,0,0,0,148050,49350,0,0,3000,0,0,0,0,0,0,3856,0,0,0,0,7840,500,0,3046,0,0,0,4008,0,0,0,0,0,49350,98700,0,6480,0,0,0,0,0,8547,0,0,0,145320,0,0,42770,0,3443,2520,0,578,0,12230,578,0,0,0,0,12616,9380,3046,3046,0,0,1042,NA,0,3642,0,0,0,0,0,0,0,2560,0,0,5220,0,6740,3663,0,0,0,0,0,0,0,0,1441,0,10280,49350,0,14070,0,4168,8498,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13350,0,0,7196,0,NA,0,0,5400,0,0,0,36020,0,0,0,0,0,0,0,0,0,0,11528,2696,0,0,0,0,0,5058,0,0,0,0
"PLCL18230",0,0,0,8953,3159,0,0,0,0,0,5220,0,21352,672,6720,0,32028,0,0,0,0,0,0,0,0,0,0,0,0,0,16248,24056,0,0,0,0,6530,2132,0,2610,0,0,0,0,0,0,0,0,0,0,0,0,8008,1604,0,3540,0,7848,7189,0,4056,0,77160,0,0,20130,0,4192,2316,2620,574,0,5733,574,2322,7320,0,0,7352,2532,2610,2610,0,0,0,NA,0,3702,3942,56660,0,0,0,0,7670,6744,0,0,5000,0,7320,3081,0,0,0,0,0,0,0,0,0,2628,85340,0,0,3798,0,0,8638,0,5418,0,0,0,5338,0,1053,0,0,0,0,0,0,1962,21570,0,0,0,0,0,0,8886,0,0,7371,1416,NA,0,0,0,0,0,0,35740,0,0,0,0,0,0,1551,0,1034,2585,0,0,14000,0,0,0,0,3164,0,16248,0,0
"PLCL18235",0,0,0,0,3681,0,1040,0,0,810,5360,0,0,0,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,30504,0,0,0,0,0,0,0,2680,0,0,0,0,0,0,0,0,0,0,0,0,6448,0,0,0,0,0,17794,4160,10912,0,5634,1082,18450,30670,0,2260,0,0,653,0,0,653,0,0,0,0,0,0,2680,2680,0,0,0,NA,0,1734,3768,18230,0,9738,0,0,0,3980,0,0,0,0,7000,7626,0,0,0,3619,10728,0,0,0,645,2512,6040,0,3321,0,6642,0,4046,0,0,0,0,0,0,0,1227,0,0,0,0,0,0,0,24120,0,0,0,0,0,0,0,0,0,8589,0,NA,0,0,0,1088,0,0,64560,0,0,0,41460,0,0,0,0,0,0,5160,0,12500,0,0,0,0,1194,0,0,0,0
