"sample_id","(+/-)-Tryptophan","(N(1) + N(8))-acetylspermidine","1-methyl-4-imidazoleacetate","1H-Indole-3-propanoic acid","2-aminoadipate","2-hydroxy-3-methylpentanoate","2,3-Pyridinedicarboxylate","2,5-Dihydroxybenzoate","3-Hydroxyanthranilate","3-Phenyllactate","39.01_1H-indole","4-acetamidobutanoate","4-imidazoleacetate","4-Imidazoleacrylic acid","Ala","Arg","Asp","citrulline","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","Gln","Gly","His","histamine","homovanillate","I(-)","imidazole propionate","indole-3-lactate","L-(-)-Phenylalanine.1","L-serine","L-threonine","L-tyrosine","L-valine","N-epsilon-acetyl-L-lysine","pipecolic acid","taurine","xanthurenate"
"9032-B_S",49295521,35984,NA,NA,755813,6069822,4015194,NA,568,689874,51862,8173,83132,29635,85429,1428234,15287426,64148,142764034,698695,112304,19652466,1974152,1010524,9996,73809991,389,2478689,75377975,826,1460162,99856954,16624,52245,21579377,127517162,6023,7905,221995,250056
"9032-D_S",52408462,46481,14376,208767,1017637,5478779,2921962,39577,902,900729,46538,12397,88760,40666,111083,1632031,16419486,73761,158544159,1101310,123322,20729087,2831760,1128495,12334,80191780,1145,2483278,96932645,778,1512656,94724791,16535,67342,25372197,165846487,6461,12066,215395,327931
"9032-E_S",90409755,45781,2159688,1184141,441309,4485304,5835052,304157,245,641636,38978,12082,70011,46573,151797,1845827,13890681,75930,182910612,883453,167520,20163953,2752227,1185336,12346,98258644,749,2000202,120521086,1628,1417103,114224989,15190,58685,23979893,169715138,5370,16172,233786,135386
"9031-A_S",43621136,57223,8297,NA,142977,5910469,3220120,2093020,355,1197668,73673,14407,96587,36755,112477,1973863,13616720,107551,132134729,981715,126728,34115078,3030369,1224766,22391,117524108,30,1635642,82640694,2561,1546323,86811415,31500,67826,21072889,129925982,7206,21984,324105,NA
"9031-B_S",58238669,53689,5746,NA,NA,6097366,2374215,622974,166,2509149,62096,16164,103866,30772,210095,1895656,13459514,106030,127144897,1080145,168657,30813017,4033769,1402959,28954,117233136,12,2731020,72595437,2178,1818731,101027069,30558,77552,29837461,120927602,8010,54426,404441,NA
"9031-C_S",49508460,54955,4117,NA,NA,5179537,2129667,NA,NA,804277,74908,10540,73933,67117,187883,1772119,15002638,77208,112057764,965380,171408,30662512,3999996,1375297,33139,109128652,17,2534118,71752844,2339,1221928,90781765,29957,81286,25611390,106169909,6781,13109,371417,NA
"9031-D_S",48318311,44143,60951,6943882,196290,5611709,1652025,4650958,100,1150387,75134,16024,101255,120762,130670,1440459,12345663,80559,99657783,798936,116628,23673257,2659888,1098402,19139,105811583,NA,2382854,55498943,2113,1366397,85470846,23211,51571,23540418,101738851,7315,79789,413823,NA
"9030-A_S",77612565,47554,2654462,391543,661507,7441036,3227862,1269909,234,928125,47146,10256,83440,47511,116936,1944067,15985714,85002,175135971,980699,152995,26762418,3042622,1075930,14654,90381377,3436,2372049,109648000,1313,2099686,117973438,24832,87329,19909372,159083214,6051,16487,279393,NA
"9030-B_S",66716951,52706,1980259,NA,242870,2480656,4170172,NA,59,436884,50658,11857,62575,63873,126256,2119928,19495025,78632,166987037,1121327,157683,33195306,3157694,1179685,15874,97638930,1209,1720723,105711830,1000,2041864,106200140,30901,98204,18963229,164558688,5777,18853,233953,88898
"9003-A_S",76664302,57857,83158,NA,585669,4569806,3704536,NA,412,1498842,55786,11544,75133,189436,157543,1846126,7862408,84379,153916929,1147529,171957,22977770,4896198,1193060,15609,104673129,11083,2027694,96652904,695,1871701,102807174,23511,95209,23638126,149210813,6113,17540,292392,203229
"9030-C_S",66714111,51214,1434335,NA,605795,8800372,3598177,58033,311,837970,50484,8802,72874,46036,114918,1705387,14570613,40335,180877037,1071597,157802,27466129,3351987,1160746,15776,93811968,1382,2460033,118824933,440,1884942,111887417,24621,82910,19593000,166797496,6054,17599,286030,NA
"9030-D_S",58447645,49202,1663831,1271418,469381,8208352,2327772,3563147,229,918302,55442,12022,83754,49947,112011,2257022,13303652,83950,170245767,1002818,152418,32028648,2942441,1184939,14264,92607190,4271,2384053,101203977,457,1569398,105367627,24972,79236,21578219,149871483,5851,26093,284812,NA
"9030-E_S",53602791,37241,387592,999403,749478,9735423,2508868,2482642,NA,560370,61262,12667,118785,35356,86492,1765204,12896156,75370,175835082,820232,109109,26887880,2147496,874949,10020,82380976,2563,2516211,91490632,843,1961284,103272395,16304,45615,17664683,148396423,5905,51788,215405,81079
"9029-A_S",74830025,57335,12751,NA,786934,6523997,2807850,23183,605,2634855,44212,7569,64103,64661,190600,1840496,13916002,60764,160795933,1367743,151546,20971728,3654622,1267304,10939,102123614,2195,2862718,97867237,134,2310160,116288909,14295,53482,28921624,161946113,5141,16439,216408,329200
"9029-B_S",76634787,54489,4583,NA,777893,7052607,2389774,73723,434,2804408,41499,6278,29297,38534,193048,1730407,43036810,60555,155350451,1329389,143770,21262432,3888698,1311241,11541,99433193,1835,3038612,100189097,204,2112897,117423257,14018,55114,27861102,163808151,4611,16408,193692,NA
"9029-C_S",53594834,57572,28069,NA,721063,6388343,2888666,17968,422,558804,47787,7644,61259,68663,139446,1493711,14003826,23673,156211797,1232028,137942,20409854,3321086,1275748,10866,94893002,1429,2690744,104876346,503,1619543,107023518,16348,59454,25199462,168163835,4630,12763,183026,271874
