"sample_id","12-keto Lithocholic Acid","13.36_acetic acid","16.89_propanoic acid","19.04_2-methylpropanoic acid","20.13_butanoic acid","26.93_hexanoic acid","3-dehydrocholate","3-oxoLCA","3<U+03B2>-Cholic Acid","3<U+03B2>-Ursodeoxycholic Acid","6-keto Lithocholic Acid","7_DHCA","7-ketolithocholic acid","b-D-Glucopyranosiduronic acid, (3a,5b)-24-[(carboxymethyl)amino]-24-oxocholan-3-yl","CA","CDCA","chenodeoxycholate/deoxycholate","Deoxycholic acid glycine conjugate","GCA","glycochenodeoxycholate","glycoursodeoxycholate","HCA","hyodeoxycholate/ursodeoxycholate","Isovalerate","LCA","LCA-S","Norca","T-<U+03B2>MCA","taurochenodeoxycholate","taurocholate","taurodeoxycholate","TBA","Valerate","<U+03B1>-hyodeoxycholic acid"
"QCS-001-1f",720904.3366806,1.7077,2.1734,0.0982,1.0382,9e-04,230.561333333333,1087042.64575649,751.833844444444,12122.5855333333,5331.14266666667,781.242177777778,1142.6902,13468.4732006667,1462.65286666667,4651.222,818904.214733333,7448.69951111111,44.2301333333333,79.5985555555555,325.004431333333,2807.20186666667,6025.72828888889,0.1046,2383195.64124327,4.50849355555555,512.4108,255.421177777778,10.8301088888889,8.54802222222222,1133.12268888889,5.07288656115924,0.023,4242.01484444444
"QCS-001-2f",238222.26617778,0.9138,0.9279,0.12,1.273,0.0068,390.780091743119,159097.421357798,589.504880733945,4480.85871559633,1552.37148623853,2091.95234862385,6482.35211009174,723.885963119266,9080.21412844036,25991.6353944954,689712.033651376,1153.1088440367,285.428110091743,1874.70840366972,97.4735700917431,501.053247706422,8562.32528440367,0.1346,1101816.73120007,3588.04955908257,585.943504587156,326.999082568807,59.6025436697248,29.7860550458716,12.3676880733945,2.26104370094042,0.2416,3734.8475412844
"QCS-002-1f",103431.091295238,1.0646,0.6363,0.0193,2.0949,4e-04,1727.66396190476,21174.8066285714,16978.1198285714,20488.6345904762,2900.16580952381,4832.84786666667,14699.9990857143,103.429948571429,126474.85632381,374310.066909429,957611.35807619,144.588171428571,91.9556571428571,171.206914285714,47.3739681904762,2820.24236190476,94683.5405333333,0.0165,764029.912406629,43869.1636866667,1308.82207619048,615.255942857143,135.210442095238,16.871980952381,271.0272,2.55381992391396,0.0089,881.712247619048
"QCS-002-2f",67743.4830188679,0.4863,0.8185,0.1123,1.0174,0.0029,94.3508113207547,33698.021490566,145.421433962264,1732.0731509434,4235.99852830189,34.4909811320755,244.965867924528,401.397116037736,516.698867924528,3132.35371698113,619762.380735849,429.006547169811,56.996679245283,174.385867924528,37.8135679245283,352.500490566038,1437.63469811321,0.1586,1113188.70024545,456.932256603774,905.754471698113,136.831981132075,59.3564483018868,2.53022641509434,35.3565849056604,1.85002959048338,0.2322,1014.15469811321
"QCS-002-3f",154392.466727273,1.3031,1.7727,0.0833,1.0963,0.0076,88.759696969697,89632.7501818182,157.343494949495,3288.38636363636,3328.45298989899,380.490363636364,2252.64268686869,200.328140808081,3106.66068686869,11011.9058585859,991873.002383838,717.420747474747,59.8860606060606,381.417171717172,416.327893333333,839.474242424242,9452.6582020202,0.0929,1472440.97378545,7298.1730460606,804.041656565656,194.558404040404,56.4625741414141,0.427757575757576,119.130484848485,2.75342957612667,0.4836,935.434525252525
"QCS-003-1f",1243408.52547855,0.751,0.8306,0.0757,0.3719,0.0014,216.491920792079,1046815.92240919,82.3200396039604,31628.5052673267,10677.3563762376,594.339504950495,10543.7435445545,1187.4008829703,1446.95988118812,20367.5012079208,2015536.98732673,3893.84968316832,727.672811881188,5049.75441584158,761.157081980198,1256.46376237624,24817.4653861386,0.069,3584453.26197513,368.822428712871,4074.63231683168,2017.1204950495,689.222085742574,66.6666534653465,214.744891089109,8.02433245469871,0.1075,13435.5668712871
"QCS-003-2f",40202.2959795918,1.0252,1.1157,0.0254,1.1611,0.0012,347.426448979592,11373.8229591837,2010.66575510204,10152.7169387755,1171.84406122449,5156.80526530612,14065.4416734694,91.2988310204082,20393.1547346939,79326.4464489796,536723.593428571,188.189326530612,229.889142857143,1499.825,172.084843061224,1120.92563265306,39812.4495102041,0.0285,704379.736521061,32638.6248493878,1568.10034693878,184.300224489796,930.845770408163,125.243489795918,382.356346938775,1.50825630732514,0.0804,4008.22379591837
"QCS-003-3f",107575.044021739,1.5406,1.8496,0.075,3.2611,0.0026,133.488260869565,35660.0846956522,388.650304347826,17410.2447826087,4493.95134782609,371.619043478261,3655.43026086957,207.30343326087,5873.48347826087,18774.7403043478,1569321.29013043,555.510630434783,522.82902173913,414.12047826087,658.01734,1068.13623913043,33664.2817608696,0.0727,1360095.58018948,22885.8595947826,821.950130434783,100.729934782609,104.226713478261,166.860326086957,3767.66780434783,3.18994803796665,0.2654,1256.93773913043
"QCS-004-1f",48683.0474186047,0.1431,0.096,0.0335,0.0865,9e-04,53.509488372093,93643.492255814,138.779976744186,2256.50825581395,856.069744186046,82.5621860465116,714.745604651163,887.243945348837,326.637674418605,1695.8896744186,963955.705953488,696.608186046512,11.5718372093023,8.37111627906977,72.9764372093023,4694.80104651163,5299.81937209302,0.0578,1609485.8148686,23.3734697674419,2545.06555813953,1075.03188372093,0.846139302325581,0.0820697674418605,186.790790697674,2.74419490725558,0.041,6799.56230232558
"QCS-004-2f",512692.156808255,0.3099,0.3972,0.1212,0.5333,0.0135,254.163085106383,230302.282007574,1086.40640425532,60272.767106383,20154.3442553191,392.695106382979,4235.77610638298,304.083418085106,2089.69359574468,18409.5916382979,2511600.86310638,821.956659574468,603.158659574468,246.053893617021,196.206393191489,3633.44338297872,68627.486893617,0.2067,3244282.61762462,13.8479461702128,2945.21329787234,2046.66982978723,72.2979472340425,89.7267021276596,89.7267021276596,6.6884245851664,0.4051,2961.35659574468
