"sample_id","b-D-Glucopyranosiduronic acid, (3a,5b)-24-[(carboxymethyl)amino]-24-oxocholan-3-yl","CA","CDCA","chenodeoxycholate/deoxycholate","Deoxycholic acid glycine conjugate","GCA","Glycochenodeoxycholic acid","Glycohyodeoxycholic acid","glycoursodeoxycholate","hyodeoxycholate/ursodeoxycholate","LCA","Lithocholic acid taurine conjugate","Tauro-<U+256C><U+2592>-Muricholic acid","taurochenodeoxycholate","taurocholate","taurodeoxycholate","taurohyodeoxycholate/ tauroursodeoxycholate"
"2176T",44.3641,780.3911,951.8375,144381.7788,694.6801,1336.2144,2699.055,21.7971,16.4507,745.8545,51563.8976,58.5972,1.404,327.4058,413.8194,165.0433,0.105
"2177T",0.2576,708885.764,110650.7574,13700.7444,20.6076,1446.2753,6518.4678,1.8207,968.0897,240985.58,0.2787,9.9559,1071.6366,1713.3984,11663.3614,231.853,3515.5336
"2178T",0.3258,204987.4692,47982.6958,541.7862,16.555,375.4882,936.3257,36.1027,355.4463,120062.4932,26974.522,30.1086,213.4638,627.4423,3110.2972,1.1103,714.524
"2179T",0.1101,57374.8671,3591.5626,252.9254,0.0941,492.0332,4245.0739,33.1216,1285.7462,20859.1794,0.2353,0.9339,34.729,1315.4004,2305.0061,17.9961,313.5358
"2180T",0.2838,65885.4777,8056.3932,337.7295,12.2445,312.0547,1692.1261,49.2482,993.9454,38869.4345,0.3294,0.0615,87.3641,303.8143,1743.7812,29.2203,467.5217
"2181T",0.4343,154207.5399,19954.7142,502.0321,0.1014,744.7926,3311.0289,1.2084,943.223,68044.8527,3112.7708,38.7896,29.0941,613.6972,833.5359,28.5429,190.293
"2195T",46.0484,494.0115,2169.4745,116084.8692,488.9807,320.1451,781.3179,18.0017,85.4352,1166.6207,20593.6217,561.2386,36.071,146.5237,396.3864,1088.4034,15.4986
"2196T",64.2545,948.5825,659.0091,149695.2934,810.8602,166.3882,296.9441,0.0906,10.9775,0.1919,16203.5653,320.8227,238.1324,52.5242,38.8148,1725.9305,34.7847
"2197T",17.4892,258.9962,335.3258,148651.7154,309.893,93.3386,339.4138,0.7451,21.5412,160.4902,21813.5885,239.5712,31.9251,26.8057,35.3898,996.8542,0.5773
"2198T",96.6911,35716.7272,10724.2197,144752.2457,1821.5306,912.7722,2421.8891,1.24,197.8555,10578.4162,18746.3385,357.0096,42.7183,706.4911,855.4144,2124.6575,124.315
"2199T",31.4647,36693.2287,20034.7956,131949.811,1668.5775,1270.9841,4358.7775,53.2302,573.0716,7692.2923,8876.4787,184.213,481.959,1214.757,977.4562,2300.0098,200.2369
"2200T",16.3754,384.5277,6099.9308,160299.4363,379.6274,218.9608,385.763,2.1991,5.4175,51.8305,22143.3253,423.327,2.476,52.8558,33.8636,2140.8131,0.0833
"2201T",8.7672,238.8056,577.5193,31936.6041,293.7096,205.8424,585.0287,0.8383,27.3165,427.8173,13862.5899,46.9377,0.21,43.6423,28.4931,153.1228,22.9851
"2475T",24.7272,2949.8293,1722.7493,31987.009,608.4963,927.8091,2000.651,0.5149,197.7812,2235.9959,10333.5119,214.3642,30.5288,761.8119,1610.379,598.2947,183.8516
"2476T",10.0295,333.6569,359.5864,102056.9016,521.4255,287.6129,836.0383,0.2136,49.4279,3063.6527,20989.3154,37.3758,1.2338,79.1059,36.6047,57.5547,0.2606
"2477T",32.5526,438.5961,230.568,70597.9916,946.0278,285.406,1421.9386,0.1013,68.5398,3165.0205,61694.1092,17.6725,0.6897,201.4627,58.3845,156.6383,0.0109
"2478T",36.4944,683.7769,652.169,42046.6811,467.6138,544.7546,1062.1281,0.1158,33.7521,50.3373,31007.0002,0.1593,1.866,68.9354,83.4654,40.249,0.2787
"2479T",54.6204,495.42,1574.034,141198.9986,247.3399,334.326,721.084,1.4064,55.7628,6573.959,63514.1298,0.2715,1.0387,49.6404,11.9595,0.21,0.1629
"2480T",51.7672,269.7211,1172.3209,70722.188,366.7349,584.2611,903.2869,23.3475,98.0342,781.8261,26381.6473,0.152,0.105,29.4467,2.9178,26.5288,43.1276
"2481T",233.4141,592.8697,3448.9214,189820.9624,703.7686,256.0044,727.6327,0.049,60.6611,617.0852,94008.935,0.3548,0.2136,11.4577,77.8682,10.6233,41.5439
"2482T",17.6264,565.1773,1151.8697,30484.9127,251.1084,280.9434,607.109,0.3113,51.3069,209.8293,10395.5254,1.3002,1.3517,59.7947,109.1786,23.606,0.0109
"2484T",67.4453,7772.6385,3451.55,81367.6266,701.829,679.2771,1880.0968,34.4861,132.9498,3158.4521,19163.0751,127.1684,64.7097,299.5995,546.2913,380.0668,48.5441
"2556T",3.3429,1401.0763,999.6303,14208.6124,110.3057,133.6805,229.6371,0.1231,34.2015,1258.8769,6430.5086,15.2483,1.6403,12.2055,0.1665,19.2442,0.4799
"2557T",15.4484,4555.5082,2464.6993,64374.8324,258.3629,323.6767,622.084,1.5091,44.3543,1982.8526,14648.8169,214.1629,45.2218,504.9085,2025.3685,1397.191,78.2924
"2558T",40.5561,5639.1261,4200.2119,40605.5896,608.9526,332.8682,431.8221,2.5981,15.5292,1361.6233,9997.5832,4.6878,48.333,47.7427,56.9095,82.0001,1.3022
"2559T",62.033,3137.6916,3267.1896,67374.1445,654.818,627.9019,661.9784,1.0601,51.685,467.3623,12067.4562,0.2896,0.2172,37.2797,40.1848,40.6671,0.0145
"2560T",63.1573,2438.4457,4104.4797,134903.0072,446.5344,171.3531,967.2966,1.2587,91.1117,9437.0564,34690.7314,353.6882,4.6226,154.4795,148.9085,817.5343,62.7187
"2561T",147.8686,11431.4438,17138.3316,181504.184,869.4338,819.2744,1584.2528,34.4401,206.1061,20632.1479,40947.9624,918.5676,74.6241,523.4376,597.2086,2386.2572,383.2328
