"sample_id","(+/-)-Tryptophan","(N(1) + N(8))-acetylspermidine","(S)-3-Hydroxybutyric acid","16.89_propanoic acid","2-hydroxybutanoic acid","20.13_butanoic acid","3-phosphoglycerate","4-Aminobutyrate","5-Aminopentanoate","5-Thymidylic acid","5'-adenylic acid","5'-CMP","6-phosphogluconate","adenine","adenosine","Ala","alpha-glycerophosphate","Arg","Asp","beta-Ala","betaine","CA","carnosine","chenodeoxycholate/deoxycholate","choline","citrate","citrate/isocitrate","citrulline","creatine","creatinine","cytidine","cytosin","D-Fructose-6-phosphate","D-Gluconic acid","D-Glucose 6-phosphate","dimethylglycine","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","dTTP","fumarate","G1P","GCA","Gln","Glu","Gly","guanine","guanosine","His","homoserine","hydroxyproline","hypoxanthine","I(-)","inosine","L-(-)-Phenylalanine.1","L-lactic acid","L-malic acid","L-serine","L-threonine","L-tyrosine","L-valine","NAD+","putrescine","Ribulose 5-phosphate","S-Adenosyl-L-methionine","S7P","sarcosine","spermidine","spermine","succinate","taurocholate","thymidine","thymine","TMAO","trimethylamine","tyramine","UDP","UMP","uracil","uridine"
"15_C3",38.3227469497156,0,44.5202615267943,61712.7014912635,0,34451.3433677112,0,33.2778215262831,155.299888324419,0,0,0,0,0,5.77371780077917,580.869789678729,0,22.9684848129212,1041.79699437201,47.2308515301821,0,208.83178949279,0,6609.50901733228,36.9489160757126,NA,0,359.624610187189,11.5206788945281,0,0,0,0,37.6975381215447,48.2265448740798,9.99005376453924,159.73296829988,978.613711742295,49.6140891403574,192.971983247642,675.163461760711,0,0,0,0,10.1208936689014,9348.29703833016,431.15665574297,8.70396490672736,5.0274209878509,84.1205509257245,16.7422157630711,8.58464819235482,249.337765832506,98.6737983187293,98.000829910134,89.2804202039335,743.772525606425,200.745807115668,194.152245577121,60.5512541094895,142.762511156896,209.124252176983,24.8725308948173,31.783240670653,0,2.50071045477048,0,0,8.51706464517542,0,1954.32534052026,0,42.5464424750168,112.170706516917,0,0,0,0,0,156.236800290305,70.3492689128642
"16_T1",98.6328039541482,39.604990328372,0,135856.506398517,0,61953.3039991207,0,39.1658482710037,233.015126229954,0,26.0031123758592,0,0,7.8299094194598,10.8321363751111,1092.72497535786,0,831.402759679319,1605.1880471754,78.5995774339579,0,236.043426986973,0,8068.1481681872,289.98500647011,107.049805222475,0,372.7487099439,5.8391121717993,0,4.92360492402373,2.82271242069333,0,0,0,0,223.853916868516,2243.61721440901,61.5642696424185,113.340811982703,881.430764520926,0,0,0,24.5055332492554,46.4354294814437,15290.014371252,584.490564480392,1704.94646774409,35.8547521012046,100.078488116858,39.5804331052828,0,135.107216825334,172.140394010527,613.232283528888,380.379153096367,1719.92637299048,212.295908742671,339.058294126328,141.193093773205,501.874441569721,344.332302905328,46.1952277718863,57.7997228843472,0,11.0550966914979,0,40.5667887043132,255.700560300965,0,3893.93713899326,0,101.905316911021,108.294870728483,0,0,22.3531013570756,0,0,176.972749865338,190.737855968325
"16_T2",103.740128306742,24.2421217402865,425.60683350186,104957.326921801,252.312498530229,95381.4519920963,0,567.153211878509,4867.36768183602,0,84.3126268784374,0,124.962384309464,14.2295908983881,17.7806091937892,1580.340657032,90.9001314337006,517.716033485119,2621.11188515151,166.299387172709,91.8167085689695,4481.60602268526,14.4710773712991,8369.42754760465,225.91828155507,311.01560360374,0,206.788736409024,1400.10716243279,580.739410747488,11.6701254201109,4.693599827396,0,303.755714660845,311.820635265085,0,265.184067112209,2413.17411722151,87.1235558916215,104.486043153312,740.095463803649,0,0,122.547275530631,340.225494453939,544.201486883595,10191.2370055314,5581.93127504161,41.6197021673268,28.8516236116718,208.902218854184,83.9487622859657,77.2936210648263,129.327756459033,235.436873317954,401.520657937396,227.455354357105,10079.3915366071,604.799838977263,429.542418593027,666.23608661701,295.583609101328,632.151627582888,153.812061398411,286.28786580257,99.2302106983346,18.4994371195053,63.1112887299623,103.811356977123,74.8425016688234,0,78812.9681528947,592.744690638684,84.9209724323267,443.698581698081,0,20.9837708207147,20.0345459067875,0,0,120.923037001916,181.487309259644
"16_T3",124.899648689046,13.8153993559501,52.2438602771776,131835.083812541,51.7754516804321,63671.6606069486,0,54.0893374016687,382.701196521798,0,22.9908363649044,0,47.7869901091159,7.0485351308023,7.78549475022571,1217.80449651486,0,837.855702369273,2140.33629469457,91.1670336677615,0,259.553846700565,0,4226.23447948445,151.684242880304,360.849134652124,0,264.706019248522,17.5649341454854,4.64922586028115,0,5.25648083824013,0,81.2175727610919,41.7340871354846,0,274.295667328865,1786.29412403239,83.3308578057252,87.5030988341005,909.119731471277,0,0,0,17.0868353655143,47.6043020895492,15773.7223731688,844.786146575404,34.9581660950112,11.5147428510795,120.228823787367,27.8886742587696,33.1104670798139,153.116634447603,188.789375361747,304.286913568095,221.418102694061,1013.18031020903,314.962041198995,332.77130231738,125.85200207168,529.256905595166,347.92381813916,37.2328682840365,43.608016109426,27.5512087252286,10.4439689496944,0,26.4115083738055,106.05689583829,0,4776.1785909611,10.3847216103211,81.8680318205427,227.380594527319,0,0,8.94019468039477,0,0,188.633232951023,123.771902676872
"16_C1",124.216827697642,17.1057837905981,75.9372246521474,120308.948938686,0,76767.078110727,0,149.981623847588,916.524364168892,0,0,0,0,8.62407968207539,6.73850344106349,1788.36984111984,0,860.965470674636,1887.11426194438,92.2434169122696,0,578.965515743261,5.94912249547791,8446.34917684772,219.07287186735,75.3360835881317,0,561.742352320129,14.5662629695543,12.8691211177808,0,3.63826250007435,0,0,0,0,613.510646668342,2475.72382020725,140.621786961726,98.9897294737655,938.444721142723,0,0,0,14.1889351203354,128.941477522765,11551.6060861195,956.515971504835,23.8168904572521,30.0389017620257,139.339442626136,25.001051351908,35.1816199435807,46.5166308017344,403.570676418193,447.072861635801,345.939297925343,883.236998658327,415.993667642503,544.959551629446,333.630662000734,652.974652958824,665.792613796544,20.3798345114898,111.316049105262,0,10.6861772716044,0,0,147.257083486306,6.92085618348894,2296.58326389828,10.7178527946098,95.0294903943239,263.25560865327,0,0,29.6712446818733,0,0,128.401302476176,178.70084146476
"16_C2",82.9931839665161,11.6098912045832,47.1294731781525,72109.09815165,0,47039.8770434633,0,45.5543501101946,390.734687378753,0,16.1608495718981,0,0,6.47854481230329,5.49440147311807,1140.55280391116,0,392.080341645217,1920.28597471696,104.758991325059,0,271.106409707117,0,9242.37176468535,164.141795352787,212.682731147468,0,546.524941997521,21.6014857979121,79.2334427520424,3.19313552381939,4.75257676443459,0,27.6286422921821,55.0786494308613,0,326.110883509935,1928.29367271203,79.8895079070892,111.828926904305,981.041133649066,0,63.6042313865292,0,47.4323751672667,65.0705379529256,12922.8181170825,678.069168398762,26.4857603197196,12.7756934527135,106.457789841743,20.7962758697248,0,115.146464870021,208.188580749601,336.285449971985,498.214434591699,622.355278941825,560.550386589675,412.458019321608,179.789956468408,534.844171450514,416.676337329725,45.2164153469073,48.3509413926858,20.4550381553022,6.95228812632255,0,21.3184972259251,18.2089315919849,0,3840.07716172207,19.9095670792736,65.9333496399562,211.931235874603,12.4388604604524,13.1283606590944,39.5601845157883,0,0,130.490228009713,97.0473652234835
"16_C3",136.264940288218,18.160687412083,74.0158548604445,94136.137580139,44.2019049016337,58012.4729434951,0,106.982545966029,1760.45670754612,0,0,0,0,7.752077359288,3.98875653192297,2044.59646731256,0,621.181516548229,2575.13000803787,81.5946516454013,0,1676.05811037769,10.1976252819788,8969.27130745988,153.275830816454,197.463421141208,0,893.852051098542,42.1254456631623,39.6433403542716,0,5.9147262592863,57.4544959724842,43.7625034894098,0,7.53092737822491,814.681694483685,2485.47517472534,303.3401631491,119.017421970916,1434.15386656504,0,0,0,14.7440652036626,125.6565144514,14354.6130921087,999.668838488529,46.9813208887077,26.5463353935788,126.217334006218,26.2833747126042,102.586798827092,164.460550145706,576.83288412856,246.094761100944,367.803414148356,867.700517554371,475.189145231868,624.155060737145,440.571115226692,620.076864032638,870.87991491764,20.2261582108101,106.074576855378,15.0288418024916,7.86146745880889,0,15.6552102771553,66.5441661006866,0,3568.67496787871,9.1845070862872,62.2942555257658,365.805352290234,0,0,20.9645233209648,0,0,202.630329185789,150.748650354315
"17_C1",55.7332908094753,36.4418058191155,148.471796363864,58157.6848626859,42.5946468649745,39437.1259454862,0,332.099119325296,1020.23554085391,0,41.8762754040832,0,148.939380979528,17.1009464888112,23.5578167919929,1295.84923163723,0,79.1647231648996,3178.71210059498,127.82527468363,105.041036564575,13482.3475439711,16.1819051134337,2215.2074102162,243.354909893857,330.980025131586,0,525.365664158859,611.484911612076,732.404307711159,0,5.31800745740544,0,198.718970357568,327.258183506153,0,200.068000974538,1499.12002998751,45.5560307483361,372.422509378482,3031.56411480217,0,100.684754817643,0,31.571224843853,212.448762013632,9988.99437964745,1739.76791020616,251.488713625615,18.1917814941343,189.915545899171,59.6194130125017,447.171937144768,149.04386754483,113.718171162226,442.603549549142,154.713756282184,861.289218855903,700.82905053348,383.498348521426,282.521656084061,327.993052402495,349.518757936874,47.4866012253648,687.446964657158,21.7458620409808,20.5980974878818,28.8284185622206,57.1977088992073,43.6951841987609,0,2677.34143756748,116.45145815183,74.5565779141587,194.339040544489,0,22.2895959071448,24.4786312279321,0,0,168.212327526425,129.26733225302
"17_C2",55.55067174178,26.9521657036308,96.3946402614526,123592.033582366,41.9255588926835,100394.616522438,0,41.3009308261731,281.823483782948,0,34.8917787326203,0,71.3228323117478,12.3272177772255,19.4231623798165,919.004740274569,0,204.095403321201,1701.51047115423,56.3800573872284,0,3426.15631153993,0,11436.3892763126,83.3637498000089,461.910957203072,0,387.994516735416,10.7905043995896,8.62342193169942,0,4.61044485201098,0,72.9709985306259,0,0,163.44458581973,1247.52558652684,48.7302103159597,197.586780195,564.073127577358,0,0,0,28.080420832062,129.780501331561,12506.9368450127,621.442774560803,56.7251839805146,23.3288870947924,138.756651717606,65.9652819141204,41.8025608366451,69.5706487825476,131.098263293051,616.528143783089,105.051293898513,1279.48740851087,326.049311274238,283.595127567218,120.238109766637,212.291794082491,331.364683521755,57.6299156503927,82.1483243234545,16.9330647395233,12.6697721616745,0,31.5978304668398,89.0945709059696,0,4213.47981778273,10.2674228863688,88.1852094757599,223.28299422813,0,0,35.9254487804923,0,0,154.274816254647,211.858681532861
"17_C3",42.3887471222879,12.7163331235421,203.999432690257,141643.272975356,41.8311395601017,105949.219091946,0,128.076324017781,1720.93248536452,0,37.3475907451153,0,65.1493144919547,10.8844458942329,16.0971360996177,4103.78308296624,0,75.3995240341017,1532.13563879864,220.931758593433,89.5683243308576,9811.03437493254,10.5292497868068,3464.48632506086,133.167407302031,228.19741514528,0,381.140049900544,2012.40293984858,593.893258231526,0,4.21742775698144,178.720401168224,170.989541887453,82.0996658497586,0,199.456827417491,889.700309469232,56.4656966858208,192.368606313499,2553.79071843846,0,93.0531285540873,20.1801411540916,48.1121755596347,237.623713034141,8574.56240051602,1357.9123628747,21.561036021783,23.7755617699103,131.077519797177,69.7547324372947,380.466497319378,97.0247758095814,120.635342686093,622.701219357381,84.1389826924413,1099.89595269208,406.009741696732,392.399674238941,266.608406613784,166.716124890543,526.111354232678,20.0381179413384,599.618729692891,19.1255896166648,18.1784403063063,0,172.899037990586,54.8447426574267,0,1483.80916669881,258.607896664253,72.4500640176915,218.188510979616,0,43.9290247666303,13.5701347159745,20.3984215845279,0,102.572694101067,138.674836686588
