"study","study_slug","metadata_file","species_file","metabolome_file","n_metadata","n_species","n_metabolome","has_metadata","has_species","has_metabolome","metadata_source","species_source","metabolome_source","n_shared_available","n_shared_all_modalities","after_hummanet_file","n_after_hummanet","has_after_hummanet"
"FranzosaE_2019","franzosae_2019","studies/franzosae_2019/metadata.csv.gz","studies/franzosae_2019/species.csv.gz","studies/franzosae_2019/metabolome.csv.gz",155,155,155,TRUE,TRUE,TRUE,"data/processed_data/FranzosaE_2019/CuratedMetadata.csv","data/processed_data/FranzosaE_2019/CuratedSpeciesProfile.csv","data/processed_data/FranzosaE_2019/CuratedMetabolome.csv",155,155,"studies/franzosae_2019/after_hummanet.csv.gz",155,TRUE
"FranzosaE_2019_Validation","franzosae_2019__22d0f995","studies/franzosae_2019__22d0f995/metadata.csv.gz","studies/franzosae_2019__22d0f995/species.csv.gz","studies/franzosae_2019__22d0f995/metabolome.csv.gz",65,65,65,TRUE,TRUE,TRUE,"data/processed_data/FranzosaE_2019_Validation/CuratedMetadata.csv","data/processed_data/FranzosaE_2019_Validation/CuratedSpeciesProfile.csv","data/processed_data/FranzosaE_2019_Validation/CuratedMetabolome.csv",65,65,"studies/franzosae_2019__22d0f995/after_hummanet.csv.gz",65,TRUE
"GotoY_2022","gotoy_2022","studies/gotoy_2022/metadata.csv.gz","studies/gotoy_2022/species.csv.gz","studies/gotoy_2022/metabolome.csv.gz",114,114,114,TRUE,TRUE,TRUE,"data/processed_data/GotoY_2022/CuratedMetadata.csv","data/processed_data/GotoY_2022/CuratedSpeciesProfile.csv","data/processed_data/GotoY_2022/CuratedMetabolome.csv",114,114,"studies/gotoy_2022/after_hummanet.csv.gz",114,TRUE
"HE_INFANTS_2019","he_infants_2019","studies/he_infants_2019/metadata.csv.gz","studies/he_infants_2019/species.csv.gz","studies/he_infants_2019/metabolome.csv.gz",273,273,273,TRUE,TRUE,TRUE,"data/processed_data/HE_INFANTS_2019/CuratedMetadata.csv","data/processed_data/HE_INFANTS_2019/CuratedSpeciesProfile.csv","data/processed_data/HE_INFANTS_2019/CuratedMetabolome.csv",273,273,"studies/he_infants_2019/after_hummanet.csv.gz",273,TRUE
"HanL_2021_Fecal","hanl_2021_fecal","studies/hanl_2021_fecal/metadata.csv.gz","studies/hanl_2021_fecal/species.csv.gz","studies/hanl_2021_fecal/metabolome.csv.gz",216,216,216,TRUE,TRUE,TRUE,"data/processed_data/HanL_2021_Fecal/CuratedMetadata.csv","data/processed_data/HanL_2021_Fecal/CuratedSpeciesProfile.csv","data/processed_data/HanL_2021_Fecal/CuratedMetabolome.csv",216,216,"studies/hanl_2021_fecal/after_hummanet.csv.gz",216,TRUE
"HanL_2021_Serum","hanl_2021_serum","studies/hanl_2021_serum/metadata.csv.gz","studies/hanl_2021_serum/species.csv.gz","studies/hanl_2021_serum/metabolome.csv.gz",213,213,213,TRUE,TRUE,TRUE,"data/processed_data/HanL_2021_Serum/CuratedMetadata.csv","data/processed_data/HanL_2021_Serum/CuratedSpeciesProfile.csv","data/processed_data/HanL_2021_Serum/CuratedMetabolome.csv",213,213,"studies/hanl_2021_serum/after_hummanet.csv.gz",213,TRUE
"HashmiM_2025_Serum","hashmim_2025_serum","studies/hashmim_2025_serum/metadata.csv.gz","studies/hashmim_2025_serum/species.csv.gz","studies/hashmim_2025_serum/metabolome.csv.gz",39,39,39,TRUE,TRUE,TRUE,"data/processed_data/HashmiM_2025_Serum/CuratedMetadata.csv","data/processed_data/HashmiM_2025_Serum/CuratedSpeciesProfile.csv","data/processed_data/HashmiM_2025_Serum/CuratedMetabolome.csv",39,39,"studies/hashmim_2025_serum/after_hummanet.csv.gz",39,TRUE
"HeJ_2020_Fecal","hej_2020_fecal","studies/hej_2020_fecal/metadata.csv.gz","studies/hej_2020_fecal/species.csv.gz","studies/hej_2020_fecal/metabolome.csv.gz",31,31,31,TRUE,TRUE,TRUE,"data/processed_data/HeJ_2020_Fecal/CuratedMetadata.csv","data/processed_data/HeJ_2020_Fecal/CuratedSpeciesProfile.csv","data/processed_data/HeJ_2020_Fecal/CuratedMetabolome.csv",31,31,"studies/hej_2020_fecal/after_hummanet.csv.gz",31,TRUE
"HeJ_2020_Serum","hej_2020_serum","studies/hej_2020_serum/metadata.csv.gz","studies/hej_2020_serum/species.csv.gz","studies/hej_2020_serum/metabolome.csv.gz",31,31,31,TRUE,TRUE,TRUE,"data/processed_data/HeJ_2020_Serum/CuratedMetadata.csv","data/processed_data/HeJ_2020_Serum/CuratedSpeciesProfile.csv","data/processed_data/HeJ_2020_Serum/CuratedMetabolome.csv",31,31,"studies/hej_2020_serum/after_hummanet.csv.gz",31,TRUE
"HuangW_2025","huangw_2025","studies/huangw_2025/metadata.csv.gz","studies/huangw_2025/species.csv.gz","studies/huangw_2025/metabolome.csv.gz",60,60,60,TRUE,TRUE,TRUE,"data/processed_data/HuangW_2025/CuratedMetadata.csv","data/processed_data/HuangW_2025/CuratedSpeciesProfile.csv","data/processed_data/HuangW_2025/CuratedMetabolome.csv",60,60,"studies/huangw_2025/after_hummanet.csv.gz",60,TRUE
"JiangC_2022","jiangc_2022","studies/jiangc_2022/metadata.csv.gz","studies/jiangc_2022/species.csv.gz","studies/jiangc_2022/metabolome.csv.gz",47,47,47,TRUE,TRUE,TRUE,"data/processed_data/JiangC_2022/CuratedMetadata.csv","data/processed_data/JiangC_2022/CuratedSpeciesProfile.csv","data/processed_data/JiangC_2022/CuratedMetabolome.csv",47,47,"studies/jiangc_2022/after_hummanet.csv.gz",47,TRUE
"KangDW_2020_Fecal","kangdw_2020_fecal","studies/kangdw_2020_fecal/metadata.csv.gz","studies/kangdw_2020_fecal/species.csv.gz","studies/kangdw_2020_fecal/metabolome.csv.gz",56,56,56,TRUE,TRUE,TRUE,"data/processed_data/KangDW_2020_Fecal/CuratedMetadata.csv","data/processed_data/KangDW_2020_Fecal/CuratedSpeciesProfile.csv","data/processed_data/KangDW_2020_Fecal/CuratedMetabolome.csv",56,56,"studies/kangdw_2020_fecal/after_hummanet.csv.gz",56,TRUE
"KangDW_2020_Serum","kangdw_2020_serum","studies/kangdw_2020_serum/metadata.csv.gz","studies/kangdw_2020_serum/species.csv.gz","studies/kangdw_2020_serum/metabolome.csv.gz",56,56,56,TRUE,TRUE,TRUE,"data/processed_data/KangDW_2020_Serum/CuratedMetadata.csv","data/processed_data/KangDW_2020_Serum/CuratedSpeciesProfile.csv","data/processed_data/KangDW_2020_Serum/CuratedMetabolome.csv",56,56,"studies/kangdw_2020_serum/after_hummanet.csv.gz",56,TRUE
"KuiD_2023_Fecal","kuid_2023_fecal","studies/kuid_2023_fecal/metadata.csv.gz","studies/kuid_2023_fecal/species.csv.gz","studies/kuid_2023_fecal/metabolome.csv.gz",1092,1092,1092,TRUE,TRUE,TRUE,"data/processed_data/KuiD_2023_Fecal/CuratedMetadata.csv","data/processed_data/KuiD_2023_Fecal/CuratedSpeciesProfile.csv","data/processed_data/KuiD_2023_Fecal/CuratedMetabolome.csv",1092,1092,"studies/kuid_2023_fecal/after_hummanet.csv.gz",1092,TRUE
"KuiD_2023_Serum","kuid_2023_serum","studies/kuid_2023_serum/metadata.csv.gz","studies/kuid_2023_serum/species.csv.gz","studies/kuid_2023_serum/metabolome.csv.gz",1014,1014,1014,TRUE,TRUE,TRUE,"data/processed_data/KuiD_2023_Serum/CuratedMetadata.csv","data/processed_data/KuiD_2023_Serum/CuratedSpeciesProfile.csv","data/processed_data/KuiD_2023_Serum/CuratedMetabolome.csv",1014,1014,"studies/kuid_2023_serum/after_hummanet.csv.gz",1014,TRUE
"LloydPrice_2019","lloydprice_2019","studies/lloydprice_2019/metadata.csv.gz","studies/lloydprice_2019/species.csv.gz","studies/lloydprice_2019/metabolome.csv.gz",384,384,384,TRUE,TRUE,TRUE,"data/processed_data/LloydPrice_2019/CuratedMetadata.csv","data/processed_data/LloydPrice_2019/CuratedSpeciesProfile.csv","data/processed_data/LloydPrice_2019/CuratedMetabolome.csv",384,384,"studies/lloydprice_2019/after_hummanet.csv.gz",384,TRUE
"LouZ_2023","louz_2023","studies/louz_2023/metadata.csv.gz","studies/louz_2023/species.csv.gz","studies/louz_2023/metabolome.csv.gz",30,30,30,TRUE,TRUE,TRUE,"data/processed_data/LouZ_2023/CuratedMetadata.csv","data/processed_data/LouZ_2023/CuratedSpeciesProfile.csv","data/processed_data/LouZ_2023/CuratedMetabolome.csv",30,30,"studies/louz_2023/after_hummanet.csv.gz",30,TRUE
"MetaCardis_2020","metacardis_2020","studies/metacardis_2020/metadata.csv.gz","studies/metacardis_2020/species.csv.gz","studies/metacardis_2020/metabolome.csv.gz",954,954,954,TRUE,TRUE,TRUE,"data/processed_data/MetaCardis_2020/CuratedMetadata.csv","data/processed_data/MetaCardis_2020/CuratedSpeciesProfile.csv","data/processed_data/MetaCardis_2020/CuratedMetabolome.csv",954,954,"studies/metacardis_2020/after_hummanet.csv.gz",954,TRUE
"Metwaly_2020","metwaly_2020","studies/metwaly_2020/metadata.csv.gz","studies/metwaly_2020/species.csv.gz","studies/metwaly_2020/metabolome.csv.gz",46,46,46,TRUE,TRUE,TRUE,"data/processed_data/Metwaly_2020/CuratedMetadata.csv","data/processed_data/Metwaly_2020/CuratedSpeciesProfile.csv","data/processed_data/Metwaly_2020/CuratedMetabolome.csv",46,46,"studies/metwaly_2020/after_hummanet.csv.gz",46,TRUE
"NishimotoY_2021","nishimotoy_2021","studies/nishimotoy_2021/metadata.csv.gz","studies/nishimotoy_2021/species.csv.gz","studies/nishimotoy_2021/metabolome.csv.gz",120,120,120,TRUE,TRUE,TRUE,"data/processed_data/NishimotoY_2021/CuratedMetadata.csv","data/processed_data/NishimotoY_2021/CuratedSpeciesProfile.csv","data/processed_data/NishimotoY_2021/CuratedMetabolome.csv",120,120,"studies/nishimotoy_2021/after_hummanet.csv.gz",120,TRUE
"OdenwaldA_2023","odenwalda_2023","studies/odenwalda_2023/metadata.csv.gz","studies/odenwalda_2023/species.csv.gz","studies/odenwalda_2023/metabolome.csv.gz",877,877,877,TRUE,TRUE,TRUE,"data/processed_data/OdenwaldA_2023/CuratedMetadata.csv","data/processed_data/OdenwaldA_2023/CuratedSpeciesProfile.csv","data/processed_data/OdenwaldA_2023/CuratedMetabolome.csv",877,877,"studies/odenwalda_2023/after_hummanet.csv.gz",877,TRUE
"POYET_BIO_ML_2019","poyet_bio_ml_2019","studies/poyet_bio_ml_2019/metadata.csv.gz","studies/poyet_bio_ml_2019/species.csv.gz","studies/poyet_bio_ml_2019/metabolome.csv.gz",144,144,144,TRUE,TRUE,TRUE,"data/processed_data/POYET_BIO_ML_2019/CuratedMetadata.csv","data/processed_data/POYET_BIO_ML_2019/CuratedSpeciesProfile.csv","data/processed_data/POYET_BIO_ML_2019/CuratedMetabolome.csv",144,144,"studies/poyet_bio_ml_2019/after_hummanet.csv.gz",144,TRUE
"QuinnR_2016","quinnr_2016","studies/quinnr_2016/metadata.csv.gz","studies/quinnr_2016/species.csv.gz","studies/quinnr_2016/metabolome.csv.gz",7,7,7,TRUE,TRUE,TRUE,"data/processed_data/QuinnR_2016/CuratedMetadata.csv","data/processed_data/QuinnR_2016/CuratedSpeciesProfile.csv","data/processed_data/QuinnR_2016/CuratedMetabolome.csv",7,7,"studies/quinnr_2016/after_hummanet.csv.gz",7,TRUE
"RashidiA_2022","rashidia_2022","studies/rashidia_2022/metadata.csv.gz","studies/rashidia_2022/species.csv.gz","studies/rashidia_2022/metabolome.csv.gz",137,137,137,TRUE,TRUE,TRUE,"data/processed_data/RashidiA_2022/CuratedMetadata.csv","data/processed_data/RashidiA_2022/CuratedSpeciesProfile.csv","data/processed_data/RashidiA_2022/CuratedMetabolome.csv",137,137,"studies/rashidia_2022/after_hummanet.csv.gz",137,TRUE
"SatoY_2021","satoy_2021","studies/satoy_2021/metadata.csv.gz","studies/satoy_2021/species.csv.gz","studies/satoy_2021/metabolome.csv.gz",259,259,259,TRUE,TRUE,TRUE,"data/processed_data/SatoY_2021/CuratedMetadata.csv","data/processed_data/SatoY_2021/CuratedSpeciesProfile.csv","data/processed_data/SatoY_2021/CuratedMetabolome.csv",259,259,"studies/satoy_2021/after_hummanet.csv.gz",259,TRUE
"SchirmerM_2024_Fecal","schirmerm_2024_fecal","studies/schirmerm_2024_fecal/metadata.csv.gz","studies/schirmerm_2024_fecal/species.csv.gz","studies/schirmerm_2024_fecal/metabolome.csv.gz",91,91,91,TRUE,TRUE,TRUE,"data/processed_data/SchirmerM_2024_Fecal/CuratedMetadata.csv","data/processed_data/SchirmerM_2024_Fecal/CuratedSpeciesProfile.csv","data/processed_data/SchirmerM_2024_Fecal/CuratedMetabolome.csv",91,91,"studies/schirmerm_2024_fecal/after_hummanet.csv.gz",91,TRUE
"SchirmerM_2024_Serum","schirmerm_2024_serum","studies/schirmerm_2024_serum/metadata.csv.gz","studies/schirmerm_2024_serum/species.csv.gz","studies/schirmerm_2024_serum/metabolome.csv.gz",85,85,85,TRUE,TRUE,TRUE,"data/processed_data/SchirmerM_2024_Serum/CuratedMetadata.csv","data/processed_data/SchirmerM_2024_Serum/CuratedSpeciesProfile.csv","data/processed_data/SchirmerM_2024_Serum/CuratedMetabolome.csv",85,85,"studies/schirmerm_2024_serum/after_hummanet.csv.gz",85,TRUE
"ShalonD_2023","shalond_2023","studies/shalond_2023/metadata.csv.gz","studies/shalond_2023/species.csv.gz","studies/shalond_2023/metabolome.csv.gz",56,56,56,TRUE,TRUE,TRUE,"data/processed_data/ShalonD_2023/CuratedMetadata.csv","data/processed_data/ShalonD_2023/CuratedSpeciesProfile.csv","data/processed_data/ShalonD_2023/CuratedMetabolome.csv",56,56,"studies/shalond_2023/after_hummanet.csv.gz",56,TRUE
"ShalonD_2023_UT","shalond_2023_ut","studies/shalond_2023_ut/metadata.csv.gz","studies/shalond_2023_ut/species.csv.gz","studies/shalond_2023_ut/metabolome.csv.gz",56,56,56,TRUE,TRUE,TRUE,"data/processed_data/ShalonD_2023_UT/CuratedMetadata.csv","data/processed_data/ShalonD_2023_UT/CuratedSpeciesProfile.csv","data/processed_data/ShalonD_2023_UT/CuratedMetabolome.csv",56,56,"studies/shalond_2023_ut/after_hummanet.csv.gz",56,TRUE
"ShoerS_2023","shoers_2023","studies/shoers_2023/metadata.csv.gz","studies/shoers_2023/species.csv.gz","studies/shoers_2023/metabolome.csv.gz",296,296,296,TRUE,TRUE,TRUE,"data/processed_data/ShoerS_2023/CuratedMetadata.csv","data/processed_data/ShoerS_2023/CuratedSpeciesProfile.csv","data/processed_data/ShoerS_2023/CuratedMetabolome.csv",296,296,"studies/shoers_2023/after_hummanet.csv.gz",296,TRUE
"TanesC_2021_Fecal","tanesc_2021_fecal","studies/tanesc_2021_fecal/metadata.csv.gz","studies/tanesc_2021_fecal/species.csv.gz","studies/tanesc_2021_fecal/metabolome.csv.gz",128,128,128,TRUE,TRUE,TRUE,"data/processed_data/TanesC_2021_Fecal/CuratedMetadata.csv","data/processed_data/TanesC_2021_Fecal/CuratedSpeciesProfile.csv","data/processed_data/TanesC_2021_Fecal/CuratedMetabolome.csv",128,128,"studies/tanesc_2021_fecal/after_hummanet.csv.gz",128,TRUE
"TanesC_2021_Serum","tanesc_2021_serum","studies/tanesc_2021_serum/metadata.csv.gz","studies/tanesc_2021_serum/species.csv.gz","studies/tanesc_2021_serum/metabolome.csv.gz",128,128,128,TRUE,TRUE,TRUE,"data/processed_data/TanesC_2021_Serum/CuratedMetadata.csv","data/processed_data/TanesC_2021_Serum/CuratedSpeciesProfile.csv","data/processed_data/TanesC_2021_Serum/CuratedMetabolome.csv",128,128,"studies/tanesc_2021_serum/after_hummanet.csv.gz",128,TRUE
"TherdtathaM_2025","therdtatham_2025","studies/therdtatham_2025/metadata.csv.gz","studies/therdtatham_2025/species.csv.gz","studies/therdtatham_2025/metabolome.csv.gz",55,55,55,TRUE,TRUE,TRUE,"data/processed_data/TherdtathaM_2025/CuratedMetadata.csv","data/processed_data/TherdtathaM_2025/CuratedSpeciesProfile.csv","data/processed_data/TherdtathaM_2025/CuratedMetabolome.csv",55,55,"studies/therdtatham_2025/after_hummanet.csv.gz",55,TRUE
"WANDRO_PRETERMS_2018","wandro_preterms_2018","studies/wandro_preterms_2018/metadata.csv.gz","studies/wandro_preterms_2018/species.csv.gz","studies/wandro_preterms_2018/metabolome.csv.gz",75,75,75,TRUE,TRUE,TRUE,"data/processed_data/WANDRO_PRETERMS_2018/CuratedMetadata.csv","data/processed_data/WANDRO_PRETERMS_2018/CuratedSpeciesProfile.csv","data/processed_data/WANDRO_PRETERMS_2018/CuratedMetabolome.csv",75,75,"studies/wandro_preterms_2018/after_hummanet.csv.gz",75,TRUE
"WANG_ESRD_2020_Fecal","wang_esrd_2020_fecal","studies/wang_esrd_2020_fecal/metadata.csv.gz","studies/wang_esrd_2020_fecal/species.csv.gz","studies/wang_esrd_2020_fecal/metabolome.csv.gz",287,287,287,TRUE,TRUE,TRUE,"data/processed_data/WANG_ESRD_2020_Fecal/CuratedMetadata.csv","data/processed_data/WANG_ESRD_2020_Fecal/CuratedSpeciesProfile.csv","data/processed_data/WANG_ESRD_2020_Fecal/CuratedMetabolome.csv",287,287,"studies/wang_esrd_2020_fecal/after_hummanet.csv.gz",287,TRUE
"WANG_ESRD_2020_Serum","wang_esrd_2020_serum","studies/wang_esrd_2020_serum/metadata.csv.gz","studies/wang_esrd_2020_serum/species.csv.gz","studies/wang_esrd_2020_serum/metabolome.csv.gz",284,284,284,TRUE,TRUE,TRUE,"data/processed_data/WANG_ESRD_2020_Serum/CuratedMetadata.csv","data/processed_data/WANG_ESRD_2020_Serum/CuratedSpeciesProfile.csv","data/processed_data/WANG_ESRD_2020_Serum/CuratedMetabolome.csv",284,284,"studies/wang_esrd_2020_serum/after_hummanet.csv.gz",284,TRUE
"WangC_2023","wangc_2023","studies/wangc_2023/metadata.csv.gz","studies/wangc_2023/species.csv.gz","studies/wangc_2023/metabolome.csv.gz",64,64,64,TRUE,TRUE,TRUE,"data/processed_data/WangC_2023/CuratedMetadata.csv","data/processed_data/WangC_2023/CuratedSpeciesProfile.csv","data/processed_data/WangC_2023/CuratedMetabolome.csv",64,64,"studies/wangc_2023/after_hummanet.csv.gz",64,TRUE
"WuL_2025","wul_2025","studies/wul_2025/metadata.csv.gz","studies/wul_2025/species.csv.gz","studies/wul_2025/metabolome.csv.gz",30,30,30,TRUE,TRUE,TRUE,"data/processed_data/WuL_2025/CuratedMetadata.csv","data/processed_data/WuL_2025/CuratedSpeciesProfile.csv","data/processed_data/WuL_2025/CuratedMetabolome.csv",30,30,"studies/wul_2025/after_hummanet.csv.gz",30,TRUE
"WuY_2025","wuy_2025","studies/wuy_2025/metadata.csv.gz","studies/wuy_2025/species.csv.gz","studies/wuy_2025/metabolome.csv.gz",105,105,105,TRUE,TRUE,TRUE,"data/processed_data/WuY_2025/CuratedMetadata.csv","data/processed_data/WuY_2025/CuratedSpeciesProfile.csv","data/processed_data/WuY_2025/CuratedMetabolome.csv",105,105,"studies/wuy_2025/after_hummanet.csv.gz",105,TRUE
"XiongR_2023","xiongr_2023","studies/xiongr_2023/metadata.csv.gz","studies/xiongr_2023/species.csv.gz","studies/xiongr_2023/metabolome.csv.gz",180,180,180,TRUE,TRUE,TRUE,"data/processed_data/XiongR_2023/CuratedMetadata.csv","data/processed_data/XiongR_2023/CuratedSpeciesProfile.csv","data/processed_data/XiongR_2023/CuratedMetabolome.csv",180,180,"studies/xiongr_2023/after_hummanet.csv.gz",180,TRUE
"XuQ_Fecal_2022","xuq_fecal_2022","studies/xuq_fecal_2022/metadata.csv.gz","studies/xuq_fecal_2022/species.csv.gz","studies/xuq_fecal_2022/metabolome.csv.gz",305,305,305,TRUE,TRUE,TRUE,"data/processed_data/XuQ_Fecal_2022/CuratedMetadata.csv","data/processed_data/XuQ_Fecal_2022/CuratedSpeciesProfile.csv","data/processed_data/XuQ_Fecal_2022/CuratedMetabolome.csv",305,305,"studies/xuq_fecal_2022/after_hummanet.csv.gz",305,TRUE
"XuQ_Serum_2022","xuq_serum_2022","studies/xuq_serum_2022/metadata.csv.gz","studies/xuq_serum_2022/species.csv.gz","studies/xuq_serum_2022/metabolome.csv.gz",305,305,305,TRUE,TRUE,TRUE,"data/processed_data/XuQ_Serum_2022/CuratedMetadata.csv","data/processed_data/XuQ_Serum_2022/CuratedSpeciesProfile.csv","data/processed_data/XuQ_Serum_2022/CuratedMetabolome.csv",305,305,"studies/xuq_serum_2022/after_hummanet.csv.gz",305,TRUE
"XueH_2024","xueh_2024","studies/xueh_2024/metadata.csv.gz","studies/xueh_2024/species.csv.gz","studies/xueh_2024/metabolome.csv.gz",56,56,56,TRUE,TRUE,TRUE,"data/processed_data/XueH_2024/CuratedMetadata.csv","data/processed_data/XueH_2024/CuratedSpeciesProfile.csv","data/processed_data/XueH_2024/CuratedMetabolome.csv",56,56,"studies/xueh_2024/after_hummanet.csv.gz",56,TRUE
"YACHIDA_CRC_2019","yachida_crc_2019","studies/yachida_crc_2019/metadata.csv.gz","studies/yachida_crc_2019/species.csv.gz","studies/yachida_crc_2019/metabolome.csv.gz",347,347,347,TRUE,TRUE,TRUE,"data/processed_data/YACHIDA_CRC_2019/CuratedMetadata.csv","data/processed_data/YACHIDA_CRC_2019/CuratedSpeciesProfile.csv","data/processed_data/YACHIDA_CRC_2019/CuratedMetabolome.csv",347,347,"studies/yachida_crc_2019/after_hummanet.csv.gz",347,TRUE
