"","Chenodeoxycholic acid","Cholic acid","Deoxycholic acid","Glycochenodeoxycholic acid","Glycocholic acid","Glycodeoxycholic acid","Glycohyodeoxycholic acid","Glycolithocholic acid","Glycoursodeoxycholic acid","Lithocholic acid","Taurochenodeoxycholic acid","Taurocholic acid","Taurodeoxycholic acid","Taurolithocholic acid","Tauroursodeoxycholic acid","Tauro-╬▒-Muricholic acid","Ursodeoxycholic acid"
"2162T",151.0962,205.9296,90999.7154,252.6479,69.1051,177.2451,1.9583,15.7019,32.5958,29852.0014,12.5683,4.4778,8.8856,0.2136,0.1955,0.606,0.2534
"2164T",715.8557,980.1793,31455.039,453.5785,716.8763,211.3877,0.0905,0.1621,0.181,6404.5557,75.9439,305.2998,47.4943,0.2353,52.5363,0.257,908.3801
"2165T",588.6807,338.1879,62960.9073,530.6472,1013.4303,297.0779,1.1273,8.7265,5.9861,19548.359,116.8816,643.0826,68.3934,2.2564,0.2251,1.8499,2697.1212
"2166T",728.442,405.5831,38309.9799,388.5999,672.6443,227.0252,1.3951,6.1856,0.928,9752.7002,75.3588,381.2613,38.9771,0.3222,0.0724,58.0038,992.5345
"2167T",569.5987,697.1478,64895.7691,506.4228,937.6126,281.8742,1.4902,13.2628,11.2748,34705.8755,109.1714,571.1478,85.8708,30.8504,0.2867,37.2963,2179.2335
"2168T",1597.8042,902.3633,112917.8768,859.8089,1764.9298,470.1301,0.2389,2.3874,25.7382,25660.6712,170.1322,922.8432,92.2985,39.4334,34.9705,0.0217,641.1905
"2169T",1029.7546,1169.5386,84786.475,1614.7372,933.0494,825.0568,35.2728,15.245,12.4173,19168.702,278.8634,337.388,214.7335,47.9372,22.8957,0.0253,140.0989
"2170T",7906.6814,10325.5177,217599.6433,3910.0107,2207.306,2000.2627,0.3367,65.5688,67.6374,72084.9908,478.3527,645.7731,350.278,143.0767,0.229,1.4277,4331.7056
"2171T",17002.9298,62011.1421,176849.8905,3248.2445,1824.3092,1677.5679,2.0211,123.9155,28.0637,75780.4281,2143.3843,3371.0581,1339.5093,358.5348,22.762,0.1086,2921.3538
"2172T",1444.2189,2534.7262,79075.98,81658.2535,72383.3409,26902.5411,0.1738,39.3697,1101.0675,19156.113,10917.4296,26747.0104,6364.6492,110.0775,267.5361,28.6901,1067.1385
"2173T",561.854,188.9011,47904.755,1518.0976,716.3056,652.1699,1.774,17.6758,0.6007,12078.0714,93.0202,79.7502,44.9469,10.4934,0.0833,33.8522,1398.6282
"2174T",361.7032,291.6767,76415.9837,865.4935,456.0547,383.533,0.3718,21.8937,7.6564,20236.9323,131.0861,111.1314,28.2792,0.0652,0.1416,15.9884,1460.7131
"2175T",5005.5856,8592.8319,151393.8214,1958.0373,856.9913,792.5687,52.2898,53.6592,42.2659,48771.4096,482.8893,622.4997,242.08,116.8538,4.4685,0.3548,946.2899
"2176T",951.8375,780.3911,144381.7788,2699.055,1336.2144,694.6801,21.7971,44.3641,16.4507,51563.8976,327.4058,413.8194,165.0433,58.5972,0.105,1.404,745.8545
"2177T",110650.7574,708885.764,13700.7444,6518.4678,1446.2753,20.6076,1.8207,0.2576,968.0897,0.2787,1713.3984,11663.3614,231.853,9.9559,3515.5336,1071.6366,240985.58
"2178T",47982.6958,204987.4692,541.7862,936.3257,375.4882,16.555,36.1027,0.3258,355.4463,26974.522,627.4423,3110.2972,1.1103,30.1086,714.524,213.4638,120062.4932
"2179T",3591.5626,57374.8671,252.9254,4245.0739,492.0332,0.0941,33.1216,0.1101,1285.7462,0.2353,1315.4004,2305.0061,17.9961,0.9339,313.5358,34.729,20859.1794
"2180T",8056.3932,65885.4777,337.7295,1692.1261,312.0547,12.2445,49.2482,0.2838,993.9454,0.3294,303.8143,1743.7812,29.2203,0.0615,467.5217,87.3641,38869.4345
"2181T",19954.7142,154207.5399,502.0321,3311.0289,744.7926,0.1014,1.2084,0.4343,943.223,3112.7708,613.6972,833.5359,28.5429,38.7896,190.293,29.0941,68044.8527
"2195T",2169.4745,494.0115,116084.8692,781.3179,320.1451,488.9807,18.0017,46.0484,85.4352,20593.6217,146.5237,396.3864,1088.4034,561.2386,15.4986,36.071,1166.6207
"2196T",659.0091,948.5825,149695.2934,296.9441,166.3882,810.8602,0.0906,64.2545,10.9775,16203.5653,52.5242,38.8148,1725.9305,320.8227,34.7847,238.1324,0.1919
"2197T",335.3258,258.9962,148651.7154,339.4138,93.3386,309.893,0.7451,17.4892,21.5412,21813.5885,26.8057,35.3898,996.8542,239.5712,0.5773,31.9251,160.4902
"2198T",10724.2197,35716.7272,144752.2457,2421.8891,912.7722,1821.5306,1.24,96.6911,197.8555,18746.3385,706.4911,855.4144,2124.6575,357.0096,124.315,42.7183,10578.4162
"2199T",20034.7956,36693.2287,131949.811,4358.7775,1270.9841,1668.5775,53.2302,31.4647,573.0716,8876.4787,1214.757,977.4562,2300.0098,184.213,200.2369,481.959,7692.2923
"2200T",6099.9308,384.5277,160299.4363,385.763,218.9608,379.6274,2.1991,16.3754,5.4175,22143.3253,52.8558,33.8636,2140.8131,423.327,0.0833,2.476,51.8305
"2201T",577.5193,238.8056,31936.6041,585.0287,205.8424,293.7096,0.8383,8.7672,27.3165,13862.5899,43.6423,28.4931,153.1228,46.9377,22.9851,0.21,427.8173
"2475T",1722.7493,2949.8293,31987.009,2000.651,927.8091,608.4963,0.5149,24.7272,197.7812,10333.5119,761.8119,1610.379,598.2947,214.3642,183.8516,30.5288,2235.9959
"2476T",359.5864,333.6569,102056.9016,836.0383,287.6129,521.4255,0.2136,10.0295,49.4279,20989.3154,79.1059,36.6047,57.5547,37.3758,0.2606,1.2338,3063.6527
"2477T",230.568,438.5961,70597.9916,1421.9386,285.406,946.0278,0.1013,32.5526,68.5398,61694.1092,201.4627,58.3845,156.6383,17.6725,0.0109,0.6897,3165.0205
