Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Label,env_biome,env_feature,env_material,env_broad_scale,env_local_scale,env_medium,Sample_Label
SRR15083526,AMPLICON,502,51603090,PRJNA296814,SAMN20118780,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",28091855,MARINE BIOLOGICAL LABORATORY,2017,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX11393395,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800142671828_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T10:59:00Z,1,nhbcs_820800142671828,SRP064159,nhbcs_820800142671828,human,gastrointestinal tract,stool,,,,
SRR15083527,AMPLICON,502,53698940,PRJNA296814,SAMN20118775,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",26526192,MARINE BIOLOGICAL LABORATORY,2014,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX11393390,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800141004192_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T10:59:00Z,1,nhbcs_820800141004192,SRP064159,nhbcs_820800141004192,human,gastrointestinal tract,stool,,,,
SRR15083528,AMPLICON,502,78874240,PRJNA296814,SAMN20118774,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",43345274,MARINE BIOLOGICAL LABORATORY,2014,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX11393389,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800140356877_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800140356877,SRP064159,nhbcs_820800140356877,human,gastrointestinal tract,stool,,,,
SRR15083529,AMPLICON,502,60883564,PRJNA296814,SAMN20118773,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",31946158,MARINE BIOLOGICAL LABORATORY,2014,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX11393387,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800140339956_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800140339956,SRP064159,nhbcs_820800140339956,human,gastrointestinal tract,stool,,,,
SRR15083530,AMPLICON,502,108576576,PRJNA296814,SAMN20118771,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",59061482,MARINE BIOLOGICAL LABORATORY,2016,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX11393385,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800140334952_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800140334952,SRP064159,nhbcs_820800140334952,human,gastrointestinal tract,stool,,,,
SRR15083531,AMPLICON,502,58829380,PRJNA296814,SAMN20118770,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",34170620,MARINE BIOLOGICAL LABORATORY,2014,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX11393384,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800140333059_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800140333059,SRP064159,nhbcs_820800140333059,human,gastrointestinal tract,stool,,,,
SRR15083532,AMPLICON,502,125182736,PRJNA296814,SAMN20118772,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",56906205,MARINE BIOLOGICAL LABORATORY,2018,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX11393386,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800140337152_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800140337152,SRP064159,nhbcs_820800140337152,human,gastrointestinal tract,stool,,,,
SRR15083533,AMPLICON,502,71064124,PRJNA296814,SAMN20118188,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",38653796,MARINE BIOLOGICAL LABORATORY,2016,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX11393388,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_0618700112924808_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_0618700112924808,SRP064159,nhbcs_0618700112924808,human,gastrointestinal tract,stool,,,,
SRR15083534,AMPLICON,502,59321340,PRJNA296814,SAMN20118769,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",31747613,MARINE BIOLOGICAL LABORATORY,2017,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX11393383,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800140160814_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800140160814,SRP064159,nhbcs_820800140160814,human,gastrointestinal tract,stool,,,,
SRR15083535,AMPLICON,502,95666140,PRJNA296814,SAMN20118768,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",51284978,MARINE BIOLOGICAL LABORATORY,2018,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX11393382,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800139860426_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800139860426,SRP064159,nhbcs_820800139860426,human,gastrointestinal tract,stool,,,,
