database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	QC1	QC2	QC3	QC4	QC5	QC6	QC7	QC8	A02	A03	A04	A-05	A-06	A-07	A08	A-09	A-10	A-12	A-13	A-14	A-15	A-16	A-17	A18	A-19	A-20	A21	A22	A-23	A24	A-25	A-26	A27	A-28	A30	A-05-7	A-06-7	A-07-7	A-09-7	A-10-7	A-12-7	A-13-7	A-14-7	A-15-7	A-16-7	A-17-7	A-19-7	A-20-7	A-23-7	A-24-7	A-25-7	A-26-7	A-28-7	A-29-7	A30-7
CHEBI:180193	C24H48NO9P	P(OCC(O)COC(=O)CCCCCCCCCCCCCCCCC)(OCC(N)C(O)=O)(O)=O	InChI=1S/C24H48NO9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(27)32-18-21(26)19-33-35(30,31)34-20-22(25)24(28)29/h21-22,26H,2-20,25H2,1H3,(H,28,29)(H,30,31)	1-Stearoylglycerophosphoserine	524.2990676		M-H		12.94168333												42539.86706	46778.8857	43849.24157	44076.69404	44113.3797	41083.19918	47983.85016	51794.93248	7048.766218	638864.9597	25129.00889	109342.0428	86882.77701	591.8995092	4.39612E-08	45135.53919	780.5244909	4.39612E-08	577244.9509	516607.743	86556.17488	4.39612E-08	8373.910614	229.5168258	568342.8669	4.39612E-08	90166.21027	4.39612E-08	137681.2827	272.6619347	4.39612E-08	44130.41428	4.39612E-08	178031.2966	11553.57577	4.39612E-08	2517.807817	40246.25373	4392.916285	4.39612E-08	420.643194	4.39612E-08	4.39612E-08	4.39612E-08	8696.550694	2852.724408	9740.117233	18292.70285	1340.825105	2667.218851	3966.840472	4810.409434	6771.581779	4.39612E-08	4.39612E-08
CHEBI:76131	C22H18O10	Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H](Oc2c1)c1ccc(O)c(O)c1	InChI=1S/C22H18O10/c23-11-6-14(25)12-8-19(32-22(30)10-4-16(27)20(29)17(28)5-10)21(31-18(12)7-11)9-1-2-13(24)15(26)3-9/h1-7,19,21,23-29H,8H2/t19-,21+/m1/s1	(-)-Catechin 3-O-gallate	441.0835116		M-H, 2M-H		5.374633333												33611.83396	33345.67035	37051.44197	36570.72002	35397.2339	34516.32511	33101.24556	34768.24763	35517.34071	135.2927008	11922.64699	1571.526011	4154.273185	10122.95577	1670.336385	45158.4961	4961.158208	173.9699324	16.27954351	7.077435322	5915.856749	806.2440885	57.3728876	4768.82975	1208.822947	462.7976577	5700.827408	4761.617935	4139.71903	22.07870462	593.1631949	1921905.799	6034.010418	759.0721515	1494.564616	1909.16202	12621.65731	9964.387774	1046.894831	34712.61397	4155.355638	34.60172587	31464.85636	101597.3431	7623.448734	15585.45326	30803.20822	9255.560185	11723.28009	24067.72159	777.593045	851.6298744	4.39612E-08	883.6038309	4.39612E-08
CHEBI:520	C25H24O12	O[C@@H]1C[C@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O	InChI=1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(31)36-20-12-25(24(34)35,11-19(30)23(20)33)37-22(32)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-30,33H,11-12H2,(H,34,35)/b7-3+,8-4+/t19-,20-,23+,25-/m1/s1	1,3-Dicaffeoylquinic acid	515.1194253		M-H		5.57365												15389.19418	16910.10111	15907.83911	24890.34777	15652.22745	16260.32305	16417.8502	15619.2673	3890.998334	1401.42935	806.4278458	15750.76085	2678.62154	4.39612E-08	3040.911715	3385.679329	6102.701162	4.39612E-08	1093.624632	3017.577432	4717.330732	937.905701	4.39612E-08	285.4643989	7664.539097	183.3739857	974.6723007	4399.116656	333.2980455	180.0155727	1553.210682	3144.268442	2318.078216	4.39612E-08	349.1396306	4.39612E-08	27600.02896	43304.0962	1190.668639	188.8099881	2102.879212	4.39612E-08	0.601171863	1687.557876	4.39612E-08	12894.41651	1307814.767	4.39612E-08	4.39612E-08	427.9796355	10051.1085	11621.72043	154.7464605	360.7418925	680.0930344
CHEBI:27823	C10H9NO3	OC(=O)Cc1c[nH]c2ccc(O)cc12	InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)	5-Hydroxyindoleacetic acid	190.0500397		M-H		5.14705												220718.208	207805.2094	204395.0265	199229.1136	199624.8283	197148.394	203543.7116	203846.5961	818663.0503	162271.5681	80793.41902	49781.51942	171819.5182	1543874.658	280674.3242	44064.03909	66962.78307	907497.5851	68423.4593	110388.6125	74392.88919	1521502.808	371859.6276	923812.7909	133088.4785	813005.5268	193527.4366	261734.184	22668.56372	90467.74078	230085.6898	42251.90566	248543.2577	329200.9662	210022.7418	87176.4	229281.1494	18823.14111	711697.0175	80440.71145	19860.31993	37505.4238	13420.52697	42846.94475	19534.87059	10769.83651	11569.48507	12283.4529	66316.71161	27535.07305	52655.42402	54526.65693	27771.73159	154071.9473	157787.1237
CHEBI:184560	C39H62O15	O([C@@H]1CC=2[C@@]([C@@]3([C@]([C@]4([C@@]([C@H](CC4)C(=O)C)(CC3)C)[H])(CC2)[H])[H])(CC1)C)[C@@H]5OC([C@@H](O[C@@H]6OC([C@H](O)C(O)[C@H]6O)C)[C@H](O)C5O[C@@H]7OC([C@H](O)C(O)[C@@H]7O)C)CO	InChI=1S/C39H62O15/c1-16(41)22-8-9-23-21-7-6-19-14-20(10-12-38(19,4)24(21)11-13-39(22,23)5)51-37-34(54-36-31(47)29(45)27(43)18(3)50-36)32(48)33(25(15-40)52-37)53-35-30(46)28(44)26(42)17(2)49-35/h6,17-18,20-37,40,42-48H,7-15H2,1-5H3/t17?,18?,20-,21-,22+,23-,24-,25?,26-,27-,28?,29?,30+,31-,32-,33+,34?,35-,36-,37+,38-,39+/m0/s1	Spongipregnoloside C	815.4056837		M+FA-H		8.8902												3360.320366	2847.778702	2660.548976	2147.153104	1934.04399	3290.423874	2918.506296	1853.569657	6891.859347	17110.49684	3807.915675	18332.54599	3848.23797	1894.880674	4.39612E-08	4984.232725	5080.45153	2833.482166	7654.844626	7457.546614	30712.07406	3665.183557	15845.38272	4.39612E-08	13950.19328	4.39612E-08	142781.6707	4.39612E-08	11794.77009	6614.197487	309.7233383	4.39612E-08	4.39612E-08	15942.24743	952.0683942	24050.92741	4.39612E-08	370.7916536	4.39612E-08	2043.867587	6279.624696	4.39612E-08	4.39612E-08	700.5579902	4.39612E-08	6777.822489	6830.848025	4.39612E-08	849.6687872	4.39612E-08	1445.329084	1220.411105	4.39612E-08	4.39612E-08	4.39612E-08
CHEBI:185103	C18H30O16	O(C1C(O)C(O)C(OC1C)OCC2OC(O)C(O)C(O)C2O)C3OC(C(O)C(O)C3O)C(O)=O	InChI=1S/C18H30O16/c1-3-13(33-18-11(25)7(21)8(22)14(34-18)15(27)28)9(23)12(26)17(31-3)30-2-4-5(19)6(20)10(24)16(29)32-4/h3-14,16-26,29H,2H2,1H3,(H,27,28)	6-({4,5-dihydroxy-2-methyl-6-[(3,4,5,6-tetrahydroxyoxan-2-yl)methoxy]oxan-3-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid	483.1350544		M-H2O-H		0.7713												15037.10609	16130.95798	12933.76317	14182.36251	9265.189294	15207.15831	9396.211705	12485.98439	5774.293318	4.39612E-08	6377.852439	14585.18703	63495.50781	3269.507293	2248.185064	4.39612E-08	3056.25663	1749.873392	11305.27844	10260.98154	2995.152599	479.8968264	4079.096723	4.39612E-08	4.39612E-08	1048.524044	8575.546289	3345.284278	6527.997319	1374.257639	5473.873871	17107.21347	1980.196158	1143.7923	2819.400546	3877.436399	1053052.944	20069.48552	107018.5053	12982.63303	42155.46948	4.39612E-08	17555.65301	52638.66371	55722.64055	12097.1059	4.39612E-08	93556.04251	7867.935756	6168.400659	819.6534875	1951.414884	4.39612E-08	4.39612E-08	4.39612E-08
CHEBI:17015	C17H20N4O6	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1	InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m0/s1	Riboflavin	421.1367438		M-H, M+FA-H		4.9169												118582.4861	115209.5305	117547.0005	118783.7163	113689.5338	120031.1324	118491.6462	116800.6046	160388.4181	230611.4451	248105.7221	87394.10481	175480.3021	203613.9281	126649.8208	78397.069	61181.53349	168779.4952	206232.18	214503.6502	54810.62116	146680.4712	87703.77209	108918.6148	192536.3505	109357.6396	53106.17453	107854.8917	42877.61819	97527.28152	146589.6255	56029.59391	136543.6158	148571.9798	145239.3394	289411.8854	92006.70321	136190.6543	260278.7561	164462.0123	59881.1844	247115.3627	46450.4701	74167.36682	63756.29155	198907.5509	238619.2277	168912.5846	104539.3239	200970.56	147778.1121	162977.4336	366447.9116	182591.5695	186064.3583
CHEBI:2632	C31H39N5O4	CN[C@@H](C(C)C)C(=O)N[C@H]1[C@@H](Oc2ccc(cc2)\C=C/NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O)C(C)C	InChI=1S/C31H39N5O4/c1-18(2)26(32-5)30(38)36-27-28(19(3)4)40-22-12-10-20(11-13-22)14-15-33-29(37)25(35-31(27)39)16-21-17-34-24-9-7-6-8-23(21)24/h6-15,17-19,25-28,32,34H,16H2,1-5H3,(H,33,37)(H,35,39)(H,36,38)/b15-14-/t25-,26-,27-,28-/m0/s1	Americine	526.2850308		M-H2O-H		5.839983333												6578.893439	6077.89254	5391.007833	7460.508626	6402.711709	5757.945183	6252.902765	6071.633438	20256.95005	18730.80054	76.80787498	20648.85271	1233.990117	751.7790679	225.0397531	13872.30005	9743.815942	7755.028003	17811.85329	18945.90827	13901.40453	1901.31043	13448.02929	1210.7882	17483.8658	1493.932743	36342.25946	282.9353966	19064.18377	31287.36067	595.2224954	14905.49656	432.8882363	26052.07567	1139.611383	1586.914866	159.9707442	29861.90712	705.6979101	3752.306065	189.0219607	292.0078369	4.39612E-08	375.4282356	7577.412928	1172.102259	7787.060575	90.47985677	20507.39034	9477.015862	5001.87159	5341.825824	25076.68423	408.5157446	332.6572364
CHEBI:545687	C12H20O4	OC(=O)CCCCCCCC\C=C\C(O)=O	InChI=1S/C12H20O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h7,9H,1-6,8,10H2,(H,13,14)(H,15,16)/b9-7+	Traumatic acid	227.128207		M-H2O-H, M-H		7.652216667												136880.5886	136892.9765	136422.4219	133593.6745	134433.4922	135125.5212	136592.5017	135418.3637	320737.7226	32102.14431	52044.14544	29175.29098	22257.26603	201486.0464	159344.5148	41515.99639	100186.9326	437831.2262	30388.50174	30778.20081	93481.6573	1965782.085	121945.7083	428211.9498	29214.93813	140026.0206	86819.18249	173148.1664	11727.20594	86776.7161	94683.58646	66990.56331	127604.9499	148291.3572	92657.86616	131255.3084	50907.95285	30218.15977	392625.2198	189616.7087	51836.73557	71662.82495	12036.06178	260213.1756	143048.2686	83496.81306	48845.148	48506.26889	17689.97184	604592.4257	138242.7318	148598.8041	60746.61324	141354.7963	150185.4911
CHEBI:88727	C24H32O12S	S(OC1=CC2=C([C@@]3([C@]([C@]4([C@@]([C@@H](O)[C@H](OC5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C(O)=O)C4)(CC3)C)[H])(CC2)[H])[H])C=C1)(O)(=O)=O	InChI=1S/C24H32O12S/c1-24-7-6-13-12-5-3-11(36-37(31,32)33)8-10(12)2-4-14(13)15(24)9-16(21(24)28)34-23-19(27)17(25)18(26)20(35-23)22(29)30/h3,5,8,13-21,23,25-28H,2,4,6-7,9H2,1H3,(H,29,30)(H,31,32,33)/t13-,14-,15+,16-,17+,18+,19-,20+,21+,23?,24+/m1/s1	Estriol 3-sulfate 16-glucuronide	525.1462717		M-H2O-H, M-H		1.5011												2290.18674	1732.554217	2662.747234	2479.586664	2225.943849	2558.509476	2723.550336	2871.322223	354.0099293	4.39612E-08	6269.062669	4.39612E-08	230.2787149	7579.030236	11979.39051	4.39612E-08	4754.334271	1553.1666	4.39612E-08	4.39612E-08	377.8614908	381.8850377	1108.033389	3675.949448	4.39612E-08	13150.87505	482.7677126	1005.012265	2993.902968	173.0159368	1595.428921	746.8078286	7472.318816	4.39612E-08	378.71572	498.7852988	240361.6874	3.687899904	196.2485053	4.39612E-08	572.1801469	10811.52562	3943.764968	6973.484185	33.71039496	155.9592199	841.2209314	5323.918199	4.39612E-08	5789.267992	3116.000793	1726.347717	4.39612E-08	434.8713593	2109.001842
