"sample_id","Putrescine","5-Aminovaleric Acid","Pyroglutamic Acid","Alanine","Aspartic Acid","Cysteine","Glutamic Acid","Proline","Tyrosine","2-Aminobutyric Acid","N-Acetyl-L-Aspartic Acid","beta-Alanine","Sarcosine","Anthranilic Acid","Cinnamic Acid","p-Cresol","Succinic Acid","Glutaric Acid","Malonic Acid","Acetic Acid","Propionic Acid","Valeric Acid","Isovaleric Acid","Caproic Acid","2-Methylbutanoic Acid","Glutarate semialdehyde","Enanthic Acid","Caprylic Acid","Pelargonic Acid","Capric Acid","Undecylic Acid","Lauric Acid","Tridecylic Acid","Sebacic Acid","Myristic Acid","Pentadecylic Acid","Palmitic Acid","Margaric Acid","Stearic Acid","Arachidonic Acid","Eicosatrienoic Acid","Eicosenoic Acid","Docosahexaenoic Acid","Clupanodonic Acid","Behenic Acid","Isotridecanoic Acid","Isomyristic Acid","Isopentadecanoic Acid","Anteisopentadecanoic Acid","Isopalmitic Acid/Anteisopalmitic Acid","Isomargaric Acid","Anteisomargaric Acid","Pimelic Acid","Methylsuccinic Acid","Suberic Acid","3-Methyladipic Acid","Undecanedioic Acid","Ethylmalonic Acid","Azelaic Acid","Dodecanedioic Acid","Indole","3-methylindole","Indoleacetic Acid","Linoleic Acid/Oleic Acid","Stearidonic Acid","Phenylacetic Acid","Hydrocinnamic Acid","Nicotinic Acid","Acetoacetate","2-Oxobutanoic Acid","Citric Acid","Tryptophan"
"Inf_66a_UT",178923.095,1627916,28124.135,21043.075,519413.088,6190.939,322397.694,186185.706,36751,68492.247,117249.839,41208.42,267547.204,1672.055,102421.882,0,280870.331,8857.057,440769.918,5115814.184,20386.437,1727.383,155116.439,749.283,51711.898,4636.37,2102,11263.543,299.524,17149.329,11597.982,182457.487,179486.271,1028.655,277314.128,31280.756,3189696.071,12190.93,510284.163,12378.334,4730.416,14947.572,2444.547,568.265,7854.376,1290.303,4314.455,6845.484,82840.67,2627.257,2838.116,1389.685,5338.584,15519.803,2720.208,734.71,786.46,331.27,7332.927,2342.72,10861.821,342.086,8779.564,85099.316,1446.893,36918.816,1351.936,84939.167,1958.038,55609.333,96350.568,26906.073
"Inf_49_UT",329835.481,3822313,22555.048,27760.527,570347.882,9431.341,265735.154,263550.119,72635,590166.673,141047.823,172025.012,2169159.614,1485.352,85138.525,0,719529.617,25758.927,154222.367,4660792.762,25347.173,953.188,341747.907,455.882,140167.127,6600.148,5367,2109.368,2052.206,7124.247,2044.577,4970.586,81750.417,460.974,59343.682,74347.351,2206182.991,12668.26,748494.688,4807.187,17168.352,0,1923.256,3189.433,4568.479,2394.388,16233.489,34685.771,554469.913,5278.995,6326.536,5131.843,5299.852,13112.458,4999.165,10127.994,1968.074,2039.221,6005.959,4706.634,5292.11,1951.628,11968.436,68626.899,2375.39,90367.138,0,133255.953,1720.412,44124.002,30057.309,88965.43
"Moth_26_UT",976263.765,3033501.27,26850.702,39837.885,808916.416,42799.795,454670.05,264336.086,290477.362,2171756.262,93375.134,1083895.471,181177.424,6498.469,4948.734,7724.123,3510909.695,19842.074,160261.055,2395966.741,39895.997,54702.668,238587.036,9959.916,129630.84,5885.867,1634.01,36659.395,0,14875.529,0,6893.547,1103.655,1862.619,40384.388,10935.01,1385008.258,3425.334,275269.499,36420.888,7989.618,1295.571,3118.186,1363.317,2315.425,5581.248,7904.614,16935.201,108112.166,3223.679,2592.568,2533.137,4664.469,27479.201,7199.374,1571.764,671.622,1144.575,38662.32,7936.385,249300.397,2335.776,3332.92,89228.793,1122.235,30663.898,29939.496,176023.797,1356.043,69665.982,34832.05,77506.394
"Gran_08_UT",9962.33,215217.943,22392.953,21906.885,365295.222,4816.664,419777.238,290353.286,59720.568,77416.661,102653.632,224301.12,14873.891,16837.854,14405.067,440928.184,487723.474,13972.013,99203.267,572966.312,8156.384,167754.812,593093.937,11058.853,243850.306,8802.806,928.682,4603.718,11496.554,30172.493,55454.004,10247.724,47215.472,8121.553,178050.507,131056.237,2495612.474,10682.778,708869.011,2668.185,453,149566.164,1017.774,1486.605,2141.977,12990.907,57658.905,84818.669,316712.662,64690.063,14340.626,13094.808,39950.985,290340.974,53610.55,130407.459,5684.119,1516.651,184284.8,3371.263,32073.889,34217.56,6432.477,321606.373,1599.628,152518.359,92437.893,55824.35,2649.902,5880.019,15056.67,14315.326
"Moth_32_UT",9311.34,93012.27,57688.324,36972.831,484086.452,8791.805,547939.358,363090.465,448737.165,491916.307,38808.037,346076.785,18684.625,10477,50703.645,505435.692,806618.849,213885.776,56447.861,1190360.972,17452.237,345910.091,901294.25,210148.76,530900.242,2546.194,2139.612,18523.813,0,6612.436,1628.74,8454.698,19546.471,6152.876,72043.696,92238.859,1865586.947,16802.664,777291.218,8768.797,1753.034,7542.485,807.605,319.438,12936.688,11667.698,54083.669,69983.955,437799.341,29029.117,21680.605,12725.694,37666.924,28398.69,25553.046,5890.172,4082.213,760.919,106445.374,7921.871,169958.079,32138.584,7895.877,251262.135,1251.303,212089.701,58810.225,155337.693,1767.481,33191.023,29839.083,52312.012
"Gran_67_UT",106310.06,584673.982,41861.25,67501.696,192528.373,5487.984,631488.961,833829.445,5655.752,1053234.131,38541.332,119106.027,65215.661,7803.298,713998.907,351425.662,1984966.322,25771.379,53201.464,638825.375,7683.404,250600.129,596206.204,79698.229,265400.438,3728.136,3007.198,14127.607,23856.129,18056.449,7112.1,12828.542,61788.506,5693.793,106304.357,80112.91,2129533.729,16776.874,592118.895,2089.76,2341.324,61501.784,1800.678,711.031,4133.48,4999.03,35238.745,44079.306,246283.713,28733.119,40641.932,11938.615,4797.054,196898.449,17157.195,75146.889,4010.104,3051.031,98859.057,14566.067,91745.216,79678.897,56058.521,163600.152,978.022,226160.824,182740.433,82035.938,1085.417,7559.732,12926.431,50738.812
"Inf_13_UT",187746.207,1922956,263808.472,38109.616,1071373.883,92775.595,456115.434,538926.018,62288,362605.619,156677.088,41643.894,15817.077,3273.211,5187.429,31374.905,3666200.116,23552.861,18974.061,1204131.291,7398.699,22583.22,159862.035,4323.865,147580.061,2919.05,1064,29275.183,14913.007,148165.439,1454.795,194945.272,12994.356,5141.14,280704.695,7286.263,2038044.09,1456.28,50234.415,11477.764,57010.93,22768.283,1807.959,7377.077,2232.965,4963.975,9942.748,19400.499,107629.1,2156.554,498.18,643.751,4120.942,6501.47,3544.147,1630.425,2126.712,502.581,9058.085,16620.759,112077.714,678.373,5459.517,118583.749,5185.952,62845.052,39872.71,45308.312,1242.784,5938.469,65142.468,42034.804
"Moth_15_UT",23005.546,899195.485,17822.578,38460.436,179465.251,6040.062,345780.289,126263.759,271008.815,660947.504,14434.157,484553.434,12802.857,9397.352,43142.046,894399.838,644769.307,28663.34,162847.244,884278.406,14944.894,244967.335,793458.686,111134.317,377094.324,7491.46,2090.551,28477.086,3830.002,5305.813,659.507,3404.764,7381.129,2762.754,39345.362,63307.678,1838490.642,9355.491,904782.921,1575.479,697.11,12186.824,298.161,434.664,16158.204,4421.073,24076.411,66922.033,134482.719,15192.418,17613.644,5208.18,38732.84,89341.883,30956.112,52789.926,1299.889,2280.015,166444.176,4899.796,415089.551,99882.416,2732.189,288369.812,5918.53,169733.265,32469.312,11710.97,2152.139,15057.377,17434.09,15857.486
"Moth_58_UT",203610.947,95314.243,27105.804,25432.78,455949.959,14860.562,530784.596,234389.571,156447.117,109268.446,75497.805,170326.348,10992.319,11683.215,14456.753,652417.213,289448.018,222635.648,108934.285,1834183.647,57845.504,1813234.196,1547243.563,129391.338,888329.932,2486.365,2307.238,24700.565,0,49102.616,2926.295,19036.273,17424.344,3293.679,136410.706,101544.321,2311339.477,15568.945,820707.312,14661.317,28906.151,22278.766,1781.193,6388.197,29166.358,10015.733,34761.348,102618.565,416313.387,11961.966,14396.584,7820.389,9122.953,82946.026,13521.811,1754.44,1966.947,3376.176,69692.704,5801.224,855538.531,604.658,6008.608,235883.862,4140.018,281228.336,1143761.2,214398.154,2346.903,92778.142,19844.547,39730.481
"Moth_08_UT",8060.806,299726.414,17617.943,20391.903,485699.194,2614.013,419009.153,219845.285,255635.076,52127.979,30169.592,169836.835,10180.28,6312.428,15312.549,258963.227,323945.674,191809.513,188032.901,481504.217,6741.018,182127.946,471465.987,81429.702,199875.479,5864.289,992.126,26018.897,1290.682,12879.944,2236.745,9529.339,4954.578,8941.934,52387.227,50954.563,1637707.981,8960.036,866734.75,2869.588,765.896,21076.605,728.501,0,11899.149,7556.229,14498.26,38409.83,212413.145,9453.703,8852.273,7213.227,43161.542,16522.858,33935.089,67957.676,2434.724,399.185,149858.019,4413.941,73515.705,20271.855,7254.232,240074.437,406.892,109742.292,278534.983,37046.868,3279.335,10789.551,31616.387,22140.21
