"","Acetanaerobacterium_elongatum","Acetivibrio_cellulolyticus","Acetivibrio_ethanolgignens","Acidaminococcus_fermentans","Acidaminococcus_intestini","Acinetobacter_baumannii","Actinobacillus_rossii","Actinomyces_cardiffensis","Actinomyces_graevenitzii","Actinomyces_lingnae","Actinomyces_meyeri","Actinomyces_odontolyticus","Actinomyces_oris","Adlercreutzia_equolifaciens","Aggregatibacter_segnis","Akkermansia_muciniphila","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_massiliensis","Alistipes_onderdonkii","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Allisonella_histaminiformans","Alloprevotella_rava","Anaerococcus_murdochii","Anaerococcus_prevotii","Anaerococcus_vaginalis","Anaerofilum_agile","Anaerofustis_stercorihominis","Anaeroglobus_geminatus","Anaerosporobacter_mobilis","Anaerostipes_butyraticus","Anaerostipes_caccae","Anaerostipes_hadrus","Anaerotruncus_colihominis","Anaerovorax_odorimutans","Atopobium_parvulum","Bacteroides_acidifaciens","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_clarus","Bacteroides_coprocola","Bacteroides_coprophilus","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_faecichinchillae","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_intestinalis","Bacteroides_massiliensis","Bacteroides_nordii","Bacteroides_ovatus","Bacteroides_plebeius","Bacteroides_salyersiae","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Barnesiella_intestinihominis","Barnesiella_viscericola","Bifidobacterium_adolescentis","Bifidobacterium_animalis","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_dentium","Bifidobacterium_longum","Bifidobacterium_pseudocatenulatum","Bifidobacterium_pullorum","Bilophila_wadsworthia","Blautia_faecis","Blautia_glucerasea","Blautia_hydrogenotrophica","Blautia_luti","Blautia_schinkii","Blautia_stercoris","Blautia_wexlerae","Bradyrhizobium_elkanii","Burkholderia_cepacia","Butyricicoccus_pullicaecorum","Butyricimonas_synergistica","Butyricimonas_virosa","Cardiobacterium_valvarum","Catabacter_hongkongensis","Catenibacterium_mitsuokai","Cellulosilyticum_ruminicola","Christensenella_minuta","Cloacibacillus_evryensis","Clostridium_aldenense","Clostridium_aminobutyricum","Clostridium_aminovalericum","Clostridium_asparagiforme","Clostridium_bartlettii","Clostridium_bifermentans","Clostridium_cadaveris","Clostridium_citroniae","Clostridium_clostridioforme","Clostridium_colinum","Clostridium_disporicum","Clostridium_fusiformis","Clostridium_glycolicum","Clostridium_glycyrrhizinilyticum","Clostridium_hathewayi","Clostridium_hiranonis","Clostridium_hylemonae","Clostridium_indolis","Clostridium_innocuum","Clostridium_lactatifermentans","Clostridium_lavalense","Clostridium_leptum","Clostridium_methylpentosum","Clostridium_nexile","Clostridium_oroticum","Clostridium_paraputrificum","Clostridium_perfringens","Clostridium_piliforme","Clostridium_polysaccharolyticum","Clostridium_populeti","Clostridium_quinii","Clostridium_ramosum","Clostridium_ruminantium","Clostridium_saccharogumia","Clostridium_sartagoforme","Clostridium_scindens","Clostridium_spiroforme","Clostridium_sporosphaeroides","Clostridium_straminisolvens","Clostridium_symbiosum","Clostridium_tertium","Clostridium_thermocellum","Clostridium_viride","Collinsella_aerofaciens","Collinsella_stercoris","Collinsella_tanakaei","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Corynebacterium_amycolatum","Corynebacterium_argentoratense","Corynebacterium_durum","Corynebacterium_variabile","Dehalobacterium_formicoaceticum","Denitrobacterium_detoxificans","Desulfovibrio_desulfuricans","Desulfovibrio_fairfieldensis","Desulfovibrio_legallii","Desulfovibrio_piger","Dialister_invisus","Dialister_pneumosintes","Dialister_propionicifaciens","Dialister_succinatiphilus","Dioscorea_elephantipes","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Eggerthella_sinensis","Enterococcus_avium","Enterococcus_durans","Enterococcus_faecalis","Enterococcus_faecium","Enterorhabdus_mucosicola","Erwinia_psidii","Escherichia/Shigella_coli","Escherichia/Shigella_sonnei","Eubacterium_biforme","Eubacterium_brachy","Eubacterium_contortum","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_dolichum","Eubacterium_eligens","Eubacterium_fissicatena","Eubacterium_hallii","Eubacterium_infirmum","Eubacterium_limosum","Eubacterium_oxidoreducens","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_ruminantium","Eubacterium_saphenum","Eubacterium_siraeum","Eubacterium_sulci","Eubacterium_tarantellae","Eubacterium_uniforme","Eubacterium_ventriosum","Faecalibacterium_prausnitzii","Finegoldia_magna","Flavobacterium_anhuiense","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Fusobacterium_mortiferum","Fusobacterium_necrogenes","Fusobacterium_nucleatum","Fusobacterium_periodonticum","Fusobacterium_varium","Gemella_asaccharolytica","Gemella_haemolysans","Gemella_morbillorum","Gemella_sanguinis","Gemmiger_formicilis","Gordonibacter_pamelaeae","Gracilibacter_thermotolerans","Granulicatella_elegans","Haemophilus_parainfluenzae","Haemophilus_pittmaniae","Haemophilus_sputorum","Herbiconiux_solani","Holdemania_filiformis","Howardella_ureilytica","Hydrogenoanaerobacterium_saccharovorans","Intestinimonas_butyriciproducens","Klebsiella_pneumoniae","Kluyvera_cryocrescens","Kluyvera_georgiana","Lachnospira_pectinoschiza","Lactobacillus_acidophilus","Lactobacillus_casei","Lactobacillus_coleohominis","Lactobacillus_crispatus","Lactobacillus_delbrueckii","Lactobacillus_fermentum","Lactobacillus_gasseri","Lactobacillus_iners","Lactobacillus_johnsonii","Lactobacillus_mucosae","Lactobacillus_oris","Lactobacillus_plantarum","Lactobacillus_reuteri","Lactobacillus_ruminis","Lactobacillus_sakei","Lactobacillus_salivarius","Lactobacillus_sanfranciscensis","Lactococcus_garvieae","Lactococcus_lactis","Lactonifactor_longoviformis","Leuconostoc_citreum","Leuconostoc_lactis","Leuconostoc_pseudomesenteroides","Megamonas_funiformis","Megasphaera_elsdenii","Megasphaera_micronuciformis","Methanobrevibacter_smithii","Methanosphaera_stadtmanae","Methylobacterium_komagatae","Microbacterium_ginsengisoli","Micropruina_glycogenica","Mitsuokella_multacida","Modestobacter_multiseptatus","Morganella_morganii","Neisseria_subflava","Novosphingobium_sediminicola","Odoribacter_splanchnicus","Olsenella_profusa","Olsenella_uli","Olsenella_umbonata","Oribacterium_sinus","Oscillibacter_valericigenes","Oscillospira_guilliermondii","Oxalobacter_formigenes","Papillibacter_cinnamivorans","Parabacteroides_chinchillae","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_gordonii","Parabacteroides_johnsonii","Parabacteroides_merdae","Paraprevotella_clara","Paraprevotella_xylaniphila","Parasporobacterium_paucivorans","Parasutterella_excrementihominis","Parvibacter_caecicola","Parvimonas_micra","Pediococcus_acidilactici","Peptoclostridium_difficile","Peptoniphilus_asaccharolyticus","Peptoniphilus_coxii","Peptoniphilus_duerdenii","Peptostreptococcus_stomatis","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Photorhabdus_luminescens","Porphyromonas_asaccharolytica","Porphyromonas_bennonis","Porphyromonas_uenonis","Prevotella_bivia","Prevotella_buccalis","Prevotella_copri","Prevotella_corporis","Prevotella_stercorea","Prevotella_timonensis","Propionibacterium_acidifaciens","Propionibacterium_propionicum","Proteus_mirabilis","Pseudoscardovia_suis","Pyramidobacter_piscolens","Ralstonia_pickettii","Rhizomicrobium_palustre","Robinsoniella_peoriensis","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Rothia_dentocariosa","Rothia_mucilaginosa","Ruminococcus_albus","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_champanellensis","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Sarcina_ventriculi","Sediminibacterium_salmoneum","Shuttleworthia_satelles","Slackia_equolifaciens","Slackia_faecicanis","Slackia_isoflavoniconvertens","Slackia_piriformis","Solobacterium_moorei","Sphingopyxis_rigui","Sporomusa_ovata","Streptococcus_anginosus","Streptococcus_cristatus","Streptococcus_downei","Streptococcus_equinus","Streptococcus_gordonii","Streptococcus_intermedius","Streptococcus_lactarius","Streptococcus_macedonicus","Streptococcus_mutans","Streptococcus_parasanguinis","Streptococcus_peroris","Streptococcus_pleomorphus","Streptococcus_salivarius","Streptococcus_sanguinis","Streptococcus_sobrinus","Streptococcus_thermophilus","Subdoligranulum_variabile","Succiniclasticum_ruminis","Sutterella_stercoricanis","Sutterella_wadsworthensis","Synergistes_jonesii","Turicibacter_sanguinis","Vallitalea_guaymasensis","Veillonella_atypica","Veillonella_dispar","Veillonella_parvula","Veillonella_rogosae","Weissella_cibaria","Weissella_confusa"
"N24_HW",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3371,11,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,149,0,0,0,32,0,112,0,0,0,0,0,0,0,0,1715,211,0,6,395,572,0,16355,0,532,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,692,0,0,0,86,0,529,0,365,0,0,36,0,942,0,0,0,0,0,0,0,33,3434,48,0,44,0,0,0,0,0,127,0,2394,0,0,0,0,0,540,0,0,0,18,0,0,0,0,0,0,0,1299,0,0,0,0,659,1589,520,0,0,0,0,0,0,0,1447,1,0,0,0,0,0,262,0,0,0,8148,0,0,0,0,3637,0,0,0,0,0,0,0,20,0,0,58,0,0,0,0,0,1939,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,694,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6321,0,0,0,0,0,0,0,6129,0,268,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0
"N23_HW",0,0,0,0,0,0,0,0,0,0,0,48,0,51,0,0,0,99,0,0,5410,56,862,0,0,0,0,0,0,0,0,0,0,0,2010,0,0,0,0,53,0,0,0,0,0,4590,13,9,0,0,566,7,12,0,31,1159,0,30,1449,59,0,0,0,0,0,2,0,6105,0,0,0,266,0,0,3551,37,0,0,0,0,0,0,503,0,0,0,0,30,0,0,0,0,0,256,0,0,0,0,0,12,0,0,168,152,0,0,0,15,0,0,8,0,16,0,0,0,0,0,28,0,2,241,0,0,31,0,0,0,0,0,0,0,4665,0,0,0,0,0,87,0,0,0,12,0,0,0,0,0,98,0,589,0,0,0,0,208,644,336,0,0,0,0,0,0,0,532,1,787,0,0,0,0,67,0,0,0,1355,0,18,0,43,63,0,0,0,4,0,0,15,714,0,0,234,1,0,0,0,0,0,0,0,0,0,827,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,218,0,0,0,0,136,203,0,0,0,522,12,0,0,46,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,265,15,5,0,122,1515,45,0,0,147,0,370,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,60,0,0,0,0,0,96,0,0,0,0,0,0,0
"N22_HW",0,0,0,0,0,0,0,0,0,0,0,45,0,5,0,0,0,12,0,0,1153,0,32,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,108,0,0,0,0,9,0,0,0,0,0,63,0,34,115,0,35,7,24,198,14,309,0,0,0,47,0,0,22,0,0,0,219,0,0,705,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,631,0,29,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,166,2725,0,0,0,0,0,0,0,0,116,0,1263,0,0,0,0,51,168,537,0,0,13,0,0,0,0,0,0,0,0,0,0,281,4,428,3437,0,0,0,0,0,0,0,0,0,0,0,0,0,878,0,248,0,0,0,1237,0,0,0,15,3200,0,4,0,0,0,0,82,11693,0,0,10,76,0,0,0,0,0,0,0,0,13,1614,9,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,304,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,328,0,0,0,1,0,0,0,73,0,0,0,12,0,0,0,0,0,0,0,12,17,0,4,0,0,0,0,0,1566,0,0,5,0,0,0,0,0,0,0,0,134,0,2011,995,0,4,0,1718,200,0,0,0,0,1147,314,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,158,0,0,0,0,0,0,0
"N21_HW",0,0,0,0,0,0,0,8,0,34,0,251,0,0,0,39,0,49,0,0,196,0,0,0,0,0,0,0,0,15,0,0,0,0,716,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,27,72,0,0,0,0,23,0,44,0,0,0,0,0,94,1018,21,0,0,1532,0,168,1350,6,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,116,1,0,630,0,0,534,0,21,0,0,38,0,0,81,0,0,0,0,0,0,11,2561,0,0,0,1,0,0,0,0,0,0,7145,0,3982,0,0,50,344,0,0,82,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2267,99,0,0,0,0,0,0,0,0,0,990,0,0,57,0,171,0,0,0,10483,0,0,0,1,799,0,10,0,0,0,0,101,3318,0,0,11,3,15,0,0,0,0,0,0,11,8,4019,16,0,0,0,0,0,0,9,0,5,6,39,0,0,0,0,0,23,0,0,0,0,0,0,881,77,0,12,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,51,26,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,4,0,0,23,16,0,0,0,0,0,0,0,58,0,0,0,6,0,0,0,0,0,0,0,47,0,170,0,0,22,0,18,0,0,0,280,0,872,1928,0,0,0,0,0,0,361,26,0,0,51,14,0,0,0,2,0,0,0,0,0,0,97,18,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0
"H6_HW",0,0,63,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,50,0,0,0,0,60,0,8,0,0,0,0,0,0,0,0,0,0,0,35,0,0,10498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,202,0,110,0,0,0,158,0,146,0,0,4,0,0,0,0,0,0,0,0,0,263,46,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,4586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,0,0,0,8602,0,0,170,0,0,0,0,0,0,0,0,0,7,1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,74,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,27,0,0,3,0
"N20_HW",26,0,0,0,142,0,0,0,0,0,0,7,0,38,0,6184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,5,0,152,0,0,353,0,0,23,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,4097,0,381,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,22375,0,0,0,0,0,0,0,0,0,0,858,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1733,0,0,96,3,0,0,0,0,0,0,0,0,0,8,0,0,154,0,13,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,0,0,0,0,0,0,0,0,0,0,2165,2,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0,0,0,0,2805,115,0,0,0,0,0,0,26,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,132,0,0,0,57,0,172,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2845,0,0,0,0,0,0,0
"N19_HW",0,0,0,0,0,0,0,0,0,0,53,84,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,34,0,0,0,359,0,4,214,0,0,467,0,0,0,0,0,0,0,0,473,0,0,27,84,0,0,0,174,0,0,0,0,0,0,0,0,0,0,1783,5,3,64,139,108,1052,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,4,0,0,0,0,93,0,0,47,31,433,236,0,96,6,0,1,0,0,0,0,0,0,3,0,0,0,716,0,58,0,177,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,18,0,0,0,0,633,0,4,0,0,0,0,152,0,0,0,0,0,0,0,4108,0,0,0,74,0,317,18,12,0,0,13834,91,0,0,22,0,0,0,0,12,0,0,0,713,0,0,55,0,0,0,0,0,0,0,16,0,0,0,38,0,0,0,0,0,0,26,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,4,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,188,0,84,0,12,48,122,145,0,0,15,0,1075,576,0,0,0,0,0,0,0,0,0,0,11,38,0,0,0,0,0,0,0,40,3,0,0,0,0,59,7,0,0,0,0,0,30,0,0,0,0,0,0
"N18_HW",0,0,0,0,0,0,0,0,0,0,0,18,0,0,13,0,0,4,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,510,15,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,15,0,0,0,0,0,0,0,0,7538,551,0,0,546,0,0,12249,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,762,0,1117,148,0,0,0,0,172,0,0,8,0,32,0,0,0,0,0,0,0,181,4527,0,0,132,0,0,0,0,0,195,0,20384,0,0,0,0,2,200,0,0,0,34,0,0,0,0,0,0,0,0,0,0,25,0,166,0,71,0,0,0,0,0,0,0,38,0,0,0,0,51,0,264,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,7304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,178,0,0,0,0,8,0,0,0,0,0,0,0,30,0,0,0,36,0,1049,0,0,0,366,91,408,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
"N17_HW",74,37,0,0,0,0,0,0,0,0,0,15,0,294,0,574,38,436,0,168,321,0,11,0,0,0,0,0,0,0,0,0,0,0,902,0,0,4,0,1022,38,0,0,0,1171,178,0,0,0,0,0,0,8,0,0,64,30,211,729,31,820,16,0,0,0,0,736,98,0,0,7,113,0,0,571,90,0,0,0,0,0,0,101,0,0,0,0,16,0,0,12,0,0,1226,0,0,0,0,0,1126,0,0,0,0,4,0,0,0,0,0,149,0,1,0,0,826,0,0,0,0,0,4327,0,0,0,0,5,0,0,0,27,0,968,0,0,110,7,33,0,230,17,0,0,0,30,0,5,0,0,0,10,0,0,499,0,27,180,0,0,0,0,14,26,0,0,78,0,0,0,0,411,0,0,0,24,0,883,0,0,0,0,126,0,0,17,0,6,0,0,2831,0,0,16,4,0,3,0,0,0,0,8,0,0,1963,28,0,0,0,0,0,0,12,0,0,129,553,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,56,7,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,61,41,30,0,0,66,0,0,0,240,9,0,0,0,0,0,0,0,0,0,0,0,121,0,48,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,506,0,0,0,80,11,0,0,14,0,363,235,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,132,0,11,3,0,0,0,0,6,0,2,0,0,83,5,0,13,0,0,252,2
"N16_HW",81,0,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,45,0,0,725,1,173,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,72,0,0,0,0,0,45,0,0,199,0,0,0,115,0,0,0,219,475,154,0,964,0,1,0,0,0,0,0,0,0,6,171,0,0,41,0,65,0,0,0,0,0,12,0,0,0,0,6,15,0,0,0,0,1092,0,0,0,0,0,1045,0,266,0,0,0,0,0,10,0,0,78,0,0,0,5,0,0,0,0,0,77,1245,0,0,0,15,0,0,0,0,0,0,233,0,0,0,0,40,77,0,0,0,5,0,0,0,34,0,0,0,0,0,0,0,0,11,1439,0,0,0,0,0,0,13,0,0,0,0,0,0,141,0,39,0,114,0,182,0,0,18,0,69,117,0,136,0,0,0,61,10650,0,0,24,0,0,0,0,0,0,0,0,0,0,1502,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,31,0,0,0,0,26,450,0,0,0,53,0,0,59,126,289,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,606,0,0,0,0,0,0,0,0,0,0,0,1337,0,85,2251,0,18,165,596,137,0,0,0,59,42,190,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,30,0,0,0,0,78,0,0,0,0,0,0,0
"N15_HW",0,0,0,0,0,0,0,0,0,0,0,36,0,46,0,18,0,0,0,0,65,0,22,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,18,0,0,1,0,0,0,0,19,0,0,68,0,222,34,0,0,0,0,261,108,58,0,0,0,0,0,0,0,0,0,0,412,0,0,975,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,605,0,247,3,0,0,0,0,0,0,0,106,0,0,8,0,0,0,0,0,0,14,2875,0,0,0,0,0,0,0,0,0,0,918,0,0,0,0,68,163,0,0,0,4,0,0,0,0,0,0,33,0,0,0,0,0,282,1456,0,0,0,0,0,0,0,0,2,0,1524,0,0,305,0,255,0,196,0,3443,0,0,0,130,135,0,0,14,0,0,0,577,7675,0,0,50,41,100,0,0,0,0,0,0,0,9,9860,0,0,0,144,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,973,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,8,0,1345,3424,0,0,0,3229,0,0,0,0,65,874,1858,0,0,0,0,0,0,304,0,0,0,0,31,0,0,0,0,0,0,11,0,0,0,0,0,0,3,1,0,70,0,0,242,0,0,0,0,0,0,0
"N14_HW",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,0,0,0,0,0,0,589,0,0,0,0,0,55,0,0,0,34,0,0,1337,23,516,365,82,0,0,6,0,0,3,0,2223,664,2,0,411,0,0,1322,8,37,0,0,0,0,0,22,0,0,0,0,17,0,0,0,0,0,686,0,0,0,0,0,950,0,0,0,0,0,0,0,21,0,0,60,0,0,0,0,0,0,5,0,0,30,1321,0,0,0,0,10,0,0,0,88,4,6195,0,0,0,0,71,221,8,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,278,1249,30,0,0,0,0,0,0,0,761,0,0,0,0,100,0,493,0,15,0,3550,0,0,0,212,1772,35,0,0,0,0,0,0,8800,0,0,0,153,0,0,0,0,0,0,3,0,0,1123,500,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,414,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,158,372,0,0,555,1584,844,1,0,0,0,816,159,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0
"N13_HW",50,0,0,0,0,0,0,0,0,0,0,0,0,286,0,677,0,72,0,1,1037,0,44,0,0,0,0,0,0,0,0,0,0,0,1343,0,0,0,0,0,0,0,598,0,6,164,0,46,1021,473,124,13,31,2530,0,69,235,4047,659,24,459,0,0,0,0,0,0,304,0,0,0,207,0,0,289,75,0,0,0,0,13,0,59,0,0,0,80,0,0,0,0,0,4,898,0,0,0,0,11,885,0,242,0,0,0,0,0,2,0,6,108,22,0,0,0,0,0,0,0,0,13,766,0,0,0,0,0,0,0,10,0,0,317,0,0,21,0,22,61,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,468,0,0,0,0,0,0,0,0,60,0,197,0,0,89,0,110,0,0,0,3109,0,0,0,41,4330,48,0,0,0,0,0,358,4093,0,0,0,13,0,0,0,0,0,0,0,0,0,2473,0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,0,0,0,44,139,0,5,0,52,30,180,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,118,0,0,0,5,162,881,191,0,1,0,0,40,333,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,964,0,0,0,0,0,0,0
