Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,strain
SRR28387348,AMPLICON,502,38562134,PRJNA1089552,SAMN40544394,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12508758,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992181,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM33,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3033,2024-03-20T00:33:00Z,1,3033,SRP496422,microbial
SRR28387349,AMPLICON,502,34781070,PRJNA1089552,SAMN40544393,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11253575,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992180,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM32,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3032,2024-03-20T00:33:00Z,1,3032,SRP496422,microbial
SRR28387350,AMPLICON,502,42862768,PRJNA1089552,SAMN40544392,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13706581,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992179,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM31,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3031,2024-03-20T00:33:00Z,1,3031,SRP496422,microbial
SRR28387351,AMPLICON,502,44705610,PRJNA1089552,SAMN40544365,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",14128587,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992178,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3004,2024-03-20T00:33:00Z,1,3004,SRP496422,microbial
SRR28387352,AMPLICON,502,42489782,PRJNA1089552,SAMN40544391,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13276086,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992177,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM30,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3030,2024-03-20T00:33:00Z,1,3030,SRP496422,microbial
SRR28387353,AMPLICON,502,40290018,PRJNA1089552,SAMN40544390,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12723302,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992176,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM29,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3029,2024-03-20T00:33:00Z,1,3029,SRP496422,microbial
SRR28387354,AMPLICON,502,36320202,PRJNA1089552,SAMN40544389,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11628857,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992175,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM28,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3028,2024-03-20T00:34:00Z,1,3028,SRP496422,microbial
SRR28387355,AMPLICON,502,39642940,PRJNA1089552,SAMN40544388,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12763360,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992174,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM27,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3027,2024-03-20T00:33:00Z,1,3027,SRP496422,microbial
SRR28387356,AMPLICON,502,44404410,PRJNA1089552,SAMN40544387,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",14188056,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992173,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM26,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3026,2024-03-20T00:33:00Z,1,3026,SRP496422,microbial
SRR28387357,AMPLICON,502,39135920,PRJNA1089552,SAMN40544386,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13188510,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992172,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM25,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3025,2024-03-20T00:33:00Z,1,3025,SRP496422,microbial
SRR28387358,AMPLICON,502,44622780,PRJNA1089552,SAMN40544385,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",14080624,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992171,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM24,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3024,2024-03-20T00:33:00Z,1,3024,SRP496422,microbial
SRR28387359,AMPLICON,502,41908968,PRJNA1089552,SAMN40544384,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13344438,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992170,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM23,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3023,2024-03-20T00:33:00Z,1,3023,SRP496422,microbial
SRR28387360,AMPLICON,502,42832648,PRJNA1089552,SAMN40544383,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13550183,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992169,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM22,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3022,2024-03-20T00:34:00Z,1,3022,SRP496422,microbial
SRR28387361,AMPLICON,502,37513456,PRJNA1089552,SAMN40544382,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12383954,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992168,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM21,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3021,2024-03-20T00:33:00Z,1,3021,SRP496422,microbial
SRR28387362,AMPLICON,502,37624900,PRJNA1089552,SAMN40544364,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12029391,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992167,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3003,2024-03-20T00:33:00Z,1,3003,SRP496422,microbial
SRR28387363,AMPLICON,502,33195754,PRJNA1089552,SAMN40544381,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10797543,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992166,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM20,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3020,2024-03-20T00:33:00Z,1,3020,SRP496422,microbial
SRR28387364,AMPLICON,502,44489248,PRJNA1089552,SAMN40544380,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",14126232,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992165,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM19,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3019,2024-03-20T00:33:00Z,1,3019,SRP496422,microbial
SRR28387365,AMPLICON,502,44565050,PRJNA1089552,SAMN40544379,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",14445448,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992164,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM18,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3018,2024-03-20T00:33:00Z,1,3018,SRP496422,microbial
SRR28387366,AMPLICON,502,41925032,PRJNA1089552,SAMN40544378,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13250925,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992163,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM17,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3017,2024-03-20T00:33:00Z,1,3017,SRP496422,microbial
SRR28387367,AMPLICON,502,46889812,PRJNA1089552,SAMN40544377,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",15060366,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992162,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM16,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3016,2024-03-20T00:33:00Z,1,3016,SRP496422,microbial
SRR28387368,AMPLICON,502,41379860,PRJNA1089552,SAMN40544376,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13304809,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992161,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM15,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3015,2024-03-20T00:34:00Z,1,3015,SRP496422,microbial
SRR28387369,AMPLICON,502,44316560,PRJNA1089552,SAMN40544375,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13978090,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992160,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM14,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3014,2024-03-20T00:33:00Z,1,3014,SRP496422,microbial
SRR28387370,AMPLICON,502,36253436,PRJNA1089552,SAMN40544374,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11845748,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992159,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM13,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3013,2024-03-20T00:33:00Z,1,3013,SRP496422,microbial
SRR28387371,AMPLICON,502,33929678,PRJNA1089552,SAMN40544373,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10837661,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992158,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM12,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3012,2024-03-20T00:33:00Z,1,3012,SRP496422,microbial
SRR28387372,AMPLICON,502,30523608,PRJNA1089552,SAMN40544372,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",9917573,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992157,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM11,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3011,2024-03-20T00:33:00Z,1,3011,SRP496422,microbial
SRR28387373,AMPLICON,502,37830720,PRJNA1089552,SAMN40544363,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12160916,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992156,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3002,2024-03-20T00:33:00Z,1,3002,SRP496422,microbial
SRR28387374,AMPLICON,502,41751842,PRJNA1089552,SAMN40544362,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13180416,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992155,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3001,2024-03-20T00:34:00Z,1,3001,SRP496422,microbial
