Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR149258,WGS,272,6922600651,PRJDB7378,SAMD00136650,MIMS.me.human-gut,4211736058,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140009,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.79 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:54:00Z,1,SAMD00136650,10104,DRP005644
DRR149259,WGS,239,8582865553,PRJDB7378,SAMD00136651,MIMS.me.human-gut,4805922752,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140010,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.80 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:54:00Z,1,SAMD00136651,10189,DRP005644
DRR149260,WGS,255,6360923915,PRJDB7378,SAMD00136652,MIMS.me.human-gut,3537122053,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140011,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.81 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:52:00Z,1,SAMD00136652,10192,DRP005644
DRR149262,WGS,275,6524176869,PRJDB7378,SAMD00136654,MIMS.me.human-gut,3837697081,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140013,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.83 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:53:00Z,1,SAMD00136654,10205,DRP005644
DRR149263,WGS,276,8738744191,PRJDB7378,SAMD00136655,MIMS.me.human-gut,5209059252,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140014,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.84 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:56:00Z,1,SAMD00136655,10257,DRP005644
DRR149264,WGS,278,7792292418,PRJDB7378,SAMD00136656,MIMS.me.human-gut,4787222225,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140015,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.85 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:54:00Z,1,SAMD00136656,10291,DRP005644
DRR149265,WGS,275,9594258258,PRJDB7378,SAMD00136657,MIMS.me.human-gut,5954859918,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140016,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.86 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:54:00Z,1,SAMD00136657,10297,DRP005644
DRR149268,WGS,276,9217737624,PRJDB7378,SAMD00136660,MIMS.me.human-gut,5599515516,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140019,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.89 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:53:00Z,1,SAMD00136660,10355,DRP005644
DRR149269,WGS,272,8755359499,PRJDB7378,SAMD00136661,MIMS.me.human-gut,5435627601,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140020,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.90 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:53:00Z,1,SAMD00136661,10068,DRP005644
DRR174579,WGS,292,7558134134,PRJDB7378,SAMD00166354,MIMS.me.human-gut,3805151804,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165190,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:48:00Z,1,SAMD00166354,10064,DRP005644
DRR174580,WGS,291,6400940811,PRJDB7378,SAMD00166355,MIMS.me.human-gut,3043145828,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165191,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:49:00Z,1,SAMD00166355,10112,DRP005644
DRR174582,WGS,293,5365885205,PRJDB7378,SAMD00166357,MIMS.me.human-gut,2621109960,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165193,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:48:00Z,1,SAMD00166357,10166,DRP005644
DRR174583,WGS,280,5441835086,PRJDB7378,SAMD00166358,MIMS.me.human-gut,2632802658,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165194,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:47:00Z,1,SAMD00166358,10167,DRP005644
DRR174585,WGS,292,5642394356,PRJDB7378,SAMD00166360,MIMS.me.human-gut,2649268993,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165196,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:47:00Z,1,SAMD00166360,10243,DRP005644
DRR174586,WGS,293,5770522937,PRJDB7378,SAMD00166361,MIMS.me.human-gut,2671370254,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165197,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:49:00Z,1,SAMD00166361,10319,DRP005644
DRR174587,WGS,291,5804092961,PRJDB7378,SAMD00166362,MIMS.me.human-gut,3008178435,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165198,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:48:00Z,1,SAMD00166362,10337,DRP005644
DRR174588,WGS,275,5203636529,PRJDB7378,SAMD00166363,MIMS.me.human-gut,2416295970,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165199,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:48:00Z,1,SAMD00166363,10360,DRP005644
DRR174589,WGS,274,4823310986,PRJDB7378,SAMD00166364,MIMS.me.human-gut,2225005234,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165200,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:48:00Z,1,SAMD00166364,10369,DRP005644
DRR174590,WGS,289,5765954552,PRJDB7378,SAMD00166365,MIMS.me.human-gut,2744299116,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165201,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:47:00Z,1,SAMD00166365,10395,DRP005644
DRR174591,WGS,289,6582657254,PRJDB7378,SAMD00166366,MIMS.me.human-gut,3232550637,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165202,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:49:00Z,1,SAMD00166366,10423,DRP005644
DRR174592,WGS,288,7117522792,PRJDB7378,SAMD00166367,MIMS.me.human-gut,3582492062,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165203,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:46:00Z,1,SAMD00166367,10433,DRP005644
DRR174593,WGS,293,7202896932,PRJDB7378,SAMD00166368,MIMS.me.human-gut,3592881030,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165204,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:48:00Z,1,SAMD00166368,10451,DRP005644
DRR174594,WGS,293,7351531531,PRJDB7378,SAMD00166369,MIMS.me.human-gut,3574383520,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165205,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:45:00Z,1,SAMD00166369,10455,DRP005644
DRR174595,WGS,289,7548455458,PRJDB7378,SAMD00166370,MIMS.me.human-gut,3645458834,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165206,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:45:00Z,1,SAMD00166370,10457,DRP005644
DRR174596,WGS,291,7044840762,PRJDB7378,SAMD00166371,MIMS.me.human-gut,3181533218,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165207,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:47:00Z,1,SAMD00166371,10509,DRP005644
DRR174597,WGS,282,5552803921,PRJDB7378,SAMD00166372,MIMS.me.human-gut,2541295588,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165208,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:45:00Z,1,SAMD00166372,10538,DRP005644
DRR174599,WGS,289,3410053033,PRJDB7378,SAMD00166374,MIMS.me.human-gut,1745708355,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165210,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:46:00Z,1,SAMD00166374,10554,DRP005644
