Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,Collection_Date,host_subject_id,subject_information
SRR8057589,AMPLICON,350,20554100,PRJNA436359,SAMN10242276,Metagenome or environmental,10097213,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887200,USA,North America,USA,Homo sapiens,Illumina MiSeq,G93184,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G93184,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G93184_SubjectID_8397,
SRR8057595,AMPLICON,350,21773850,PRJNA436359,SAMN10242068,Metagenome or environmental,15404971,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887194,USA,North America,USA,Homo sapiens,Illumina MiSeq,G104259,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G104259,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G104259_SubjectID_9131,
SRR8057598,AMPLICON,350,39135950,PRJNA436359,SAMN10241884,Metagenome or environmental,25653221,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887191,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94707,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94707,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94707_SubjectID_4289,
SRR8057599,AMPLICON,350,69203050,PRJNA436359,SAMN10241885,Metagenome or environmental,46254862,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887190,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94706,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94706,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94706_SubjectID_5256,
SRR8057600,AMPLICON,350,29172500,PRJNA436359,SAMN10241886,Metagenome or environmental,16703373,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887189,USA,North America,USA,Homo sapiens,Illumina MiSeq,G75090,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75090,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G75090_SubjectID_41,
SRR8057601,AMPLICON,350,23895900,PRJNA436359,SAMN10242062,Metagenome or environmental,13545390,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887188,USA,North America,USA,Homo sapiens,Illumina MiSeq,G75211,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75211,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G75211_SubjectID_10377,
SRR8057602,AMPLICON,350,23716350,PRJNA436359,SAMN10242061,Metagenome or environmental,13259728,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887187,USA,North America,USA,Homo sapiens,Illumina MiSeq,G75210,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75210,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G75210_SubjectID_10377,
SRR8057617,AMPLICON,350,18785550,PRJNA436359,SAMN10242386,Metagenome or environmental,11931030,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887172,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94470,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94470,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94470_SubjectID_11250,
SRR8057625,AMPLICON,350,8840650,PRJNA436359,SAMN10242603,Metagenome or environmental,6041849,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887164,USA,North America,USA,Homo sapiens,Illumina MiSeq,G96040,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96040,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G96040_SubjectID_10916,
SRR8057631,AMPLICON,350,32827900,PRJNA436359,SAMN10242415,Metagenome or environmental,21508032,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887158,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94633,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94633,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94633_SubjectID_2743,
