Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR18272840,WGS,296,9501685294,PRJNA1196639,SAMN26423142,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3299023663,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case69,mising,SRX14411228,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,PKZ_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:01:00Z,2,PKZ_0,SRP551143
SRR18272843,WGS,297,11194588351,PRJNA1196639,SAMN26423139,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3575450743,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case66,mising,SRX14411225,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,OWX_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:58:00Z,2,OWX_0,SRP551143
SRR18272844,WGS,298,10348028166,PRJNA1196639,SAMN26423138,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3308655893,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case65,mising,SRX14411224,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,MJ_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T08:19:00Z,2,MJ_6,SRP551143
SRR18272850,WGS,297,10688086692,PRJNA1196639,SAMN26423133,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3395913961,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case60,mising,SRX14411218,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LYQ_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:50:00Z,2,LYQ_6,SRP551143
SRR18272852,WGS,297,10360057272,PRJNA1196639,SAMN26423131,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3288251452,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case58,mising,SRX14411216,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LXX_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:30:00Z,2,LXX_6,SRP551143
SRR18272855,WGS,297,10432486200,PRJNA1196639,SAMN26423128,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3361526959,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case55,mising,SRX14411213,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LWR_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:17:00Z,2,LWR_6,SRP551143
SRR18272860,WGS,297,11961101480,PRJNA1196639,SAMN26423079,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3873785658,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case6,mising,SRX14411208,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,CJB_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:26:00Z,2,CJB_6,SRP551143
SRR18272861,WGS,297,10818141973,PRJNA1196639,SAMN26423123,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3443603135,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case50,mising,SRX14411207,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LLS_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:37:00Z,2,LLS_6,SRP551143
SRR18272862,WGS,297,9946333679,PRJNA1196639,SAMN26423122,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3138543842,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case49,mising,SRX14411206,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LL_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:32:00Z,2,LL_6,SRP551143
SRR18272863,WGS,297,10692088779,PRJNA1196639,SAMN26423121,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3450467139,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case48,mising,SRX14411205,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LL_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:59:00Z,2,LL_12,SRP551143
SRR18272865,WGS,298,10662670455,PRJNA1196639,SAMN26423119,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3465586389,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case46,mising,SRX14411203,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LJS_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:59:00Z,2,LJS_6,SRP551143
SRR18272866,WGS,297,9504624195,PRJNA1196639,SAMN26423118,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3032076249,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case45,mising,SRX14411202,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LJQ_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T05:46:00Z,2,LJQ_6,SRP551143
SRR18272869,WGS,297,10322394080,PRJNA1196639,SAMN26423115,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3303408268,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case42,mising,SRX14411199,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LHW_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:28:00Z,2,LHW_6,SRP551143
