Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR18272818,WGS,297,10536887757,PRJNA812695,SAMN26423162,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3343043267,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case89,mising,SRX14411250,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,WSN_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-09T01:57:00Z,1,WSN_0,SRP363091
SRR18272824,WGS,297,10677582189,PRJNA812695,SAMN26423156,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3501518686,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case83,mising,SRX14411244,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,TY_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-13T06:20:00Z,1,TY_12,SRP363091
SRR18272825,WGS,297,10606122425,PRJNA812695,SAMN26423155,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3438412838,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case82,mising,SRX14411243,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,TY_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-13T05:07:00Z,1,TY_0,SRP363091
SRR18272826,WGS,297,9543002297,PRJNA812695,SAMN26423154,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3091110874,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case81,mising,SRX14411242,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,TMM,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-13T05:36:00Z,1,TMM,SRP363091
SRR18272827,WGS,297,10237822723,PRJNA812695,SAMN26423082,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3293779233,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case9,mising,SRX14411241,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,CWJ_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-12T17:48:00Z,1,CWJ_0,SRP363091
SRR18272828,WGS,297,10907998935,PRJNA812695,SAMN26423153,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3520965771,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case80,mising,SRX14411240,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,SYY,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-13T05:38:00Z,1,SYY,SRP363091
SRR18272831,WGS,298,9805704500,PRJNA812695,SAMN26423150,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3133596027,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case77,mising,SRX14411237,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,QZJ_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-13T05:44:00Z,1,QZJ_12,SRP363091
SRR18272832,WGS,297,9917443757,PRJNA812695,SAMN26423149,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3272431063,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case76,mising,SRX14411236,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,QZJ_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-13T05:47:00Z,1,QZJ_0,SRP363091
SRR18272833,WGS,298,10933690508,PRJNA812695,SAMN26423148,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3556747452,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case75,mising,SRX14411235,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,QYH_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-13T05:26:00Z,1,QYH_12,SRP363091
SRR18272834,WGS,297,11033117015,PRJNA812695,SAMN26423147,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3510723790,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case74,mising,SRX14411234,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,QYH_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-14T02:10:00Z,1,QYH_0,SRP363091
SRR18272838,WGS,297,11662089117,PRJNA812695,SAMN26423081,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3708908891,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case8,mising,SRX14411230,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,CSZ_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-14T05:58:00Z,1,CSZ_12,SRP363091
SRR18272841,WGS,297,9722709598,PRJNA812695,SAMN26423141,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3182161017,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case68,mising,SRX14411227,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,PJ_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-14T03:53:00Z,1,PJ_12,SRP363091
SRR18272842,WGS,297,10373919932,PRJNA812695,SAMN26423140,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3438183438,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case67,mising,SRX14411226,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,PJ_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-12T05:32:00Z,1,PJ_0,SRP363091
SRR18272845,WGS,297,10631732786,PRJNA812695,SAMN26423137,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3452519276,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case64,mising,SRX14411223,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,MJ_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-14T02:47:00Z,1,MJ_12,SRP363091
SRR18272846,WGS,297,9625313281,PRJNA812695,SAMN26423136,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3125896046,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case63,mising,SRX14411222,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,MJ_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-14T02:27:00Z,1,MJ_0,SRP363091
SRR18272847,WGS,297,9806772129,PRJNA812695,SAMN26423135,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3159670105,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case62,mising,SRX14411221,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LZF_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-14T03:14:00Z,1,LZF_12,SRP363091
SRR18272848,WGS,297,10711854828,PRJNA812695,SAMN26423134,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3442147731,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case61,mising,SRX14411220,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LZF_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-14T02:18:00Z,1,LZF_0,SRP363091
SRR18272849,WGS,297,10142526583,PRJNA812695,SAMN26423080,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3285523499,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case7,mising,SRX14411219,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,CSZ_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-13T07:19:00Z,1,CSZ_0,SRP363091
SRR18272851,WGS,298,10820820883,PRJNA812695,SAMN26423132,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3531007088,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case59,mising,SRX14411217,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LY,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-14T02:43:00Z,1,LY,SRP363091
SRR18272853,WGS,298,11089950183,PRJNA812695,SAMN26423130,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3606923911,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case57,mising,SRX14411215,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LXN,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-14T03:45:00Z,1,LXN,SRP363091
SRR18272854,WGS,297,10522838659,PRJNA812695,SAMN26423129,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3500670473,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case56,mising,SRX14411214,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LXL,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-14T02:30:00Z,1,LXL,SRP363091
SRR18272856,WGS,297,9923041621,PRJNA812695,SAMN26423127,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3198539433,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case54,mising,SRX14411212,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LTY,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-14T01:59:00Z,1,LTY,SRP363091
SRR18272857,WGS,298,10514969266,PRJNA812695,SAMN26423126,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3416751438,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case53,mising,SRX14411211,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LT,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-14T04:01:00Z,1,LT,SRP363091
SRR18272858,WGS,297,9745646288,PRJNA812695,SAMN26423125,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3214533613,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case52,mising,SRX14411210,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LQQ_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2022-03-12T18:24:00Z,1,LQQ_12,SRP363091
