"","(1E,4Z,6E)-5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one","(2S)-2-[[(2S)-2-azaniumyl-4-methylpentanoyl]amino]-3-phenylpropanoate","(7r)-4,7-Dihydroxy-N,N,N-Trimethyl-10-Oxo-3,5,9-Trioxa-4-Phosphaheptacosan-1-Aminium 4-Oxide","(R)-(+)-Atenolol","(R)-Baclofen","(R,S)-ANATABINE","1,5-isoquinolinediol","1-Isomangostin","1-O-palmitoyl-sn-glycero-3-phosphocholine","1-Oleoylglycerophosphocholine","1-Palmitoylglycerophosphocholine","1-oxo-1,2-dihydroisoquinoline-3-carboxylic acid","1-phenyl-1H-pyrazole-5-carboxylic acid","1453-93-6","15861-40-2","2,3-Diaminonaphthalene","2,3-Diaminonaphthalene (Chimeric precursor selection)","2,6-DIMETHYLQUINOLINE","2-(1H-imidazol-2-yl)benzoic acid","2-Amino-1-phenylethanol","2-methyl-3-(pyridin-2-yl)benzoic acid","2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxylic acid","2-phenyloxazole-5-carboxylic acid","2227803-25-8","23012-16-0","2971-31-5","3-(2-aminocyclohexyl)propanoic acid","3-Acetamidobenzoic acid","3-Acetamidophenol","3-Cyclopropylquinoline-2-carboxylic acid","3-isomangostin","34014-51-2","4-Aminoquinoline-2-carboxylic acid","4-hydroxyisoquinoline-3-carboxylic acid","4-methyl-2-propyl-1,3-oxazole-5-carboxylic acid","4-methylquinoline-6-carboxylic Acid","5-methyl-1-(4-methylphenyl)-1H-pyrazole-4-carboxylic acid","5-methyl-2-(3-methylphenyl)-1H-imidazole-4-carboxylic acid","76474-56-1","8-Aminooctanoic acid","8-HYDROXYQUINOLINE","8-HYDROXYQUINOLINE (Chimeric precursor selection)","8-methylquinoline-5-carboxylic acid","883715-21-7","890-38-0","961-07-9","98483-00-2","Ala-phe","BEPHENIUM","Benzododecinium","Bisdemethoxycurcumin","Butylscopolamine","CHEMBL5028245","CID 6993119","Cer 18:1;2O/16:0","Cer 18:5;2O/9:0;O","Cer 27:5;3O","Cer 34:1;2O","Columbamine","Cratoxyarborenone E","Cratoxylone","D-Tryptophan","D-phenylalanine","D-tyrosine","DL-Tryptophan","Demethoxycurcumin","Fendizoic acid","Feruloylputrescine","GARCINONE D","GLYCOCHENODEOXYCHOLIC ACID","Garcinone C","Glycitein","Glycocholic acid","Glycoursodeoxycholic acid","H-ILE-TRP-OH","H-gamma-glu-phe-oh","Hispidol","INDOLE-3-CARBOXALDEHYDE","INDOLE-3-CARBOXALDEHYDE (Chimeric precursor selection)","Indolizine-1-carboxylic acid","Jatrorrhizine","Jineol","L-phenylalanine","L-tryptophan","L-tyrosine","LETESTUIANIN B","LEVOFLOXACIN","LPC 16:0","LPC 16:1","LPC 18:0","LPC 18:1","LPC 18:2","LPC 18:3","LPE 16:0","LPE 18:0","Levocetirizine","METHYL NICOTINATE","Moxacin","N-(5-acetamidopentyl)acetamide","N-Valylphenylalanine","NCGC00024645-01","NCGC00380823-01!2-(14-methylpentadecanoylamino)-3-phenylpropanoic acid","NCIOpen2_005816","Oleamide","PAF C-16-d4","Phe-ala","Piperolein B","Robinetin","SCHEMBL3706","SCHEMBL424527","SPB 18:0;2O","SPB 18:1;2O","Solanidine","Sulfachloropyridazine","TAUROCHENODEOXYCHOLIC ACID","TAUROCHOLIC ACID","TAURODEOXYCHOLIC ACID","Tauroursodeoxycholic acid","Tert-butyl N-[2-(1H-indol-3-yl)-1-(methylcarbamoyl)ethyl]carbamate","UFIPRAZOLE","VORTIOXETINE","Val-Tyr","Vidarabine","Z2961795382","abacavir","amitriptyline","amoxicillin","aspartame","atenolol","atorvastatin","baclofen","berberine","celecoxib","cetirizine","cholic acid","ciprofloxacin","curcumin","daidzein","diphenhydramine","diprotin A","doxepin","doxycycline","enoxolone","famotidine","fluconazole","gabapentin","gamma-Mangostin","genistein","glycodeoxycholic acid","hydroxyzine","lisinopril","loperamide","m-Tyramine","metoprolol","minocycline","minocycline zwitterion","montelukast","mycophenolic acid","naringenin chalcone","nortriptyline","octopamine","ofloxacin","piperine","protriptyline","ranitidine","sertraline","sphingosine","sulfadimethoxine","sulfamethazine","sulfamethizole","sulfapyridine","trans-Zeatin","trazodone","trimethoprim","tryptamine","tyramine","tyramine (Chimeric precursor selection)","valsartan","sample_clean"
"PLCL17719",6609,0,3540,0,0,3160,8791,5852,0,7240,0,0,0,0,0,0,0,0,0,2682,3930,0,0,0,0,0,0,0,7600,655,2926,0,0,0,0,0,0,0,0,0,0,0,0,7342,5256,0,0,2590,0,74160,33010,0,0,0,547,0,4716,547,30972,2926,2926,0,0,0,0,16910,0,0,0,0,0,0,5670,0,0,3090,0,0,0,26373,46458,52746,0,0,0,0,0,0,0,1180,724,0,0,0,3723,18319,0,1616,0,0,0,0,0,0,8260,1036,0,0,0,0,0,0,0,0,4149,0,2766,6915,0,0,0,3546,0,0,0,0,6464,7210,0,24488,0,0,33420,7851,9356,6752,15421,0,0,0,0,0,7400,0,0,9220,0,0,0,118800,0,0,37184,0,0,0,0,0,5040,0,7272,0,0,0,8570,20170,0,0,0,0,39310,2004,0,0,4740,37184,18592,0,"PLCL17719"
"PLCL17720",0,11732,2850,0,0,11840,0,6040,12572,0,18858,0,0,0,0,0,0,0,0,18410,3072,0,0,5260,0,0,0,0,0,2892,3020,0,0,0,0,0,2630,2630,0,0,1032,1032,0,6470,0,2092,1062,0,0,55728,23670,0,0,0,696,0,2542,696,2668,3020,3020,0,0,0,0,0,0,0,0,0,0,5460,0,0,1734,3822,0,0,0,0,4002,0,0,0,0,0,0,3143,0,950,0,0,0,33050,2577,0,0,5792,0,0,0,0,0,0,6650,0,9470,0,22140,0,0,0,0,0,0,88560,0,0,13872,0,0,3012,2092,0,17460,0,661768,8918,0,0,0,5220,0,0,53400,6120,0,0,0,0,0,0,0,0,0,7690,0,0,0,0,0,5020,3436,0,0,0,0,12430,0,0,7638,0,0,0,0,0,0,0,0,0,661300,0,6550,0,17760,3436,1718,0,"PLCL17720"
"PLCL17725",0,0,3243,0,0,0,5864,5708,0,15570,0,2712,0,0,0,0,0,0,0,0,0,0,1808,0,1808,0,0,0,0,0,2854,904,0,1808,0,0,0,0,3258,0,0,0,0,5962,2828,0,0,0,0,100740,23040,0,0,0,503,0,0,503,0,2854,2854,0,0,0,0,5440,0,0,0,0,0,0,9177,0,0,0,0,0,0,17592,0,35184,0,0,0,2172,0,0,0,1081,1557,0,0,0,2999,0,0,1574,0,0,0,0,0,0,7567,0,0,0,0,0,0,0,0,0,3762,0,2508,6270,0,0,0,1262,0,0,0,0,6296,0,0,7344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7890,0,0,0,19290,0,0,7928,0,9918,1653,0,0,0,0,3822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7928,3964,0,"PLCL17725"
"PLCL17842",0,12544,3180,0,0,0,0,6968,9584,18300,14376,0,0,0,2700,0,0,0,0,920,6084,0,0,0,0,0,0,0,12160,3746,3484,0,0,0,4984,0,0,0,0,830,900,1800,0,6454,37100,3904,1366,0,0,120180,42440,0,0,0,620,0,13400,620,9380,3484,3484,0,0,5013,0,60180,0,6140,0,0,0,0,0,0,0,5730,0,900,900,0,14070,0,0,0,11697,0,0,2396,0,1060,1830,0,0,0,3575,0,0,2684,0,0,0,0,0,0,7420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5308,3904,0,0,0,10736,13370,0,0,0,0,0,0,9304,13368,0,0,0,0,0,0,0,0,0,6820,0,0,0,0,0,0,0,0,0,0,8608,0,0,0,11622,0,0,0,0,0,0,0,0,0,0,4036,0,0,0,0,0,0,"PLCL17842"
"PLCL17858",0,21518,2337,0,0,0,0,4912,12016,11300,18024,0,0,24210,0,0,0,0,0,0,5208,0,0,0,0,0,0,0,15950,868,2456,0,0,0,4072,0,0,0,11628,501,1222,3666,0,11034,27236,0,1280,2645,0,69900,31370,0,0,0,610,0,17800,610,19828,2456,2456,0,1138,2781,0,16040,0,9330,0,0,0,0,13685,0,0,2772,0,0,0,0,29742,0,4552,0,6489,7752,0,3004,0,779,1130,0,0,0,5164,0,0,17248,0,0,0,0,0,0,5453,1058,0,0,0,0,0,0,0,0,11709,0,7806,19515,0,0,0,5252,0,0,0,0,68992,6468,0,0,0,0,0,0,13608,15680,0,0,0,0,0,0,0,0,0,12510,0,0,0,56410,0,8740,0,0,0,0,0,9530,25300,0,8784,0,0,0,9010,87770,0,0,0,0,0,3420,6400,0,0,0,0,0,"PLCL17858"
"PLCL17860",0,0,3738,0,0,0,0,6028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3014,0,0,0,0,0,0,0,0,0,0,0,0,5920,0,0,0,2955,0,0,30520,0,0,0,507,0,0,507,0,3014,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246,0,0,0,0,2587,0,0,0,0,0,0,0,0,0,8722,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLCL17860"
"PLCL17871",0,0,2973,0,0,0,0,5424,0,0,0,0,0,0,1758,0,0,0,0,1186,0,0,0,0,0,0,0,0,7140,2004,2712,0,0,0,0,0,0,0,0,0,586,1172,0,6922,13300,0,1270,0,0,62940,25510,0,0,0,604,0,9606,604,11472,2712,2712,0,0,2091,0,7440,0,0,0,0,0,0,8680,0,0,3831,0,586,586,0,17208,0,0,0,4879,0,0,0,0,991,0,0,0,0,2904,0,0,1768,0,0,0,0,0,0,6937,0,0,0,0,0,0,0,0,0,2979,0,1986,4965,0,0,0,5140,0,0,0,0,7072,8939,0,0,0,0,0,0,6136,0,0,0,0,0,0,0,2992,0,0,7020,0,0,0,58010,0,0,30212,0,0,0,0,0,0,0,7248,0,0,0,14110,39240,0,0,0,0,0,4060,0,0,0,30212,15106,0,"PLCL17871"
"PLCL18228",0,0,3084,0,0,0,0,6092,0,24380,0,0,0,0,148050,0,0,0,0,0,3000,0,0,0,0,0,0,0,7840,500,3046,0,0,0,4008,0,0,0,0,0,49350,98700,0,6480,3856,0,0,0,0,145320,42770,0,0,0,578,0,12230,578,9380,3046,3046,0,1042,3642,0,0,0,5220,0,0,0,0,0,0,1441,3663,0,49350,49350,0,14070,0,4168,0,8498,0,0,0,0,1028,2438,0,1102,0,3443,0,0,0,0,0,0,0,0,0,7196,0,0,0,0,0,0,0,0,0,0,0,0,0,11528,0,0,5058,0,0,0,0,0,8547,0,0,0,0,0,0,2520,12616,0,0,0,0,0,0,2560,0,0,6740,0,0,0,10280,0,0,0,0,0,0,0,0,0,0,13350,0,0,0,5400,36020,0,0,0,0,0,2696,0,0,0,0,0,0,"PLCL18228"
"PLCL18230",0,8953,3159,0,0,0,0,5220,21352,6720,32028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6530,2132,2610,0,0,0,0,0,0,0,0,0,0,0,0,8008,24056,16248,1604,3540,0,77160,20130,0,0,0,574,0,5733,574,2532,2610,2610,0,0,3702,0,56660,0,5000,0,0,0,0,0,0,0,3081,2628,0,0,0,3798,0,0,0,8638,0,0,5338,0,1053,672,0,0,0,4192,5418,0,1962,0,0,0,0,0,0,7371,1416,0,0,0,0,0,0,0,0,1551,0,1034,2585,0,0,0,3164,16248,0,0,0,7848,7189,0,4056,0,0,2620,2322,2316,7352,0,3942,0,0,0,7670,6744,0,0,7320,0,0,0,85340,0,0,0,0,0,0,0,21570,7320,0,8886,0,0,0,0,35740,0,0,0,0,0,0,14000,0,0,0,0,0,"PLCL18230"
"PLCL18235",0,0,3681,1040,0,0,1107,5360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2680,0,0,0,0,0,0,0,0,0,0,0,0,6448,30504,0,0,0,1082,5634,30670,0,0,0,653,0,0,653,0,2680,2680,0,0,1734,0,18230,0,0,0,0,0,0,3619,0,645,7626,2512,0,0,3321,0,6642,0,0,4046,0,0,0,0,1227,0,810,0,0,2260,0,0,0,0,0,0,0,0,0,8589,0,0,1088,0,0,0,0,0,0,0,0,0,0,5160,0,0,1194,0,0,0,0,0,17794,4160,10912,0,18450,0,0,0,0,0,3768,9738,0,0,0,3980,0,0,7000,0,10728,0,6040,0,0,0,0,0,0,0,24120,0,0,0,0,0,0,0,64560,0,0,41460,0,0,0,12500,0,0,0,0,0,"PLCL18235"
"PLCL18236",0,0,2907,0,0,0,0,5112,4108,16250,6162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2556,0,0,0,0,0,0,0,14340,0,0,0,0,8662,37888,0,0,3140,0,130020,31820,0,0,0,0,0,692,0,5796,2556,2556,0,0,0,0,19350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8694,0,0,0,0,9560,0,1027,0,969,1625,0,0,0,3372,0,0,1062,0,0,0,0,0,0,6783,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4248,0,0,0,0,0,37460,0,0,4960,0,0,0,0,3326,0,5584,0,0,8300,0,0,0,7790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5350,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLCL18236"
"PLCL18250",0,61173,3585,0,0,0,0,7931,16776,11760,25164,0,0,0,0,0,0,0,0,2925,4632,0,0,0,0,0,0,0,10840,772,5828,0,0,0,0,0,0,0,0,0,0,0,0,7948,18144,3504,3438,0,0,92460,65040,0,0,0,600,0,21510,600,11624,4338,3593,0,0,0,0,25990,0,9210,0,0,0,0,28504,0,0,5991,0,0,0,0,17436,0,0,0,0,0,0,4194,0,1195,1176,0,0,0,3851,0,0,2482,0,0,0,0,0,0,8365,0,0,0,0,0,0,0,0,0,13533,0,9022,22555,0,0,0,4704,3504,0,0,0,9928,13979,0,7992,0,0,0,0,7568,11776,0,0,0,0,0,0,3952,0,0,6850,0,0,0,142800,0,13740,4816,0,0,0,0,0,5110,0,8160,0,0,0,6300,59930,0,0,0,0,0,2076,0,6080,0,4816,2408,0,"PLCL18250"
