Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,rel_to_oxygen,ReleaseDate,create_date,version,samp_collect_device,Sample Name,SRA Study
SRR33980685,AMPLICON,446,91995859,PRJNA1276713,SAMN49082384,Metagenome or environmental,29301775,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179129,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 217,20.044923 N 99.894760 E,BH217,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH217,SRP592103
SRR33980686,AMPLICON,446,97912442,PRJNA1276713,SAMN49082437,Metagenome or environmental,30991138,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179128,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 334,20.044923 N 99.894760 E,BH334,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH334,SRP592103
SRR33980687,AMPLICON,446,92215665,PRJNA1276713,SAMN49082436,Metagenome or environmental,29524297,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179127,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 332,20.044923 N 99.894760 E,BH332,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH332,SRP592103
SRR33980688,AMPLICON,446,90999134,PRJNA1276713,SAMN49082435,Metagenome or environmental,29563199,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179126,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 331,20.044923 N 99.894760 E,BH331,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH331,SRP592103
SRR33980689,AMPLICON,446,91940310,PRJNA1276713,SAMN49082434,Metagenome or environmental,29823219,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179125,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 328,20.044923 N 99.894760 E,BH328,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH328,SRP592103
SRR33980690,AMPLICON,446,91408271,PRJNA1276713,SAMN49082433,Metagenome or environmental,28262783,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179124,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 327,20.044923 N 99.894760 E,BH327,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH327,SRP592103
SRR33980691,AMPLICON,446,91747647,PRJNA1276713,SAMN49082432,Metagenome or environmental,29058603,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179123,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 325,20.044923 N 99.894760 E,BH325,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH325,SRP592103
SRR33980692,AMPLICON,446,91260871,PRJNA1276713,SAMN49082431,Metagenome or environmental,28551468,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179122,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 323,20.044923 N 99.894760 E,BH323,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH323,SRP592103
SRR33980693,AMPLICON,446,91854884,PRJNA1276713,SAMN49082430,Metagenome or environmental,28483198,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179121,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 320,20.044923 N 99.894760 E,BH320,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH320,SRP592103
SRR33980694,AMPLICON,446,91782207,PRJNA1276713,SAMN49082429,Metagenome or environmental,29082417,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179120,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 319,20.044923 N 99.894760 E,BH319,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH319,SRP592103
