Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,replicate
SRR22269665,AMPLICON,493,65236718,PRJNA901136,SAMN31706264,Metagenome or environmental,21256164,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-29,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX18245845,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,nc12,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,NC12,SRP407636,replicate = biological replicate 12
SRR22269666,AMPLICON,494,34384376,PRJNA901136,SAMN31706263,Metagenome or environmental,11393863,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-29,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX18245844,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,nc11,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,NC11,SRP407636,replicate = biological replicate 11
SRR22269667,AMPLICON,495,37657620,PRJNA901136,SAMN31706262,Metagenome or environmental,12383431,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-29,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX18245843,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,nc10,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,NC10,SRP407636,replicate = biological replicate 10
SRR22269668,AMPLICON,492,34273704,PRJNA901136,SAMN31706261,Metagenome or environmental,11433874,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-29,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX18245842,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,nc9,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,NC9,SRP407636,replicate = biological replicate 9
SRR22269669,AMPLICON,494,34803288,PRJNA901136,SAMN31706260,Metagenome or environmental,11497743,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-29,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX18245841,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,nc8,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,NC8,SRP407636,replicate = biological replicate 8
SRR22269670,AMPLICON,492,33408276,PRJNA901136,SAMN31706259,Metagenome or environmental,11201390,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-29,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX18245840,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,nc7,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,NC7,SRP407636,replicate = biological replicate 7
SRR22269671,AMPLICON,493,40437339,PRJNA901136,SAMN31706258,Metagenome or environmental,13321125,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-29,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX18245839,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,nc6,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,NC6,SRP407636,replicate = biological replicate 6
SRR22269672,AMPLICON,492,40203780,PRJNA901136,SAMN31706240,Metagenome or environmental,13259615,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-03-15,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX18245838,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,csu3,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,CSU3,SRP407636,
SRR22269673,AMPLICON,495,35558820,PRJNA901136,SAMN31706257,Metagenome or environmental,11686640,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-29,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX18245837,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,nc5,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,NC5,SRP407636,replicate = biological replicate 5
SRR22269674,AMPLICON,492,41451000,PRJNA901136,SAMN31706256,Metagenome or environmental,13770758,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-29,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX18245836,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,nc4,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,NC4,SRP407636,replicate = biological replicate 4
