"","3-oxo-Δ4,6-LCA","3-oxo-Δ4-LCA","3-oxoalloLCA","3-oxoLCA","7-oxoCA","3-oxo-Δ4-CDCA","7-oxoCDCA","βMCA","12-oxoDCA","3-oxoDCA","CDCA","MDCA","DCA","alloCDCA","3-oxoCA","UCA","CA","isoCA","TLCA","Δ5-3b-ol","isoalloLCA","isoLCA","LCA","alloLCA","3-oxoCDCA","isoDCA","isoCDCA","GDCA","GCDCA","UDCA","HDCA","ωMCA","αMCA","HCA","LCA-3S","GCA","UDCA-3S","CDCA-3S","DCA-3S","CA-3S","TUDCA","TCDCA","TDCA","T-βMCA","TCA","TLCA-3S","TCA-3S"
"CE079",1.596311784,"6.975376538",22.07292397,599.7162312,6.373808901,NA,8.707990864,NA,479.912275,59.59646538,27.5044149,NA,"364.3556402",NA,NA,"2.420636009",5.04797351,NA,NA,1.110392877,"34.05160723",136.338047,1199.064695,10.41561852,2.784288254,17.99096054,4.921225358,2.187459561,9.020752476,7.631309668,4.687490824,NA,NA,NA,16.84090869,1.568642648,1.79920352,"1.419410744",5.22564739,1.107519922,NA,1.574407261,0.422793007,NA,0.60042896,NA,NA
"CE080",1.723917549,"1.646280583",NA,190.860873,3.298600677,NA,19.07639802,NA,381.4828732,187.7385681,28.53334365,3.372247293,"9222.477927",8.511334965,0.46033496,"5.977354047",7.409915008,7.038487286,NA,5.850403154,"32.22769809",770.1654331,5127.6916,50.97259722,6.278326326,359.2290432,44.55329741,7.598812587,16.9798429,49.84393689,8.452544155,1.034167497,NA,2.064662735,23.26849097,8.070910853,36.58076588,"6.826072251",47.9298611,2.897959755,0.252586875,5.113200698,1.371213065,NA,1.693498505,0.294707435,NA
"CE081",3.50319217,"3.23956433",57.73670866,370.2686635,NA,NA,NA,NA,1991.579319,348.0814713,7.643178261,NA,"4636.540029",NA,0.400752064,"&lt; 0",6.615456753,NA,NA,3.195896502,"560.431101",543.129677,3171.508993,139.2148942,12.78933816,290.9966955,33.72513495,8.37581094,2.295744056,NA,3.493339758,NA,NA,NA,7.580190134,1.500514251,NA,"23.84728657",2.251469437,NA,NA,0.434601221,0.212708794,NA,0.335853488,NA,NA
"CE084",3.337583493,"3.255656231",28.16698052,568.613503,4.075651716,NA,13.27491468,NA,2382.487839,321.1458387,54.15169864,5.704667463,"14168.46687",NA,NA,"2.362480354",16.61417532,1.413792327,NA,19.9400371,"346.4558568",1621.340243,11918.33746,177.1541248,10.44538807,566.6297812,67.82028107,15.11790918,26.77455383,23.58828849,37.24007229,1.110782802,NA,NA,33.20999716,9.798101192,0.866254436,"1.924883129",3.009479308,0.237832256,NA,1.284071376,0.505150334,NA,0.50709833,NA,NA
"CE085",6.845854109,"1.855202181",NA,1125.752659,7.547769159,NA,31.70296604,NA,3893.707833,869.2632268,93.58449932,5.272145819,"21129.31931",51.04912733,0.401847839,"2.45559897",22.24562079,4.906688384,NA,3.562628463,"32.69795043",1407.752645,9903.135459,83.21950581,26.45161139,573.1636013,79.98926643,23.78934324,36.0203256,43.58133232,79.09209714,3.000530219,NA,1.022797778,3.926533324,7.342583601,0.676943865,"0.962921103",2.81608264,0.289995698,0.177201593,2.179892223,1.07370113,NA,0.638306339,NA,NA
"CE086-2",4.558846184,"3.376380512",28.2099283,403.4410399,24.57172938,NA,132.9687333,NA,393.635358,169.9390313,202.625865,27.66183803,"7938.35838",7.995312725,2.222373992,"45.18644161",46.12793321,5.757505919,NA,36.17157251,"419.5983695",877.8923866,5922.740613,126.2547428,13.9551805,165.01914,29.36598617,18.16401951,38.28457565,110.1911015,3.664935091,1.222693576,NA,1.889263746,38.62742994,5.5916413,0.724946409,"2.085016983",5.961268947,0.222354327,NA,0.464859004,0.165123797,NA,NA,0.396816217,NA
"CE087-2",1.623237412,"0.245892511",NA,199.3487236,6.926452709,NA,144.0257953,NA,3680.404956,742.045381,125.0793408,NA,"11345.93532",30.39079615,0.708247223,"139.2707167",14.74836867,6.483597119,NA,5.151995959,"24.52662121",875.2809705,6220.561973,63.20967149,18.57019473,306.0303206,44.43107928,7.554625826,7.496323525,140.7225964,3.671833485,NA,NA,1.109985669,12.44517706,2.365789354,0.489079486,"0.32798793",0.756838672,0.214049712,0.146562381,0.800471272,0.677417951,NA,0.588586804,NA,NA
"CE088-2",1.715016708,"2.744864474",NA,167.2515112,8.387457358,NA,87.22072656,NA,534.466707,142.2111185,139.4187738,9.117258371,"4613.890131",12.36743174,0.709252424,"19.09536311",15.58294574,2.123461982,NA,5.434344086,"66.73547721",327.9326549,2319.696848,30.94024859,12.2259772,124.7180028,22.46141494,5.368082343,8.245362309,101.4979704,16.36514199,1.891715654,NA,1.354860387,57.86213847,2.617103356,3.720693711,"2.541957057",6.940170815,NA,0.098426526,0.493769587,0.262483192,NA,0.220708515,0.532333572,NA
"CE089",0.655645007,"0.460462877",4.365599965,71.15004021,16.55192962,NA,46.18100511,NA,636.8426213,123.5087116,138.2586669,19.47590813,"23246.71133",NA,1.624453269,"5.62426026",93.6710886,4.476409374,NA,15.46176183,"183.9260312",785.8811096,9934.711806,113.7791897,9.193812599,633.4649367,67.10393381,1351.500377,638.7319381,29.2342106,15.80121914,NA,NA,0.229883648,93.59965887,538.2475509,1.212963007,"8.808670706",45.80839572,0.470827233,0.970474186,16.24353485,24.45826503,NA,18.73156887,1.076434664,NA
"CE090",4.072813573,"1.510205795",10.0451705,328.7878217,5.60667228,NA,15.89488691,NA,1919.26379,555.2041035,32.35094213,10.40007766,"15297.76172",NA,0.702123547,"9.51327945",13.20443576,1.018337949,NA,6.027316496,"140.1263545",713.7509977,3826.533315,59.55517764,14.4744919,410.1432272,46.31780676,16.70750262,8.869705093,17.36916534,32.06146801,1.538776454,NA,0.328498697,4.954385457,4.297656744,0.299243405,"0.984785012",1.265513086,0.209049997,0.193304314,0.724055826,0.701817268,NA,0.40131843,NA,NA
