sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
9002000001277188LL_4yearsFollowUpMGS,EGAN00002854587,SAMEA7985348,EGAR00002588976,EGAX00002368059,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001277357_4yearsFollowUpMGS,EGAN00002854584,SAMEA7985345,EGAR00002588975,EGAX00002368058,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001277992_4yearsFollowUpMGS,EGAN00002854566,SAMEA7985327,EGAR00002588953,EGAX00002368036,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001278158_4yearsFollowUpMGS,EGAN00002854565,SAMEA7985326,EGAR00002588952,EGAX00002368035,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001278828_4yearsFollowUpMGS,EGAN00002854402,SAMEA7985113,EGAR00002588813,EGAX00002367896,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001280218_4yearsFollowUpMGS,EGAN00002854330,SAMEA7985005,EGAR00002588864,EGAX00002367947,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001282052_4yearsFollowUpMGS,EGAN00002854589,SAMEA7985350,EGAR00002588978,EGAX00002368061,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001282722LL_4yearsFollowUpMGS,EGAN00002854344,SAMEA7985019,EGAR00002588846,EGAX00002367929,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001285887_4yearsFollowUpMGS,EGAN00002854455,SAMEA7985166,EGAR00002589127,EGAX00002368210,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001287540_4yearsFollowUpMGS,EGAN00002854447,SAMEA7985158,EGAR00002588940,EGAX00002368023,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001288940_4yearsFollowUpMGS,EGAN00002854444,SAMEA7985155,EGAR00002588939,EGAX00002368022,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001294380_4yearsFollowUpMGS,EGAN00002854541,SAMEA7985302,EGAR00002588926,EGAX00002368009,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001295079_4yearsFollowUpMGS,EGAN00002854443,SAMEA7985154,EGAR00002588925,EGAX00002368008,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001295785_4yearsFollowUpMGS,EGAN00002854532,SAMEA7985243,EGAR00002588898,EGAX00002367981,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001296209_4yearsFollowUpMGS,EGAN00002854577,SAMEA7985338,EGAR00002588964,EGAX00002368047,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001296521_4yearsFollowUpMGS,EGAN00002854414,SAMEA7985125,EGAR00002588805,EGAX00002367888,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001296684_4yearsFollowUpMGS,EGAN00002854413,SAMEA7985124,EGAR00002588804,EGAX00002367887,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001300660_4yearsFollowUpMGS,EGAN00002854544,SAMEA7985305,EGAR00002588907,EGAX00002367990,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001301588_4yearsFollowUpMGS,EGAN00002854583,SAMEA7985344,EGAR00002588974,EGAX00002368057,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
