sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
G37960,EGAN00001564828,SAMEA104165418,EGAR00001570285,EGAX00001525970,EGAS00001001704,age=48;ENA-CHECKLIST=ERC000026
G37961,EGAN00001564829,SAMEA104165419,EGAR00001570286,EGAX00001525971,EGAS00001001704,age=30;ENA-CHECKLIST=ERC000026
G37962,EGAN00001564830,SAMEA104165420,EGAR00001570287,EGAX00001525972,EGAS00001001704,age=73;ENA-CHECKLIST=ERC000026
G37963,EGAN00001564831,SAMEA104165421,EGAR00001570288,EGAX00001525973,EGAS00001001704,age=48;ENA-CHECKLIST=ERC000026
G37964,EGAN00001564832,SAMEA104165422,EGAR00001570289,EGAX00001525974,EGAS00001001704,age=40;ENA-CHECKLIST=ERC000026
G37965,EGAN00001564833,SAMEA104165423,EGAR00001570290,EGAX00001525975,EGAS00001001704,age=30;ENA-CHECKLIST=ERC000026
G37966,EGAN00001564834,SAMEA104165424,EGAR00001570291,EGAX00001525976,EGAS00001001704,age=35;ENA-CHECKLIST=ERC000026
G37967,EGAN00001564835,SAMEA104165425,EGAR00001570292,EGAX00001525977,EGAS00001001704,age=46;ENA-CHECKLIST=ERC000026
G37968,EGAN00001564836,SAMEA104165426,EGAR00001570293,EGAX00001525978,EGAS00001001704,age=56;ENA-CHECKLIST=ERC000026
G37969,EGAN00001564837,SAMEA104165427,EGAR00001570294,EGAX00001525979,EGAS00001001704,age=60;ENA-CHECKLIST=ERC000026
G37970,EGAN00001564838,SAMEA104165428,EGAR00001570295,EGAX00001525980,EGAS00001001704,age=34;ENA-CHECKLIST=ERC000026
G37971,EGAN00001564839,SAMEA104165429,EGAR00001570296,EGAX00001525981,EGAS00001001704,age=30;ENA-CHECKLIST=ERC000026
G37972,EGAN00001564840,SAMEA104165430,EGAR00001570297,EGAX00001525982,EGAS00001001704,age=52;ENA-CHECKLIST=ERC000026
G37973,EGAN00001564841,SAMEA104165431,EGAR00001570298,EGAX00001525983,EGAS00001001704,age=43;ENA-CHECKLIST=ERC000026
G37974,EGAN00001565821,SAMEA104166411,EGAR00001571278,EGAX00001526963,EGAS00001001704,age=35;ENA-CHECKLIST=ERC000026
G37975,EGAN00001564842,SAMEA104165432,EGAR00001570299,EGAX00001525984,EGAS00001001704,age=42;ENA-CHECKLIST=ERC000026
G37976,EGAN00001564843,SAMEA104165433,EGAR00001570300,EGAX00001525985,EGAS00001001704,age=34;ENA-CHECKLIST=ERC000026
G37978,EGAN00001564844,SAMEA104165434,EGAR00001570301,EGAX00001525986,EGAS00001001704,age=52;ENA-CHECKLIST=ERC000026
G37979,EGAN00001564845,SAMEA104165435,EGAR00001570302,EGAX00001525987,EGAS00001001704,age=25;ENA-CHECKLIST=ERC000026
G37980,EGAN00001564846,SAMEA104165436,EGAR00001570303,EGAX00001525988,EGAS00001001704,age=48;ENA-CHECKLIST=ERC000026
G37981,EGAN00001564847,SAMEA104165437,EGAR00001570304,EGAX00001525989,EGAS00001001704,age=32;ENA-CHECKLIST=ERC000026
G37982,EGAN00001564848,SAMEA104165438,EGAR00001570305,EGAX00001525990,EGAS00001001704,age=26;ENA-CHECKLIST=ERC000026
G37983,EGAN00001564849,SAMEA104165439,EGAR00001570306,EGAX00001525991,EGAS00001001704,age=42;ENA-CHECKLIST=ERC000026
G37984,EGAN00001564850,SAMEA104165440,EGAR00001570307,EGAX00001525992,EGAS00001001704,age=32;ENA-CHECKLIST=ERC000026
G37985,EGAN00001564851,SAMEA104165441,EGAR00001570308,EGAX00001525993,EGAS00001001704,age=58;ENA-CHECKLIST=ERC000026
G37986,EGAN00001564852,SAMEA104165442,EGAR00001570309,EGAX00001525994,EGAS00001001704,age=55;ENA-CHECKLIST=ERC000026
G37987,EGAN00001565810,SAMEA104166400,EGAR00001571267,EGAX00001526952,EGAS00001001704,age=43;ENA-CHECKLIST=ERC000026
G37988,EGAN00001564853,SAMEA104165443,EGAR00001570310,EGAX00001525995,EGAS00001001704,age=40;ENA-CHECKLIST=ERC000026
G37989,EGAN00001564854,SAMEA104165444,EGAR00001570311,EGAX00001525996,EGAS00001001704,age=44;ENA-CHECKLIST=ERC000026
G37990,EGAN00001564855,SAMEA104165445,EGAR00001570312,EGAX00001525997,EGAS00001001704,age=55;ENA-CHECKLIST=ERC000026
G37991,EGAN00001564856,SAMEA104165446,EGAR00001570313,EGAX00001525998,EGAS00001001704,age=33;ENA-CHECKLIST=ERC000026
G37992,EGAN00001564857,SAMEA104165447,EGAR00001570314,EGAX00001525999,EGAS00001001704,age=54;ENA-CHECKLIST=ERC000026
G37993,EGAN00001564858,SAMEA104165448,EGAR00001570315,EGAX00001526000,EGAS00001001704,age=55;ENA-CHECKLIST=ERC000026
G37994,EGAN00001564859,SAMEA104165449,EGAR00001570316,EGAX00001526001,EGAS00001001704,age=22;ENA-CHECKLIST=ERC000026
G37995,EGAN00001564860,SAMEA104165450,EGAR00001570317,EGAX00001526002,EGAS00001001704,age=61;ENA-CHECKLIST=ERC000026
G37996,EGAN00001564861,SAMEA104165451,EGAR00001570318,EGAX00001526003,EGAS00001001704,age=50;ENA-CHECKLIST=ERC000026
G37997,EGAN00001564862,SAMEA104165452,EGAR00001570319,EGAX00001526004,EGAS00001001704,age=27;ENA-CHECKLIST=ERC000026
G37998,EGAN00001564863,SAMEA104165453,EGAR00001570320,EGAX00001526005,EGAS00001001704,age=41;ENA-CHECKLIST=ERC000026
G37999,EGAN00001564864,SAMEA104165454,EGAR00001570321,EGAX00001526006,EGAS00001001704,age=32;ENA-CHECKLIST=ERC000026
G38000,EGAN00001564865,SAMEA104165455,EGAR00001570322,EGAX00001526007,EGAS00001001704,age=48;ENA-CHECKLIST=ERC000026
G38001,EGAN00001564866,SAMEA104165456,EGAR00001570323,EGAX00001526008,EGAS00001001704,age=48;ENA-CHECKLIST=ERC000026
G38002,EGAN00001564867,SAMEA104165457,EGAR00001570324,EGAX00001526009,EGAS00001001704,age=68;ENA-CHECKLIST=ERC000026
G38003,EGAN00001564868,SAMEA104165458,EGAR00001570325,EGAX00001526010,EGAS00001001704,age=52;ENA-CHECKLIST=ERC000026
G38004,EGAN00001564869,SAMEA104165459,EGAR00001570326,EGAX00001526011,EGAS00001001704,age=74;ENA-CHECKLIST=ERC000026
G38005,EGAN00001564870,SAMEA104165460,EGAR00001570327,EGAX00001526012,EGAS00001001704,age=52;ENA-CHECKLIST=ERC000026
G38006,EGAN00001564871,SAMEA104165461,EGAR00001570328,EGAX00001526013,EGAS00001001704,age=49;ENA-CHECKLIST=ERC000026
