"","2-aminoadipate","2-hydroxy-3-methylpentanoate","3-hydroxyanthranilic acid","4-acetamidobutanoate","acetyltyrosine","agmatine","alanine","arginine","asparagine","aspartate","butyrate","cadaverine","citrulline","D-alany-D-alanine","diaminopimelate","formylmethionine","gentisate","glutamine","glycine","histamine","histidine","homovanillate","hydrocinnamate","hydrocinnamate (phenylpropionate)","imidazole propionate","imidazoleacetic acid","indole","indole-3-propionate","indoleacetate","indolelactate","isoleucine","leucine","leucylglycine","lysine","methionine","methylimidazole acetic acid","N-acetylglutamine","N-acetylhistamine","N6-acetyl-L-lysine","N6-acetyllysine","ornithine","phenylalanine","phenyllactate","pipecolic acid","proline","pyridoxamine","quinolinate","serine","taurine","threonine","tryptamine","tryptophan","tyrosine","urocanic acid","valine","xanthurenate"
"9030-C",719983,3587210,1341.274497,4751.020507,NA,97010.0000000009,147566.5609,71856.42096,2688.502653,1677035198,NA,5482.00000000001,510769.5759,22374,NA,2160,NA,157190.2266,13234.13517,285412.4963,5075282.334,2662482,NA,181,NA,7293674.655,102031.2698,NA,NA,537582,304017656.8,335408166.4,5173,676663.2026,565525.3849,102466561.4,852,7532,102286.4266,956983,1534786.301,257094339.7,NA,158339.283,1880460.891,24,804192,33051.31702,16649.83484,52542.74863,255,32703657.31,48591353.96,726035.2021,287101528.3,1175923
"9030-D",1830789,15186520,3255.662827,13117.86409,NA,188077.999999999,316014.2908,839541.766,NA,891543043,340059369,662609.000000007,30882.72616,60254.0000000005,NA,11830,96384388,108092.6129,42765.89547,118708.838,6994951.296,5358360,531538147,671638,NA,4817998.597,136622.662,6939501,4075,182363,157862905.7,200996006.2,148858,122227.1038,281061.9861,10202155.42,7532,10832,53506.51142,6405493,952187.6998,116898935.2,5074658,79676.20493,974888.2696,146,1831944,23807.80227,1384710.185,46104.48556,1720,21151983.03,25607500.43,1421460.783,2641965106,1244177
"9030-E",3152789,26777736,1657.986851,5857.036314,1826878,120711,307582.3912,3623008.005,2654.877679,538685848,258760472,441946,53770.75759,50766.9999999997,NA,19473.0000000002,64848526,878492.4856,70207.75186,23227.95989,124245204.8,6484536,276695863,381414,NA,380755.7924,54649.79735,2916634,3163,554545,582486124.7,615196352.8,31844,816352.6883,514362.5721,677031.7465,10832,1585,20871.74586,4797323,356727.8982,986853236,14449422,11331.46028,5151141.552,1238,1900019,3456.426337,109692.7006,57536.34116,31855,328846287.3,245563007,116437.6559,605940470.9,1569386
"9029-A",417570,572043096,NA,3453.885763,NA,576547.999999997,395736.5004,7336873.609,968280.5895,349350096,21875659,1126885.00000001,22334.85988,86445.0000000006,NA,20078.9999999999,414132,1874949.325,93644.13114,4845.090041,638216521.5,30837703,NA,120,NA,1175416.431,66521.27689,NA,2825,21369808,1086018894,1106189849,29692,3876026.195,1392552.861,2126864.253,459,2876,3354.973552,1362959,954732.029,1129152218,241272922,5175.601577,10182087.4,114,1166675,285779.0918,20785.23523,496559.4064,148,518430284.4,247508172.7,299773.1593,930790632.9,1267133
"9029-B",966788,929107298,NA,6102.973351,2618327,355572.999999996,137034.3487,10805.00598,7204.531034,452577303,NA,4086747,125821.8094,146081,NA,12322,437235,69120.23779,5491.315184,8783.09614,7658355.61,71086663,NA,20,NA,1684361.914,138646.5765,NA,3678,38062483,314034679.1,335123764.6,33244,615919.0037,644653.3292,8825609.963,2876,980,47193.65333,3414953,2535389.712,292803771.3,690377824,240595.8117,1796601.904,23,1791018,11526.96316,37167.18649,51377.85358,148,27719379.08,48826477.68,510252.5485,280188477,1585844
"9029-C",276637,1928790,2208.498322,14744.3637,NA,8097.00000000003,275401.6432,160871.0301,17297.02112,3724197969,NA,2625.00000000003,793519.3273,153.999999999999,NA,435.000000000003,NA,178673.9132,16014.63936,35565.12431,16289039.66,1153378,NA,13,NA,7334173.024,96181.22607,NA,NA,NA,515076735,556871000.6,8065,1540359.267,1106496.572,1548787038,980,3732,227680.2661,546770,5092323.264,389845262.7,NA,782085.9816,2901729.862,NA,676559,37481.34682,6932.471045,110651.4731,18,49948188.41,74471374.53,541688.2586,398208008.8,705840
"9029-D",23630070,14589632,4044.138385,15079.56554,2021663,749.000000000007,211137.4156,1582185.663,738.3335216,416116133,448142754,50662,242059.615,51520.0000000005,NA,6808.99999999996,375293,290787.154,12632.05794,18735.3677,6219792.08,19355822,146619749,173607,NA,6845286.72,87843.13798,3078742,2177,792455,339586433.7,409909880.7,232875,881978.3488,761173.6279,26343531.04,3732,5474,50314.27581,11429531,964620.9969,307418381.2,15541182,225411.8637,2788725.287,19435,3383827,42201.26425,15044.93683,66142.06879,316608,49220737.08,52499688.62,1940119.118,6147084918,NA
"9029-E",5857309,52132825,3392.403512,11724.21207,1603888,69221.0000000002,129267.0736,1501775.727,23.40395662,774092298,342204852,55177.9999999996,44722.62071,84532.9999999996,NA,16972.9999999999,6474850,32200.33372,12964.62177,42907.64387,6854411.562,30864746,47709413,62059,NA,775637.5476,82971.70701,9250344,4511,5661322,220108674.6,296189177.9,243570,344888.8961,447872.1563,13541524.62,5474,4289,21931.84775,12695897,929296.2247,200348453.1,37088916,53513.14681,19430265.53,5191,6123621,30449.71776,42747.32677,51908.80559,5032,37149703,33867735.73,1921991.428,1919640629,NA
"9027-C",NA,2940816,414.3174971,2453.919072,NA,297516.000000003,17805.65678,48288.47938,61.22303183,916788025,NA,18046,46089.69792,19736,NA,5756.99999999995,NA,19282.00646,1068.279433,10329.20009,1389393.235,1793045,NA,50,NA,222028.4486,29611.95621,NA,NA,NA,18268356.46,14193922.46,10305,68597.78333,31736.02058,10164285.73,1122,5148,21980.81766,2311880,721291.5279,12953994.39,NA,22022.79917,123151.5029,45,4273686,2770.029828,19880.99261,6104.061219,1059,1758575.114,3013586.544,252891.3538,32499934.09,1014080
"9003-B",185419,1635270,NA,NA,NA,15567,NA,NA,NA,3199035923,NA,4759.99999999997,NA,3339.99999999997,NA,1156,NA,NA,NA,NA,NA,2825613,NA,268,NA,NA,NA,NA,NA,NA,NA,NA,1748,NA,NA,NA,1134,734,NA,605760,NA,NA,NA,NA,NA,NA,2380814,NA,NA,NA,26,NA,NA,NA,NA,7870081
"9027-D",1132888,54394941,NA,3504.723932,3308410,132886.999999999,455068.0203,2174710.684,1044.751282,317423218,610709371,12483.9999999999,71876.32438,33394.9999999998,388538,7626.99999999994,32528653,241863.1265,103061.1887,6597.956868,145215126.2,13305693,556769081,812756,NA,365488.6098,70254.71657,11033464,8281,2341625,696573634.2,773930805.9,19585,6474599.303,972545.5083,727066.1322,5148,5258,19513.13376,13585261,194594908.4,621430366.1,60640657,15354.63908,17045836.31,2463,959592,40942.71312,1268378.05,71923.75481,1161,403843645.7,149124648.3,2349030.319,882277901.5,5353377
"9026-A",1797476,14506568,70.49502177,4387.610155,NA,754073.000000006,276854.629,3684280.383,572790.8506,185235948,269607277,628750.999999994,22744.51382,24796.0000000003,1665844,16364.0000000001,6167835,995499.6797,46985.40198,47301.21968,50195225.49,NA,3987840,3352,NA,246590.6462,109764.5086,NA,52891,1861651,563680269.5,759464325.4,19513,1779112.002,716814.0599,1025043.673,1842,3011,11907.07914,3179549,1550496.647,746419112.6,NA,13113.01398,7520660.825,529,1422241,148657.0821,27667.88615,318798.2271,6078,241423222,135382328.1,290054.1169,537379113.5,10446098
"9026-C",333930,2160033,3550.52288,3610.086722,NA,129621,102965.1635,584809.4464,1012.5853,659403964,NA,4213.00000000003,113352.5795,7462.00000000001,NA,4019.00000000005,NA,91434.3808,6236.075198,27631.14797,4685154.491,1766010,NA,352,NA,11652639.99,156955.901,NA,NA,328284,178580399.4,180612981.8,9715,311496.8766,332761.1679,70620792.26,1018,1895,95028.92913,1952673,2228171.94,121388039.5,3826382,890740.9885,1215341.91,22,543706,18902.45551,50642.21366,40970.85867,235,18689347.74,23393584.67,1187210.944,175698040.4,383319
"9026-D",436832,40491127,NA,NA,NA,189074.000000002,NA,NA,NA,256986988,779264049,220972.000000002,NA,95596.9999999993,NA,5380.00000000002,18682999,NA,NA,NA,NA,3599083,116876733,133011,NA,NA,NA,4111548,6092,294118,NA,NA,66716,NA,NA,NA,1895,6261,NA,1483779,NA,NA,4628651,NA,NA,490,2836615,NA,NA,NA,528,NA,NA,NA,NA,6215015
"9025-A",2360724,33306614,NA,10868.99671,NA,81064.0000000003,386083.3651,8396027.589,980198.8085,215513038,106330758,999945,28606.99183,6822.00000000003,1596969,5549.00000000005,NA,2060358.146,84973.24563,4523.992905,260638868.1,5856333,NA,35,NA,1509125.174,67262.22845,NA,237979,39342696,1306315378,1375111978,272,4007636.183,1573725.925,1897906.333,257,2565,7934.627005,3198584,940894.0261,1344413214,16458550,4415.043534,11951851.77,NA,1840977,291678.2168,41815.80598,414642.6267,163,553744699.4,272083096.7,191467.6236,1042754642,10415187
"9025-C",258710,1863172,2798.07929,1793.491677,NA,63088.0000000004,64827.00928,14003.66928,162.5922149,3212381617,NA,42782,74736.83886,207.999999999999,NA,727.000000000004,NA,39097.62082,2980.580756,127200.2034,1126618.878,1221488,NA,112,NA,128474.3954,121729.3072,NA,NA,NA,110592730.9,121533642.4,3946,94337.49628,200140.2324,521374026.4,1511,6176,41461.0148,334147,1954742.506,84441836.27,NA,17909.20065,651186.798,NA,1426766,6974.874198,4378.376073,23038.32139,58,9045874.286,14330350.23,772095.6781,137462278.2,3037686
"9025-E",731648,72539372,2040.92144,20169.10599,NA,2561,50051.09033,203220.5176,248.3312952,221304733,657899923,122148.999999999,9078.07119,22578.0000000001,NA,9958,20873151,39323.50729,12460.96837,223833.6597,1622866.394,25344839,342045252,429785,NA,8649535.248,96998.86175,5216574,4981,2136555,16721065.43,20558963.1,9050,55011.13792,32028.15877,3659633.629,11023,1842,45622.24147,3393416,2099290.806,17027424.02,38553858,162010.6792,314546.9439,2575,NA,4164.071785,238659.5314,12576.08884,1022,19078109.32,4048457.944,75793.67155,1579972210,3948692
"9024-A",719134,2882634234,NA,NA,1731614,353141.999999999,NA,NA,NA,346363578,NA,571835.000000002,NA,108699.999999999,NA,2029.00000000002,NA,NA,NA,NA,NA,85144211,34281065,37158,NA,NA,NA,1742891,7370,98853866,NA,NA,21320,NA,NA,NA,5238,2716,NA,2377631,NA,NA,1212436875,NA,NA,286,1780155,NA,NA,NA,285,NA,NA,NA,NA,7653438
"9024-B",756908,472046874,634.8177602,5558.017784,3039107,185791.000000001,170740.4234,531570.4348,75863.41225,297190585,NA,1378321,83602.94361,45202.9999999999,NA,7618.99999999999,NA,215858.8853,9021.271455,4734.906621,15661324.01,31803553,NA,NA,NA,3348072.578,86470.38316,NA,1014,12880431,339422979.5,418531772.4,64141,1252713.996,684478.128,2920386.304,2716,3507,9856.487195,1876954,2064390.37,276004558.1,212660750,110506.0361,2410116.561,201,2028461,29447.07087,1060779.132,56067.05079,59,53416307.36,49710590.96,720667.4476,313461144.2,4541630
"9003-C",360376,2259828,2844.975743,9657.150191,NA,4180.99999999996,88240.17897,111174.1111,204.9753608,2485892585,NA,2255.00000000001,151147.7342,1505.99999999999,NA,580.000000000004,NA,50125.73045,4427.879114,45952.87085,4978598.55,1963387,NA,63,NA,3420439.612,79168.4768,NA,NA,NA,142549583.4,150008292.6,4883,158657.7846,308360.4082,45709840.68,734,7664,87006.21359,1042880,1052021.3,96271781.32,NA,385385.8984,869580.8894,14,725721,12079.15002,2921.070275,27119.81696,49,9750592.22,21177957.61,565674.4107,149850796.8,2885345
"9024-D",598973,16793516,NA,36756.81299,NA,592795.999999995,53407.74811,2093498.725,18901.15053,448775874,349213684,126212,799289.9121,25143.0000000002,NA,3775.99999999999,NA,51568.26016,4189.639724,5747.988024,2521283.454,6159693,3763007,3946,NA,9383661.833,119767.6878,783583,7583,1352697,119684497.9,128585921.8,171965,288131.9018,137052.2853,2830575.507,3507,1200,40800.39188,5196374,75736132.66,79362873.69,15529624,232974.7183,821204.5283,364,NA,12429.44755,21570.87902,15370.43187,23927,71381971.33,16574524.44,674056.4741,3911531267,NA
"9024-E",434025,59908577,NA,13405.88825,NA,14343,614130.9029,10821801.56,37160.32681,124841217,654769320,121075.000000001,633519.8201,22634.0000000001,NA,5140.99999999996,58399690,213298.3426,116385.9779,5809.954726,14013782.95,15496995,NA,1291,NA,1282052.909,94201.17531,6963083,4871,17559913,1103925680,1354986988,24550,7975640.897,1671592.376,1011658.482,1200,257,39714.09237,852951,74825324.28,1760680852,14143649,31039.20671,13276658.87,315,747260,18054.95676,568883.0381,40739.64926,68432,1131861279,522543638.3,1353793.1,1450677476,1756820
"9022-A",1796436,33593287,2172.328067,10282.14772,3850283,46410.9999999999,264315.2996,3285337.481,779527.3115,233289084,448695901,1963865.99999999,24162.27791,46292.0000000005,NA,6255.00000000002,22494151,1551003.265,57724.64399,36382.90535,175184165.2,64363071,1385039,2016,NA,473092.6425,73516.58698,NA,7606,3917429,730820721.3,851881024,40743,1959316.839,737847.9462,1685115.293,7763,6485,23721.24813,2340603,491594.3545,901521300.9,11516120,9141.624205,5881627.474,NA,2267811,223818.5095,91071.62343,433480.9889,793359,247247891.3,193717958.5,130559.1733,569765081.5,4710603
"9022-B",767111,268785941,2367.649403,1906.869645,NA,1351293,51643.64649,64620.5279,20.17424508,309433383,94709432,560324.000000001,72510.27167,8125.99999999995,NA,7028.00000000005,21636124,32459.55336,2550.024578,3188.337692,1177528.723,36529777,NA,334,NA,122911.1847,132912.7684,NA,4280,16320418,50035937.5,58518145.59,26864,85376.59821,104812.4659,51954136.2,6485,6435,40138.67801,1653709,2047827.902,41995392.06,18145246,198019.0921,767153.1061,470,976037,6296.785374,4347.14633,13098.73385,1496,5613838.76,9261482.683,1388175.278,77235257.4,6029970
"9022-C",868512,2287863,3365.670852,2171.989324,NA,1810219,65985.40071,54136.19508,NA,599541931,NA,15867.9999999999,95311.27202,19995.9999999999,NA,5077.99999999996,NA,17613.92082,3247.39782,26133.95961,2920630.604,9749202,NA,69,NA,106815.1496,97309.5022,NA,NA,448883,50601512.8,60393683.91,76805,175858.1272,120243.5192,38901455.31,6435,21929,55378.06192,1411051,3333518.839,40889108.08,NA,169607.1784,637079.1476,NA,1500080,7469.453034,5769.825757,18289.97531,180,6851881.635,9251020.158,1676991.862,80821807.13,2253462
"9022-D",1015225,23497164,NA,5071.765247,4632229,10795,295380.5359,715924.0228,212.1722409,286244859,475227713,72498,29948.53615,35499.0000000002,2002929,6111.00000000005,22587572,96842.76607,65519.91959,8253.783069,208484248.3,8816155,497618684,684327,NA,387465.5516,43319.34788,5944037,5190,954348,556181235.5,573796429.5,7997,6265394.788,723789.1063,968290.7389,21929,13565,4029.009407,2029885,77396277.18,557155775.9,11736049,13446.06215,4926296.564,2373,971334,16101.89281,49072.89326,30089.98431,8071,183311199,27459189.41,3113771.913,644468167.2,6568304
"9019-A",1706526,263768821,NA,2425.252316,NA,174870.000000001,67791.84335,5974160.596,424643.197,196800681,49307580,728601.000000005,38022.29125,30606,NA,12086.0000000001,4827848,1433620.174,35458.61312,8014.294686,416019317.4,48481452,5263073,3542,NA,142208.9223,31601.09368,NA,7025,4201745,248495062.5,379180091.6,2576,3289211.046,217640.5905,807318.5669,7766,10171,13348.08945,2167238,2208459.883,614125743.2,135555718,6526.817267,1866278.466,55,1464147,185937.0777,115691.9768,396370.7241,16681,228584950.1,127848227.2,137735.288,393499706.3,7577838
"9019-B",1892279,306535368,4181.894243,109.2075039,1454732,4087234.00000001,175029.5025,19732.66622,1342.499143,267922712,NA,1275027,249813.1066,68407.0000000006,1490734,24902,1794547,151807.8448,7343.263192,1230.467307,2484803.984,40906215,NA,48,NA,32173.84867,131558.3259,NA,730,17163354,164125421.3,272666092.9,12717,68784.7229,359975.2347,245704627.1,10171,4876,58658.55124,7584643,1836880.571,181895684.3,130883775,523920.1755,2277937.67,12,2139273,17147.461,5161.937446,63977.70984,82,19600692.72,27303848.3,2156937.639,177836474.3,10498847
"9019-C",860915,2115268,1147.682276,240.9197169,NA,43934.0000000002,62904.99573,40548.58161,29.62766745,610227683,NA,1989.00000000002,104921.7062,11028.9999999999,NA,2159,NA,39405.57739,3164.702689,8393.985994,2015217.024,2324645,NA,157,NA,30493.10721,106623.7378,NA,NA,NA,112259437,117588572.6,7321,128700.2484,199960.2463,243033513,4876,13108,45282.771,2962478,2960943.864,67899386.99,NA,650413.0649,655430.2764,30,1108555,8206.863884,5120.908416,24559.77697,18,8301410.449,14638587.63,676388.7325,97557619.28,NA
"9019-D",1132513,60052234,210.7906459,4681.57189,NA,1414,13099.56575,40670.2249,NA,485486267,201168993,14851.9999999999,46478.70631,6364.99999999994,NA,1931.99999999998,4136828,12844.59743,798.9849032,18857.55838,921490.6204,2505489,139288041,147095,NA,737633.9702,25175.2191,729279,5687,128732,10790996.45,11404426.76,11047,42845.02899,35906.10386,1024488.989,13108,32895,5694.629209,2127665,395139.8141,12229182.15,6274212,16689.31783,233119.8126,2826,NA,2016.774215,7391.052132,8160.753544,81,2334231.492,3171348.044,291020.0901,80773752.41,NA
"9019-E",6850260,9014441,1581.308559,17430.16055,NA,2367.99999999999,110277.5759,963064.6008,NA,149409108,507180076,102089,69071.42779,9829.00000000011,341502,5508.99999999999,7700137,187252.295,9708.952755,24152.07671,6267199.452,3007459,445131375,621396,NA,7915916.843,98699.0157,3600348,3134,NA,213773848.2,255760542.8,6897,254919.0786,505040.04,6351569.146,32895,7763,27090.34094,2012074,2175541.338,178061290.7,4392123,230356.2301,1417970.982,3238,NA,29987.41961,997945.5147,42947.86357,297,30751278.35,37264746.83,434379.7168,2703790339,NA
"9017-A",4048391,114637087,NA,6764.746329,NA,529137.000000001,348053.7711,3997616.746,638955.5323,473269323,256341624,635536.999999995,17233.6961,17702.9999999999,715234,10314.0000000001,46096492,2118137.994,76548.91027,170594.0292,74212339.13,3624680,NA,419,NA,419907.7455,96448.11836,NA,3989,8032680,903233353.4,1039960845,11305,1724848.768,1002098.726,2497371.44,7675,6004,30703.87102,9254851,678599.9748,1127814378,20005839,14785.2618,8296867.978,92,2263719,205455.1902,27725.36331,376845.5916,527711,346998758.4,172760942.8,89481.43931,724733377.8,6149433
"9017-B",2980391,473708732,107.1764249,2633.530305,NA,208603.999999998,58624.40332,43647.59906,51.38595717,454934344,75621571,388080.999999999,120483.9197,40624.0000000003,NA,11358,13005195,62548.82228,2935.239282,17761.55609,10605907.4,15610755,NA,533,NA,1071609.725,54627.30994,NA,6276,13901111,89433782.19,89686762.96,21956,1311475.335,186319.608,851472.2841,6004,6148,88432.66299,6675298,1214804.402,130049121.2,51968634,38459.4526,417287.7401,113,2148305,10953.28381,611102.724,24196.91314,356162,12147980.16,13665971.25,144026.396,194860871,2226635
"9017-C",800326,2758405,444.5292731,9220.423019,NA,242075.000000001,104477.8258,86650.77818,472.2134805,1290390519,NA,17087.0000000002,217730.7544,20575.0000000001,NA,4438.00000000001,NA,113691.921,4018.16496,31005.52131,16309904,862083,NA,15,NA,4118225.177,99560.31958,NA,NA,1226914,45153362.28,56911466.87,28431,2506584.297,141194.2036,1920886.132,6148,9798,280557.2946,1809915,3330195.004,77507813.99,3202911,133574.7187,757317.313,7,2073213,7558.579597,1192554.184,40414.19694,166,8479442.552,24003213.15,230036.78,520825524.9,927969
"9017-D",2912715,25907431,1217.946788,26675.2849,NA,6421.99999999995,386862.6545,1049372.264,NA,649534597,503160475,276794.999999999,398653.9546,184410,NA,15326.0000000001,11958466,69238.72784,7397.690651,54461.62981,5044564.014,7989540,19603342,13372,NA,16248841.87,92831.17284,5479860,430,1003304,286712192.5,377817357.5,93271,330846.9471,262947.1169,8740138.041,9798,9200,60914.21625,9827081,2468741.572,390789132.1,22214507,365924.0959,872234.1391,109,3508247,23877.94522,617137.5753,70147.26551,3523,31597543.71,70139829.85,1762222.736,4385399051,298979
"9016-A",788420,2301637748,12.8854194,10194.51432,NA,78156.0000000005,401436.6511,8978378.768,1053852.28,394749329,NA,434072.000000001,32301.59887,95028.9999999997,NA,9806.99999999998,NA,2518275.9,99182.29448,5840.316343,395742002.3,82064002,NA,14,NA,1202219.294,65705.97488,NA,79,13567567,803690620.1,878495005.7,18539,4706545.471,777863.777,1178300.734,1572,949,6855.043121,4016802,1756943.042,1054543263,859743584,7566.962543,13044499.57,138,2059258,364984.8734,27113.06999,692031.8508,385,511520420.6,226723234.5,172031.0868,851919868.7,6348217
