"","2-aminoadipate","2-hydroxy-3-methylpentanoate","3-hydroxyanthranilic acid","4-acetamidobutanoate","acetyltyrosine","agmatine","alanine","arginine","asparagine","aspartate","butyrate","cadaverine","citrulline","D-alany-D-alanine","diaminopimelate","formylmethionine","gentisate","glutamine","glycine","histamine","histidine","homovanillate","hydrocinnamate","hydrocinnamate (phenylpropionate)","imidazole propionate","imidazoleacetic acid","indole","indole-3-propionate","indoleacetate","indolelactate","isoleucine","leucine","leucylglycine","lysine","methionine","methylimidazole acetic acid","N-acetylglutamine","N-acetylhistamine","N6-acetyl-L-lysine","N6-acetyllysine","ornithine","phenylalanine","phenyllactate","pipecolic acid","proline","pyridoxamine","quinolinate","serine","taurine","threonine","tryptamine","tryptophan","tyrosine","urocanic acid","valine","xanthurenate"
"9036-A",3781238,18188864,103.4886184,5267.180155,NA,5950.99999999995,368749.4736,4707096.823,646158.5258,531507903,171167598,595538.999999995,14178.91703,51645.9999999998,2064691,12323.9999999999,3988724,1973408.844,85517.7222,81620.30178,219658226.4,2982350,2010208,1351,NA,471062.6175,59005.10973,666093,2495,557482,806104017.5,935580460.6,198296,3534318.889,976416.0911,8528357.432,6003,7179,14834.01951,10482271,659047.7403,946346858,5041246,10502.14215,9681682.435,1116,4630771,226459.4574,41618.04553,387776.7348,2782,287375636.8,170634869.3,116352.449,715109261.7,14649249
"9036-B",1330003,74673735,3097.195275,829.9265382,NA,761285.000000005,245839.387,237786.8354,1673.125655,177585758,128004725,1234453.00000001,1008071.87,56434.0000000001,NA,14610.0000000001,9712159,318446.6383,17326.18037,5263.748561,30906441.64,16571027,NA,64,NA,3894967.82,83247.95577,NA,1394,6276935,525815053.1,559320881.6,30258,1967948.665,1300189.616,825344869,7179,3898,273646.2201,6797190,6870676.839,400318555.6,33354162,393946.5311,3415434.236,NA,2810862,41675.11635,13936.98837,86289.71851,153,54490994.98,76170647.52,957450.255,379491824.7,6369589
"9004-C",786880,2654523,694.6376549,7579.877657,NA,37525.0000000002,175879.3028,776114.7517,240.3298715,1624766642,NA,3805.99999999999,179422.0602,2818.00000000002,NA,9361.99999999993,NA,202045.7446,10126.53103,224917.1374,7102023.871,1580964,NA,334,NA,4002725.632,136034.0858,NA,NA,263308,352549508,344164602.2,22948,786481.6126,695800.3033,30645431.67,1100,4170,122252.0109,3501128,1253666.018,228699678.7,NA,223845.1396,2173567.602,12,2763191,22983.12508,8522.223732,56035.86096,376,25528036.06,42996113.41,2354848.002,266300235.7,1242796
"9036-C",697590,2208417,1604.236572,833.1993,NA,1323621.99999999,72798.00866,55702.88051,629.0341054,1786765095,NA,51167.0000000001,331204.991,16715.0000000001,NA,5051.00000000001,NA,107299.6454,3879.708993,2199.053046,3986287.216,4721897,NA,107,NA,3302504.332,90457.7277,NA,NA,NA,144975295.8,172279312.2,29006,325280.2083,354180.9892,367144397.3,3898,5765,78991.39976,2071504,3462135.281,113009520.3,NA,452621.1198,839844.9341,20,1035081,13140.71066,8576.078764,23180.16341,50,13406041.58,22786946.38,577255.4168,122195173.6,1056186
"9036-E",5124725,8082170,253.6277113,8032.011277,NA,72140.9999999995,87400.66981,621942.7908,442.7975512,412990994,483785324,381817,87472.13397,71969.9999999995,NA,2550.00000000003,10020797,152398.0255,47492.83988,273019.7218,28294268.88,14406890,274758428,269448,NA,36288886.18,80966.09274,1514634,1643,NA,154486974.8,169223645.9,117407,361185.4785,286155.1149,147294513.3,11851,2808,114952.2061,3511133,716632.8051,114482332,NA,87092.39304,1568589.306,2020,NA,20007.16277,1012550.485,38926.94928,438,23681047.05,20404603,2657974.975,1668855823,185210
"9035-A",1549168,218420761,1187.099149,4311.947316,3288073,79441.9999999996,274345.3692,5902585.111,549388.8428,229365413,882119801,615961.000000002,24718.90017,40834.9999999999,NA,10155.0000000001,41634377,1612172.867,70067.80344,98576.41309,333354236.4,48082763,6936480,5596,NA,367369.118,75197.95911,2043157,23643,23166580,721445719.6,925624610.3,32169,3364629.327,949806.9298,652305.0845,1028,3740,12230.23107,27176090,1641330.253,1021751894,51324596,8937.022863,7682739.478,2254,4043466,218451.98,106318.8303,432682.0907,44746,316950971.1,213117182.2,8720534.369,777789493.3,6858294
"9035-B",779062,62971965,2328.291119,5675.732422,746594,443726.000000003,184938.8125,159740.2894,238.4058571,250089422,592847326,502214.999999999,212602.2571,6762,4493791,5297.00000000003,13435221,113927.3276,11205.07528,679661.6381,8297329.666,23250654,1288351,1358,NA,1627359.775,188100.8271,NA,38657,9643188,237277201.9,273293213.8,13044,342594.7934,483931.8236,99014727.54,3740,570,78666.96191,1635618,3686242.516,186560022.5,21420191,443719.3082,1435503.01,832,3672897,25930.47097,141207.3709,68000.04254,438,29479012.49,32062318.41,1937228.833,367572346.4,2818851
"9035-C",NA,21275174,1554.376277,1348.485124,NA,240582.999999999,239954.9266,185699.5501,22.42378891,697800182,NA,2022.99999999998,269048.7734,13430.0000000002,NA,1809.99999999998,NA,121919.1596,11774.5277,284409.0688,7754252.208,6219174,NA,422,NA,406526.9847,142703.9734,NA,NA,NA,322308753.9,374104505.8,10880,676747.9108,658840.4768,60487628.34,570,4529,102722.3577,1396122,6287909.688,247959021.6,5677038,650490.6732,1671680.213,17,1177512,31195.56743,24564.24149,61935.52423,20,33398005.47,45935972.47,1829626.247,325629408.2,749894
"9035-D",1099697,28512080,743.2408604,11770.89987,NA,33594.9999999998,47355.12012,688313.6091,194.3604046,392684882,1241204628,308713.000000002,44189.4646,37045.0000000001,15303010,6046.99999999998,60389652,76839.92716,2029.523023,2224.30051,6821870.855,13375437,933675910,1249404,NA,5703341.325,29546.95232,5087619,29823,753602,68623113.74,100339428.1,14784,242738.6279,240011.743,282890563.7,4529,10354,41558.50874,2372788,8742884.466,75840143.91,17238068,115484.6982,379546.6644,7160,6462726,10082.55026,7336.062567,19471.90954,2296,9342556.384,14730160.9,155238.9084,83925593.46,17524610
"9034-A",414321,5145829,NA,9258.935173,2475321,379029.000000005,390118.6634,8070851.246,1454936.464,431714875,NA,36054.9999999998,25551.31905,50924,NA,2603.00000000003,NA,2468021.2,97512.00627,3687.623484,536148017.1,3845386,NA,16,NA,867350.3108,47844.92088,NA,1851,NA,915632788.9,1005584676,14249,4296310.743,1008630.724,1006324.725,2389,1705,10482.57295,1313613,1546691.828,1000798821,3116678,4524.649452,10033551.06,1,1638043,376069.9952,48840.69315,831106.7825,167,413906751.5,228542188.1,217510.5405,856539880.4,7083621
